,discrate,year,rcp,damages,pulse,variable
2240,3.0,2277.0,rcp45,0.0007900215052027499,pulse,ce_betas_SSP3
2241,3.0,2277.0,rcp85,0.0013427388420835988,pulse,ce_betas_SSP3
2242,3.0,2278.0,rcp45,0.0007753298545377029,pulse,ce_betas_SSP3
2243,3.0,2278.0,rcp85,0.0013158107377708023,pulse,ce_betas_SSP3
2244,3.0,2279.0,rcp45,0.0007601181880187281,pulse,ce_betas_SSP3
2245,3.0,2279.0,rcp85,0.0012890280678610675,pulse,ce_betas_SSP3
2246,3.0,2280.0,rcp45,0.0007441442596946605,pulse,ce_betas_SSP3
2247,3.0,2280.0,rcp85,0.0012622650637358693,pulse,ce_betas_SSP3
2248,3.0,2281.0,rcp45,0.000728218467456628,pulse,ce_betas_SSP3
2249,3.0,2281.0,rcp85,0.0012359126697834635,pulse,ce_betas_SSP3
2250,3.0,2282.0,rcp45,0.0007127453273559431,pulse,ce_betas_SSP3
2251,3.0,2282.0,rcp85,0.001210161783709184,pulse,ce_betas_SSP3
2252,3.0,2283.0,rcp45,0.0006977791013928544,pulse,ce_betas_SSP3
2253,3.0,2283.0,rcp85,0.0011850308391574138,pulse,ce_betas_SSP3
2254,3.0,2284.0,rcp45,0.000683858466964324,pulse,ce_betas_SSP3
2255,3.0,2284.0,rcp85,0.0011607753773449014,pulse,ce_betas_SSP3
2256,3.0,2285.0,rcp45,0.000671470026146784,pulse,ce_betas_SSP3
2257,3.0,2285.0,rcp85,0.0011376241354334722,pulse,ce_betas_SSP3
2258,3.0,2286.0,rcp45,0.0006603140983470284,pulse,ce_betas_SSP3
2259,3.0,2286.0,rcp85,0.0011154220620712767,pulse,ce_betas_SSP3
2260,3.0,2287.0,rcp45,0.0006492776320363691,pulse,ce_betas_SSP3
2261,3.0,2287.0,rcp85,0.0010936185221040093,pulse,ce_betas_SSP3
2262,3.0,2288.0,rcp45,0.0006379437588670881,pulse,ce_betas_SSP3
2263,3.0,2288.0,rcp85,0.0010720039202430903,pulse,ce_betas_SSP3
2264,3.0,2289.0,rcp45,0.0006251551720167055,pulse,ce_betas_SSP3
2265,3.0,2289.0,rcp85,0.0010500100728525813,pulse,ce_betas_SSP3
2266,3.0,2290.0,rcp45,0.0006123869268569793,pulse,ce_betas_SSP3
2267,3.0,2290.0,rcp85,0.0010283492181831619,pulse,ce_betas_SSP3
2268,3.0,2291.0,rcp45,0.0005993474973917214,pulse,ce_betas_SSP3
2269,3.0,2291.0,rcp85,0.0010068737730180041,pulse,ce_betas_SSP3
2270,3.0,2292.0,rcp45,0.0005862596798050141,pulse,ce_betas_SSP3
2271,3.0,2292.0,rcp85,0.0009856860262319636,pulse,ce_betas_SSP3
2272,3.0,2293.0,rcp45,0.000573460152981152,pulse,ce_betas_SSP3
2273,3.0,2293.0,rcp85,0.0009649434222157013,pulse,ce_betas_SSP3
2274,3.0,2294.0,rcp45,0.0005614680097020998,pulse,ce_betas_SSP3
2275,3.0,2294.0,rcp85,0.0009448906746988991,pulse,ce_betas_SSP3
2276,3.0,2295.0,rcp45,0.0005507966605748275,pulse,ce_betas_SSP3
2277,3.0,2295.0,rcp85,0.0009257688203485717,pulse,ce_betas_SSP3
2278,3.0,2296.0,rcp45,0.0005410214601582398,pulse,ce_betas_SSP3
2279,3.0,2296.0,rcp85,0.0009073655359050479,pulse,ce_betas_SSP3
2280,3.0,2297.0,rcp45,0.0005319977032296927,pulse,ce_betas_SSP3
2281,3.0,2297.0,rcp85,0.0008896040904201413,pulse,ce_betas_SSP3
2282,3.0,2298.0,rcp45,0.0005227752413969037,pulse,ce_betas_SSP3
2283,3.0,2298.0,rcp85,0.0008720203148957595,pulse,ce_betas_SSP3
2284,3.0,2299.0,rcp45,0.0005128197146896576,pulse,ce_betas_SSP3
2285,3.0,2299.0,rcp85,0.000854352134524954,pulse,ce_betas_SSP3
2286,3.0,2300.0,rcp45,0.0005019448084790449,pulse,ce_betas_SSP3
2287,3.0,2300.0,rcp85,0.0008365058793786035,pulse,ce_betas_SSP3
2288,5.0,2015.0,rcp45,0.0,pulse,ce_betas_SSP3
2289,5.0,2015.0,rcp85,0.0,pulse,ce_betas_SSP3
2290,5.0,2016.0,rcp45,0.0,pulse,ce_betas_SSP3
