year,cons,beta1,beta2,global_cons_ramsey,ratio
2247,0,.36719161,.79033649,1176.7205,3.4135842
2248,0,.3702732,.79696929,1186.5958,3.4422321
2249,0,.37338093,.80365831,1196.5551,3.471123
2250,0,.37651506,.81040412,1206.5989,3.5002594
2251,0,.37967578,.81720722,1216.7278,3.5296428
2252,0,.38286337,.82406813,1226.943,3.5592763
2253,0,.38607803,.83098733,1237.2449,3.5891614
2254,0,.38932002,.83796531,1247.6343,3.6193004
2255,0,.39258954,.84500259,1258.1119,3.6496954
2256,0,.39588687,.85209972,1268.6787,3.6803489
2257,0,.39921218,.85925704,1279.3352,3.7112625
2258,0,.40256572,.86647511,1290.0822,3.7424386
2259,0,.4059478,.87375468,1300.9205,3.77388
2260,0,.40935865,.88109607,1311.8511,3.8055887
2261,0,.41279849,.88849992,1322.8745,3.8375671
2262,0,.41626751,.89596659,1333.9916,3.8698168
2263,0,.4197661,.90349686,1345.2032,3.9023411
2264,0,.4232944,.91109115,1356.5103,3.935142
2265,0,.42685267,.91874993,1367.9133,3.9682214
2266,0,.43044132,.92647403,1379.4136,4.0015831
2267,0,.43406039,.93426371,1391.0115,4.0352278
2268,0,.43771026,.9421196,1402.708,4.0691586
2269,0,.4413912,.95004237,1414.5042,4.1033783
2270,0,.44510344,.95803249,1426.4006,4.1378889
2271,0,.44884726,.96609068,1438.3982,4.1726933
2272,0,.45262298,.97421747,1450.498,4.2077942
2273,0,.45643076,.98241329,1462.7007,4.2431931
2274,0,.46027103,.99067897,1475.0073,4.2788939
2275,0,.4641439,.99901485,1487.4186,4.314898
2276,0,.46804976,1.0074217,1499.9355,4.3512087
2277,0,.47198892,1.0159004,1512.5591,4.3878288
2278,0,.47596154,1.024451,1525.29,4.4247603
2279,0,.4799681,1.0330746,1538.1295,4.462007
2280,0,.4840087,1.0417715,1551.0782,4.4995704
2281,0,.48808366,1.0505424,1564.1372,4.5374532
2282,0,.4921934,1.0593882,1577.3075,4.5756593
2283,0,.49633813,1.0683092,1590.5898,4.6141906
2284,0,.5005182,1.0773063,1603.9855,4.6530504
2285,0,.5047338,1.0863799,1617.4951,4.6922407
2286,0,.5089854,1.0955309,1631.1199,4.7317653
2287,0,.51327324,1.1047599,1644.8608,4.7716269
2288,0,.5175975,1.1140674,1658.7188,4.8118277
2289,0,.52195871,1.1234543,1672.6948,4.8523712
2290,0,.52635705,1.1329213,1686.79,4.8932605
2291,0,.53079289,1.142469,1701.0054,4.9344983
2292,0,.53526652,1.1520979,1715.3418,4.9760871
2293,0,.53977835,1.1618091,1729.8005,5.0180311
2294,0,.54432863,1.1716031,1744.3826,5.0603328
2295,0,.54891765,1.1814804,1759.0889,5.1029944
2296,0,.55354595,1.1914421,1773.9208,5.1460209
2297,0,.55821359,1.2014887,1788.8789,5.1894135
2298,0,.56292111,1.211621,1803.9648,5.2331767
2299,0,.56766868,1.2218398,1819.1793,5.2773128
2300,0,.57245684,1.2321457,1834.5237,5.3218255
