temp,ref,yhat_low_gdp,se_low_gdp,lowerci_low_gdp,upperci_low_gdp,yhat_ag_gdp,se_ag_gdp,lowerci_ag_gdp,upperci_ag_gdp,yhat_nonag_gdp,se_nonag_gdp,lowerci_nonag_gdp,upperci_nonag_gdp,yhat_low_lrt,se_low_lrt,lowerci_low_lrt,upperci_low_lrt,yhat_ag_lrt,se_ag_lrt,lowerci_ag_lrt,upperci_ag_lrt,yhat_nonag_lrt,se_nonag_lrt,lowerci_nonag_lrt,upperci_nonag_lrt
-14.3,27,8.4008989,0,8.4008989,8.4008989,-24.6378,0,-24.6378,-24.6378,13.354312,0,13.354312,13.354312,-1.4988831,0,-1.4988831,-1.4988831,-5.2549753,0,-5.2549753,-5.2549753,-.43846011,0,-.43846011,-.43846011
-14.2,27,8.380558,0,8.380558,8.380558,-24.578146,0,-24.578146,-24.578146,13.321978,0,13.321978,13.321978,-1.4952538,0,-1.4952538,-1.4952538,-5.2422514,0,-5.2422514,-5.2422514,-.43739846,0,-.43739846,-.43739846
-14.1,27,8.3602171,0,8.3602171,8.3602171,-24.51849,0,-24.51849,-24.51849,13.289642,0,13.289642,13.289642,-1.4916246,0,-1.4916246,-1.4916246,-5.2295275,0,-5.2295275,-5.2295275,-.43633682,0,-.43633682,-.43633682
-14,27,8.3398752,0,8.3398752,8.3398752,-24.458834,0,-24.458834,-24.458834,13.257308,0,13.257308,13.257308,-1.4879954,0,-1.4879954,-1.4879954,-5.2168036,0,-5.2168036,-5.2168036,-.43527517,0,-.43527517,-.43527517
-13.9,27,8.3195343,0,8.3195343,8.3195343,-24.399178,0,-24.399178,-24.399178,13.224973,0,13.224973,13.224973,-1.4843661,0,-1.4843661,-1.4843661,-5.2040796,0,-5.2040796,-5.2040796,-.43421352,0,-.43421352,-.43421352
-13.8,27,8.2991934,0,8.2991934,8.2991934,-24.339523,0,-24.339523,-24.339523,13.192637,0,13.192637,13.192637,-1.4807369,0,-1.4807369,-1.4807369,-5.1913557,0,-5.1913557,-5.1913557,-.43315187,0,-.43315187,-.43315187
-13.7,27,8.2788525,0,8.2788525,8.2788525,-24.279867,0,-24.279867,-24.279867,13.160303,0,13.160303,13.160303,-1.4771075,0,-1.4771075,-1.4771075,-5.1786318,0,-5.1786318,-5.1786318,-.43209022,0,-.43209022,-.43209022
-13.6,27,8.2585106,0,8.2585106,8.2585106,-24.220211,0,-24.220211,-24.220211,13.127968,0,13.127968,13.127968,-1.4734783,0,-1.4734783,-1.4734783,-5.1659079,0,-5.1659079,-5.1659079,-.43102857,0,-.43102857,-.43102857
-13.5,27,8.2381697,0,8.2381697,8.2381697,-24.160555,0,-24.160555,-24.160555,13.095634,0,13.095634,13.095634,-1.4698491,0,-1.4698491,-1.4698491,-5.1531839,0,-5.1531839,-5.1531839,-.42996693,0,-.42996693,-.42996693
-13.4,27,8.2178288,0,8.2178288,8.2178288,-24.100899,0,-24.100899,-24.100899,13.063298,0,13.063298,13.063298,-1.4662198,0,-1.4662198,-1.4662198,-5.14046,0,-5.14046,-5.14046,-.42890528,0,-.42890528,-.42890528
-13.3,27,8.1974878,0,8.1974878,8.1974878,-24.041245,0,-24.041245,-24.041245,13.030963,0,13.030963,13.030963,-1.4625906,0,-1.4625906,-1.4625906,-5.1277361,0,-5.1277361,-5.1277361,-.42784363,0,-.42784363,-.42784363
-13.2,27,8.177146,0,8.177146,8.177146,-23.981588,0,-23.981588,-23.981588,12.998629,0,12.998629,12.998629,-1.4589612,0,-1.4589612,-1.4589612,-5.1150122,0,-5.1150122,-5.1150122,-.42678198,0,-.42678198,-.42678198
-13.1,27,8.156805,0,8.156805,8.156805,-23.921932,0,-23.921932,-23.921932,12.966293,0,12.966293,12.966293,-1.455332,0,-1.455332,-1.455332,-5.1022882,0,-5.1022882,-5.1022882,-.42572033,0,-.42572033,-.42572033
-13,27,8.1364641,0,8.1364641,8.1364641,-23.862276,0,-23.862276,-23.862276,12.933959,0,12.933959,12.933959,-1.4517027,0,-1.4517027,-1.4517027,-5.0895643,0,-5.0895643,-5.0895643,-.42465869,0,-.42465869,-.42465869
-12.9,27,8.1161222,0,8.1161222,8.1161222,-23.802622,0,-23.802622,-23.802622,12.901624,0,12.901624,12.901624,-1.4480735,0,-1.4480735,-1.4480735,-5.0768404,0,-5.0768404,-5.0768404,-.42359704,0,-.42359704,-.42359704
