temp,risk,bins,poly_2,poly_3,poly_4,spline
-12.4,low,5.2754641,-12.144033,-18.734529,-32.6805,-1.9698766
-12.3,high,34.805908,-139.51665,126.29072,14.563757,-28.546555
-12.3,low,5.2754641,-12.066503,-18.565695,-32.295044,-1.964877
-12.2,high,34.805908,-138.74454,124.6587,14.802332,-28.473917
-12.2,low,5.2754641,-11.989208,-18.397747,-31.912703,-1.9598773
-12.1,high,34.805908,-137.97456,123.03809,15.033149,-28.401279
-12.1,low,5.2754641,-11.912152,-18.23069,-31.533464,-1.9548776
-12,high,34.805908,-137.20671,121.42883,15.256294,-28.328642
-12,low,5.2754641,-11.835333,-18.064518,-31.157305,-1.9498779
-11.9,high,34.805908,-136.44099,119.83089,15.471848,-28.256004
-11.9,low,5.2754641,-11.758752,-17.899229,-30.784216,-1.9448782
-11.8,high,34.805908,-135.67741,118.24426,15.67989,-28.183367
-11.8,low,5.2754641,-11.682409,-17.734823,-30.414179,-1.9398786
-11.7,high,34.805908,-134.91594,116.66888,15.880503,-28.110729
-11.7,low,5.2754641,-11.606303,-17.571295,-30.047176,-1.9348788
-11.6,high,34.805908,-134.15662,115.10472,16.073765,-28.038092
-11.6,low,5.2754641,-11.530436,-17.408648,-29.683197,-1.9298792
-11.5,high,34.805908,-133.39940000000001,113.55173,16.25976,-27.965454
-11.5,low,5.2754641,-11.454805,-17.246872,-29.322218,-1.9248794
-11.4,high,34.805908,-132.64432,112.0099,16.438566,-27.892817
-11.4,low,5.2754641,-11.379413,-17.085972,-28.964226,-1.9198798
-11.3,high,34.805908,-131.89137,110.47919,16.61026,-27.820179
-11.3,low,5.2754641,-11.304258,-16.925943,-28.609209,-1.9148802
-11.2,high,34.805908,-131.14055,108.95953,16.774925,-27.747541
-11.2,low,5.2754641,-11.229342,-16.766783,-28.257145,-1.9098804
-11.1,high,34.805908,-130.39186,107.45094,16.932636,-27.674904
-11.1,low,5.2754641,-11.154662,-16.60849,-27.908026,-1.9048808
-11,high,34.805908,-129.64529,105.95332,17.083477,-27.602266
-11,low,5.2754641,-11.08022,-16.451061,-27.561827,-1.899881
-10.9,high,34.805908,-128.90085,104.46667,17.227522,-27.529629
-10.9,low,5.2754641,-11.006017,-16.294497,-27.218536,-1.8948814
-10.8,high,34.805908,-128.15855,102.99097,17.364847,-27.456991
-10.8,low,5.2754641,-10.932051,-16.138794,-26.878143,-1.8898816
-10.7,high,34.805908,-127.41837,101.52615,17.495535,-27.384354
-10.7,low,5.2754641,-10.858322,-15.983947,-26.540625,-1.884882
-10.6,high,34.805908,-126.68031,100.0722,17.619659,-27.311716
-10.6,low,5.2754641,-10.784831,-15.829959,-26.205971,-1.8798823
-10.5,high,34.805908,-125.94439,98.629059,17.737297,-27.239079
-10.5,low,5.2754641,-10.711578,-15.676825,-25.874159,-1.8748826
-10.4,high,34.805908,-125.21059,97.196701,17.848526,-27.166441
-10.4,low,5.2754641,-10.638562,-15.524542,-25.545179,-1.8698829
-10.3,high,34.805908,-124.47892,95.775101,17.953423,-27.093803
-10.3,low,5.2754641,-10.565785,-15.373112,-25.219019,-1.8648832
-10.2,high,34.805908,-123.74938,94.364204,18.052061,-27.021166
-10.2,low,5.2754641,-10.493245,-15.222528,-24.895655,-1.8598835
-10.1,high,34.805908,-123.02197,92.964005,18.144516,-26.948528
-10.1,low,5.2754641,-10.420943,-15.072793,-24.575077,-1.8548839
-10,high,34.805908,-122.29668,91.574425,18.230865,-26.875891
-10,low,5.2754641,-10.348879,-14.9239,-24.257267,-1.8498842
-9.8999996,high,34.805908,-121.57352,90.19545,18.311182,-26.803253
-9.8999996,low,5.2754641,-10.277052,-14.775848,-23.942211,-1.8448845
-9.8000002,high,34.805908,-120.85249,88.827057,18.38554,-26.730616
-9.8000002,low,5.2754641,-10.205462,-14.628638,-23.629898,-1.8398848
-9.6999998,high,34.805908,-120.13359,87.469185,18.454014,-26.657978
-9.6999998,low,5.2754641,-10.134111,-14.482265,-23.320303,-1.8348851
-9.6000004,high,34.805908,-119.41682,86.121819,18.51668,-26.58534
-9.6000004,low,5.2754641,-10.062998,-14.336729,-23.013422,-1.8298855
