temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high_noag,se_high,lowerci_high,upperci_high
-11,27,-71.223007,88.885445,-245.43529,102.98927,-58.174187,111.32349,-276.36423,160.01585
-10.9,27,-71.035576,88.651535,-244.7894,102.71824,-58.021095,111.03054,-275.63696,159.59476
-10.8,27,-70.848152,88.417633,-244.14352,102.44722,-57.868004,110.73759,-274.90967,159.17368
-10.7,27,-70.660721,88.183723,-243.49763,102.17619,-57.714916,110.44463,-274.1824,158.75258
-10.6,27,-70.473297,87.949814,-242.85176,101.90517,-57.561825,110.15167,-273.45514,158.33148
-10.5,27,-70.285866,87.715904,-242.20587,101.63415,-57.408733,109.85871,-272.72784,157.91039
-10.4,27,-70.098434,87.481995,-241.55998,101.36312,-57.255646,109.56576,-272.00058,157.48929
-10.3,27,-69.911003,87.248085,-240.91411,101.09209,-57.102554,109.2728,-271.27332,157.06821
-10.2,27,-69.723579,87.014175,-240.26822,100.82107,-56.949467,108.97984,-270.54602,156.64711
-10.1,27,-69.536148,86.780266,-239.62234,100.55005,-56.796375,108.68689,-269.81876,156.22601
-10,27,-69.348717,86.546356,-238.97646,100.27902,-56.643284,108.39393,-269.09149,155.80492
-9.9,27,-69.161293,86.312447,-238.33058,100.008,-56.490196,108.10098,-268.3642,155.38382
-9.800000000000001,27,-68.973862,86.078537,-237.68469,99.736977,-56.337105,107.80802,-267.63693,154.96272
-9.699999999999999,27,-68.78643,85.844627,-237.03882,99.46595,-56.184013,107.51506,-266.90967,154.54163
-9.6,27,-68.599007,85.610718,-236.39293,99.194923,-56.030926,107.22211,-266.1824,154.12054
-9.5,27,-68.411575,85.376808,-235.74706,98.923904,-55.877834,106.92915,-265.45511,153.69945
-9.4,27,-68.224144,85.142899,-235.10117,98.652878,-55.724747,106.63619,-264.72784,153.27835
-9.300000000000001,27,-68.03672,84.908997,-234.45529,98.381851,-55.571655,106.34324,-264.00058,152.85725
-9.199999999999999,27,-67.849289,84.675087,-233.8094,98.110825,-55.418564,106.05028,-263.27328,152.43616
-9.1,27,-67.661858,84.441177,-233.16353,97.839806,-55.265476,105.75732,-262.54602,152.01506
-9,27,-67.474426,84.207268,-232.51764,97.568779,-55.112385,105.46436,-261.81876,151.59398
-8.9,27,-67.287003,83.973358,-231.87175,97.297752,-54.959293,105.17141,-261.09146,151.17288
-8.800000000000001,27,-67.099571,83.739449,-231.22588,97.026733,-54.806206,104.87846,-260.3642,150.75179
-8.699999999999999,27,-66.91214,83.505539,-230.57999,96.755707,-54.653114,104.58549,-259.63693,150.33069
-8.6,27,-66.724716,83.271629,-229.93411,96.48468,-54.500027,104.29254,-258.90964,149.90959
-8.5,27,-66.537285,83.03772,-229.28822,96.213654,-54.346935,103.99958,-258.18237,149.48849
-8.4,27,-66.349854,82.80381,-228.64233,95.942635,-54.193844,103.70663,-257.45511,149.0674
-8.300000000000001,27,-66.16243,82.569901,-227.99646,95.671608,-54.040756,103.41367,-256.72781,148.64632
-8.199999999999999,27,-65.974998,82.335991,-227.35057,95.400581,-53.887665,103.12071,-256.00055,148.22522
-8.1,27,-65.787567,82.102089,-226.7047,95.129562,-53.734577,102.82776,-255.27328,147.80412
-8,27,-65.600143,81.868172,-226.05881,94.858536,-53.581486,102.5348,-254.54601,147.38303
-7.9,27,-65.412712,81.63427,-225.41293,94.587509,-53.428398,102.24184,-253.81873,146.96193
-7.8,27,-65.225281,81.40036,-224.76704,94.31649,-53.275307,101.94889,-253.09145,146.54085
-7.7,27,-65.037849,81.166451,-224.12117,94.045464,-53.122215,101.65593,-252.36418,146.11975
-7.6,27,-64.850426,80.932541,-223.47528,93.774437,-52.969128,101.36298,-251.6369,145.69865
-7.5,27,-64.662994,80.698631,-222.82941,93.50341,-52.816036,101.07001,-250.90962,145.27756
-7.4,27,-64.475563,80.464722,-222.18352,93.232391,-52.662945,100.77706,-250.18236,144.85646
-7.3,27,-64.288139,80.230812,-221.53764,92.961365,-52.509857,100.48411,-249.45508,144.43536
-7.2,27,-64.100708,79.996902,-220.89175,92.690338,-52.356766,100.19115,-248.7278,144.01427
-7.1,27,-63.91328,79.762993,-220.24588,92.419319,-52.203678,99.898193,-248.00053,143.59319
-7,27,-63.725849,79.529083,-219.59999,92.148293,-52.050587,99.605232,-247.27325,143.17209
-6.9,27,-63.538422,79.295174,-218.95412,91.877266,-51.897495,99.312279,-246.54599,142.75099
-6.8,27,-63.350994,79.061264,-218.30823,91.606239,-51.744408,99.019318,-245.81871,142.3299
-6.7,27,-63.163563,78.827354,-217.66234,91.33522,-51.591316,98.726364,-245.09143,141.9088
-6.6,27,-62.976135,78.593445,-217.01646,91.064194,-51.438225,98.433411,-244.36417,141.4877
-6.5,27,-62.788704,78.359543,-216.37057,90.793167,-51.285137,98.14045,-243.63689,141.06662
-6.4,27,-62.601276,78.125633,-215.7247,90.522148,-51.132046,97.847496,-242.90961,140.64552
-6.3,27,-62.413849,77.891724,-215.07881,90.251122,-50.978958,97.554535,-242.18234,140.22443
-6.2,27,-62.226418,77.657814,-214.43294,89.980095,-50.825867,97.261581,-241.45506,139.80333
-6.1,27,-62.03899,77.423904,-213.78705,89.709068,-50.672775,96.968628,-240.72778,139.38223
-6,27,-61.851559,77.189995,-213.14117,89.438049,-50.519688,96.675667,-240.00052,138.96114
-5.9,27,-61.664131,76.956085,-212.49529,89.167023,-50.366596,96.382713,-239.27324,138.54005
-5.8,27,-61.476704,76.722176,-211.84941,88.895996,-50.213509,96.089752,-238.54597,138.11896
-5.7,27,-61.289272,76.488266,-211.20352,88.624977,-50.060417,95.796799,-237.8187,137.69786
-5.6,27,-61.101845,76.254356,-210.55763,88.353951,-49.907326,95.503845,-237.09142,137.27676
-5.5,27,-60.914417,76.020447,-209.91176,88.082924,-49.754238,95.210884,-236.36415,136.85567
-5.4,27,-60.726986,75.786537,-209.26587,87.811905,-49.601147,94.917931,-235.63687,136.43457
-5.3,27,-60.539558,75.552628,-208.62,87.540878,-49.448059,94.624969,-234.90959,136.01349
-5.2,27,-60.352127,75.318718,-207.97411,87.269852,-49.294968,94.332016,-234.18231,135.59239
-5.1,27,-60.1647,75.084808,-207.32823,86.998825,-49.141876,94.039063,-233.45505,135.1713
-5,27,-59.977272,74.850906,-206.68234,86.727806,-48.988789,93.746101,-232.72777,134.7502
-4.9,27,-59.789841,74.616997,-206.03647,86.456779,-48.835697,93.453148,-232.0005,134.3291
-4.8,27,-59.602413,74.383087,-205.39058,86.185753,-48.68261,93.160187,-231.27322,133.908
-4.7,27,-59.414982,74.149178,-204.74469,85.914726,-48.529518,92.867233,-230.54594,133.48691
-4.6,27,-59.227554,73.915268,-204.09882,85.643707,-48.376427,92.57428,-229.81868,133.06583
-4.5,27,-59.040127,73.681358,-203.45293,85.372681,-48.223339,92.281319,-229.0914,132.64473
-4.4,27,-58.852695,73.447449,-202.80705,85.101654,-48.070248,91.988365,-228.36412,132.22363
-4.3,27,-58.665268,73.213539,-202.16116,84.830635,-47.917156,91.695404,-227.63686,131.80254
-4.2,27,-58.477837,72.97963,-201.51529,84.559608,-47.764069,91.402451,-226.90958,131.38144
-4.1,27,-58.290409,72.74572,-200.8694,84.288582,-47.610977,91.109489,-226.1823,130.96034
-4,27,-58.102982,72.51181,-200.22353,84.017563,-47.45789,90.816536,-225.45503,130.53926
-3.9,27,-57.91555,72.277901,-199.57764,83.746536,-47.304798,90.523582,-224.72775,130.11816
-3.8,27,-57.728123,72.043991,-198.93176,83.47551,-47.151707,90.230621,-224.00047,129.69707
-3.7,27,-57.540695,71.810081,-198.28587,83.204483,-46.998619,89.937668,-223.27321,129.27597
-3.6,27,-57.353264,71.57618,-197.63998,82.933464,-46.845528,89.644707,-222.54593,128.85487
-3.5,27,-57.165836,71.34227,-196.99411,82.662437,-46.692436,89.351753,-221.81866,128.43378
-3.4,27,-56.978409,71.10836,-196.34822,82.391411,-46.539349,89.0588,-221.09138,128.0127
-3.3,27,-56.790977,70.874451,-195.70235,82.120392,-46.386257,88.765839,-220.36411,127.59159
-3.2,27,-56.60355,70.640541,-195.05646,81.849365,-46.23317,88.472885,-219.63684,127.1705
-3.1,27,-56.416119,70.406631,-194.41058,81.578339,-46.080078,88.179924,-218.90956,126.7494
