temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_hr_ag,se_hr_ag,lowerci_hr_ag,upperci_hr_ag,yhat_hr_noag,se_hr_noag,lowerci_hr_noag,upperci_hr_noag
33,27,8.2374382,9.2457285,-9.8838568,26.358732,22.11384,15.94056,-9.1290836,53.356762,17.737686,14.268449,-10.22796,45.703331
33.1,27,8.2933578,9.3653402,-10.062371,26.649086,21.251181,16.181839,-10.464642,52.967003,17.568796,14.440288,-10.733649,45.871239
33.2,27,8.3452501,9.4878111,-10.250518,26.941017,20.327509,16.425835,-11.866537,52.521553,17.376892,14.613235,-11.264523,46.018307
33.3,27,8.393033,9.613596,-10.449268,27.235336,19.341734,16.672907,-13.336563,52.020031,17.161552,14.787704,-11.821815,46.14492
33.4,27,8.4366579,9.7431955,-10.659655,27.532969,18.292955,16.923473,-14.876442,51.462353,16.922447,14.964177,-12.4068,46.251698
33.5,27,8.4760418,9.8771,-10.882719,27.834803,17.180084,17.177921,-16.488026,50.848194,16.659157,15.143117,-13.020806,46.339123
33.6,27,8.5111265,10.015838,-11.119555,28.141808,16.002161,17.436691,-18.173126,50.177448,16.371325,15.325041,-13.665204,46.407852
33.7,27,8.541852,10.159948,-11.371281,28.454985,14.758209,17.70023,-19.933605,49.450024,16.058586,15.510488,-14.341413,46.458584
33.8,27,8.5681391,10.309969,-11.639029,28.775307,13.447162,17.968969,-21.771372,48.665695,15.720527,15.69999,-15.050889,46.491943
33.9,27,8.5899353,10.466469,-11.923966,29.103838,12.068101,18.243395,-23.688297,47.824497,15.356814,15.894142,-15.795132,46.508762
34,27,8.6071615,10.630004,-12.227263,29.441587,10.61995,18.523964,-25.68635,46.92625,14.96703,16.093517,-16.575684,46.509743
34.1,27,8.6197577,10.801153,-12.550114,29.789629,9.101737,18.811171,-27.767479,45.970951,14.550811,16.298737,-17.394125,46.495747
34.2,27,8.6276636,10.980497,-12.893715,30.149042,7.5125012,19.105522,-29.933636,44.958637,14.107803,16.510441,-18.252068,46.467674
34.3,27,8.6308002,11.168604,-13.259261,30.520861,5.8511515,19.407509,-32.186867,43.889168,13.637583,16.729259,-19.151165,46.426331
34.4,27,8.6291151,11.366058,-13.647949,30.906179,4.1167889,19.717659,-34.52911,42.762688,13.139822,16.955872,-20.093075,46.372719
34.5,27,8.62253,11.573421,-14.060959,31.306019,2.3083315,20.036474,-36.962437,41.579098,12.6141,17.190929,-21.079502,46.307701
34.6,27,8.6109829,11.791263,-14.499467,31.721434,.42480856,20.364491,-39.488857,40.338474,12.060058,17.435129,-22.112165,46.232281
34.7,27,8.5944157,12.020142,-14.964628,32.153461,-1.5347409,20.702244,-42.110394,39.040913,11.477338,17.689167,-23.192793,46.147469
34.8,27,8.5727482,12.260593,-15.457573,32.603069,-3.5714087,21.050253,-44.829147,37.686329,10.865518,17.953726,-24.323141,46.054176
34.9,27,8.545929,12.513154,-15.979401,33.071259,-5.6860886,21.409067,-47.647091,36.274914,10.22427,18.229523,-25.504936,45.953476
35,27,8.5138779,12.778329,-16.531187,33.558945,-7.8798771,21.779203,-50.56633,34.806576,9.5531712,18.517239,-26.739948,45.846291
35.1,27,8.4765348,13.056621,-17.113972,34.067039,-10.15374,22.161203,-53.588902,33.281422,8.851861,18.817581,-28.029922,45.733643
35.2,27,8.4338408,13.348508,-17.728754,34.596436,-12.508619,22.555607,-56.716797,31.699558,8.1199913,19.131252,-29.376575,45.616558
35.3,27,8.3857155,13.654442,-18.376499,35.14793,-14.945625,22.962927,-59.952137,30.060884,7.3571305,19.458923,-30.78166,45.495922
35.4,27,8.3321104,13.974864,-19.058121,35.72234,-17.465622,23.383699,-63.296829,28.365587,6.5629654,19.801285,-32.246841,45.372772
35.5,27,8.2729387,14.310188,-19.774515,36.320393,-20.069782,23.818434,-66.753052,26.613489,5.7370405,20.158991,-33.773857,45.247936
