year,cons,beta1,beta2,ssp,global_consumption,ratio
2179,0,.15349308,.3303757,SSP3,491891530704058.4,1.4269432
2180,0,.15417676,.33184722,SSP3,494082450872774.8,1.4332989
2181,0,.15486346,.3333253,SSP3,496283129557111.2,1.439683
2182,0,.15555324,.33480996,SSP3,498493610222196.1,1.4460953
2183,0,.15624608,.33630121,SSP3,500713936526755.3,1.4525363
2184,0,.15694201,.33779913,SSP3,502944152323973.1,1.4590061
2185,0,.15764105,.33930373,SSP3,505184301662359.4,1.4655046
2186,0,.1583432,.34081501,SSP3,507434428786619.4,1.4720321
2187,0,.15904845,.34233299,SSP3,509694578138527.3,1.4785886
2188,0,.15975687,.34385777,SSP3,511964794357803.8,1.4851743
2189,0,.16046844,.34538937,SSP3,514245122282998.5,1.4917895
2190,0,.16118318,.34692773,SSP3,516535606952375.2,1.4984339
2191,0,.1619011,.34847298,SSP3,518836293604801,1.5051081
2192,0,.16262223,.35002512,SSP3,521147227680640.4,1.511812
2193,0,.16334654,.35158414,SSP3,523468454822652.5,1.5185456
2194,0,.16407411,.3531501,SSP3,525800020876892.7,1.5253093
2195,0,.16480491,.35472307,SSP3,528141971893617.4,1.5321032
2196,0,.16553897,.35630304,SSP3,530494354128194.9,1.5389273
2197,0,.16627629,.35789004,SSP3,532857214042017.9,1.5457819
2198,0,.16701688,.35948411,SSP3,535230598303421.4,1.5526668
2199,0,.16776079,.36108527,SSP3,537614553788604.6,1.5595825
2200,0,.16850801,.36269358,SSP3,540009127582556.8,1.566529
2201,0,.16925856,.36430904,SSP3,542414366979986.8,1.5735065
2202,0,.17001244,.36593169,SSP3,544830319486257.9,1.5805149
2203,0,.17076969,.36756158,SSP3,547257032818325.4,1.5875547
2204,0,.17153031,.36919871,SSP3,549694554905679.5,1.5946257
2205,0,.17229432,.37084317,SSP3,552142933891291.7,1.6017283
2206,0,.17306173,.37249494,SSP3,554602218132565.9,1.6088625
2207,0,.17383257,.37415406,SSP3,557072456202292.9,1.6160285
2208,0,.17460683,.37582055,SSP3,559553696889610.8,1.6232264
2209,0,.17538454,.37749448,SSP3,562045989200967.7,1.6304564
2210,0,.17616571,.37917587,SSP3,564549382361089.9,1.6377186
2211,0,.17695037,.38086474,SSP3,567063925813954.1,1.6450131
2212,0,.17773853,.38256118,SSP3,569589669223764.5,1.6523402
2213,0,.17853019,.38426512,SSP3,572126662475932.8,1.6596998
2214,0,.17932537,.38597667,SSP3,574674955678063.6,1.6670922
2215,0,.18012409,.38769582,SSP3,577234599160945.1,1.6745175
2216,0,.18092638,.38942266,SSP3,579805643479542.1,1.681976
2217,0,.18173224,.39115715,SSP3,582388139413994.8,1.6894675
2218,0,.1825417,.39289942,SSP3,584982137970621.8,1.6969926
2219,0,.18335474,.39464939,SSP3,587587690382927.5,1.7045511
2220,0,.18417141,.39640719,SSP3,590204848112613.9,1.7121433
2221,0,.18499173,.39817283,SSP3,592833662850597.5,1.7197694
2222,0,.18581569,.3999463,SSP3,595474186518029.6,1.7274293
2223,0,.18664333,.40172771,SSP3,598126471267321.6,1.7351234
2224,0,.18747465,.40351704,SSP3,600790569483176.4,1.7428517
2225,0,.18830968,.40531433,SSP3,603466533783621.4,1.7506145
2226,0,.18914843,.40711963,SSP3,606154417021048.8,1.7584119
2227,0,.18999091,.40893298,SSP3,608854272283259,1.7662441
2228,0,.19083714,.41075438,SSP3,611566152894509.1,1.774111
2229,0,.19168715,.41258392,SSP3,614290112416566.9,1.7820131
2230,0,.19254093,.41442159,SSP3,617026204649767.5,1.7899503
2231,0,.19339852,.41626745,SSP3,619774483634076.9,1.7979227
2232,0,.19425993,.41812155,SSP3,622535003650158.8,1.8059309
2233,0,.19512518,.41998389,SSP3,625307819220446.9,1.8139746
2234,0,.19599427,.42185453,SSP3,628092985110221.9,1.8220541
2235,0,.19686724,.42373347,SSP3,630890556328692.8,1.8301697
2236,0,.19774412,.42562082,SSP3,633700588130083.6,1.8383214
2237,0,.19862488,.42751658,SSP3,636523136014724.8,1.8465095
2238,0,.19950958,.42942077,SSP3,639358255730149.1,1.8547339
2239,0,.20039819,.43133342,SSP3,642206003272192.6,1.862995
2240,0,.20129079,.43325463,SSP3,645066434886101.3,1.8712929
2241,0,.20218734,.43518436,SSP3,647939607067641.1,1.8796278
2242,0,.20308791,.43712273,SSP3,650825576564214.4,1.8879999
2243,0,.20399249,.43906969,SSP3,653724400375980.6,1.8964092
2244,0,.20490107,.44102535,SSP3,656636135756981.6,1.9048558
2245,0,.20581372,.44298971,SSP3,659560840216273.3,1.9133402
2246,0,.20673043,.4449628,SSP3,662498571519060.9,1.9218624
2247,0,.20765123,.44694471,SSP3,665449387687839.8,1.9304225
2248,0,.20857611,.44893542,SSP3,668413347003541.8,1.9390208
2249,0,.20950513,.45093501,SSP3,671390508006686.6,1.9476572
2250,0,.21043828,.45294353,SSP3,674380929498537,1.9563323
2251,0,.21137558,.45496094,SSP3,677384670542261.1,1.9650459
2252,0,.21231706,.45698738,SSP3,680401790464098.6,1.9737984
2253,0,.21326274,.45902285,SSP3,683432348854532.5,1.9825898
2254,0,.21421263,.46106735,SSP3,686476405569466.1,1.9914204
2255,0,.21516675,.463121,SSP3,689534020731405,2.0002904
2256,0,.21612512,.46518376,SSP3,692605254730645.1,2.0091999
2257,0,.21708775,.46725571,SSP3,695690168226464.6,2.0181489
2258,0,.21805468,.46933693,SSP3,698788822148323,2.027138
2259,0,.21902591,.47142738,SSP3,701901277697063.6,2.0361669
2260,0,.22000146,.47352713,SSP3,705027596346122.9,2.0452361
2261,0,.22098137,.47563627,SSP3,708167839842743.8,2.0543458
2262,0,.22196563,.47775477,SSP3,711322070209196.9,2.0634959
2263,0,.22295429,.47988275,SSP3,714490349744003.6,2.0726869
2264,0,.22394733,.48202014,SSP3,717672741023168,2.0819187
2265,0,.22494482,.4841671,SSP3,720869306901411.6,2.0911918
2266,0,.22594672,.48632362,SSP3,724080110513416,2.1005061
2267,0,.22695313,.48848978,SSP3,727305215275068.6,2.1098621
2268,0,.22796397,.4906655,SSP3,730544684884716,2.1192594
2269,0,.22897936,.49285099,SSP3,733798583324422,2.1286988
2270,0,.22999926,.4950462,SSP3,737066974861230.8,2.1381803
2271,0,.23102368,.49725118,SSP3,740349924048436.5,2.1477039
2272,0,.23205267,.49946594,SSP3,743647495726858.5,2.1572697
2273,0,.23308626,.50169063,SSP3,746959755026121.9,2.1668785
2274,0,.23412444,.5039252,SSP3,750286767365943.6,2.1765299
2275,0,.23516724,.50616968,SSP3,753628598457424.8,2.1862242
2276,0,.2362147,.50842422,SSP3,756985314304348.5,2.195962
2277,0,.23726681,.51068878,SSP3,760356981204483.4,2.2057428
2278,0,.23832361,.51296341,SSP3,763743665750893,2.2155674
2279,0,.23938513,.51524818,SSP3,767145434833251.5,2.2254357
