year,cons,beta1,beta2,ssp,global_consumption,ratio
2095,0,.134703,.28948131,SSP3,333656378849644.5,
2096,0,.14992739,.28978261,SSP3,336371542317240.5,
2097,0,.14624649,.29493141,SSP3,339119668015817,
2098,0,.15671951,.2927303,SSP3,341901292979833.8,
2099,0,.1543054,.29500449,SSP3,344716964716523.4,
2100,0,.15499268,.29631844,SSP3,346252358809231.4,1.004454
2101,0,.15568303,.29763827,SSP3,347794591657385.9,1.0089279
2102,0,.15637645,.29896396,SSP3,349343693721294.2,1.0134218
2103,0,.15707296,.30029559,SSP3,350899695596936.1,1.0179356
2104,0,.15777259,.30163312,SSP3,352462628016568.1,1.0224696
2105,0,.15847531,.30297664,SSP3,354032521849330.3,1.0270238
2106,0,.15918118,.30432609,SSP3,355609408101856.4,1.0315982
2107,0,.15989017,.30568159,SSP3,357193317918885.5,1.036193
2108,0,.16060235,.30704314,SSP3,358784282583878,1.0408083
2109,0,.16131768,.3084107,SSP3,360382333519632.8,1.0454441
2110,0,.16203621,.30978441,SSP3,361987502288908.3,1.0501007
2111,0,.16275792,.3111642,SSP3,363599820595045.6,1.0547779
2112,0,.16348284,.31255016,SSP3,365219320282594.9,1.0594759
2113,0,.16421102,.31394228,SSP3,366846033337944.2,1.0641949
2114,0,.16494243,.31534061,SSP3,368479991889951.2,1.0689349
2115,0,.16567709,.31674513,SSP3,370121228210577.9,1.073696
2116,0,.16641504,.31815594,SSP3,371769774715527.8,1.0784783
2117,0,.16715626,.31957304,SSP3,373425663964886.4,1.083282
2118,0,.16790079,.32099643,SSP3,375088928663764.2,1.088107
2119,0,.16864862,.32242617,SSP3,376759601662942.3,1.0929534
2120,0,.1693998,.32386228,SSP3,378437715959521.9,1.0978216
2121,0,.1701543,.32530478,SSP3,380123304697575.4,1.1027113
2122,0,.17091219,.32675371,SSP3,381816401168801.5,1.1076229
2123,0,.17167345,.3282091,SSP3,383517038813182.4,1.1125563
2124,0,.1724381,.32967097,SSP3,385225251219644.3,1.1175117
2125,0,.17320615,.33113936,SSP3,386941072126721,1.1224892
2126,0,.17397761,.33261427,SSP3,388664535423220.1,1.1274889
2127,0,.17475253,.33409578,SSP3,390395675148892.3,1.1325108
2128,0,.17553088,.33558384,SSP3,392134525495104.1,1.137555
2129,0,.1763127,.33707854,SSP3,393881120805512.3,1.1426218
2130,0,.17709802,.33857995,SSP3,395635495576743.4,1.1477112
2131,0,.17788683,.34008798,SSP3,397397684459073.8,1.1528231
2132,0,.17867915,.34160277,SSP3,399167722257115.1,1.1579579
2133,0,.17947499,.3431243,SSP3,400945643930500.9,1.1631155
2134,0,.1802744,.34465259,SSP3,402731484594577.8,1.1682961
2135,0,.18107736,.34618771,SSP3,404525279521098.4,1.1734998
2136,0,.18188389,.34772965,SSP3,406327064138918.3,1.1787267
2137,0,.182694,.34927845,SSP3,408136874034695.7,1.1839768
2138,0,.18350773,.35083416,SSP3,409954744953594.4,1.1892502
2139,0,.1843251,.35239682,SSP3,411780712799989.8,1.1945473
2140,0,.18514608,.35396639,SSP3,413614813638177.9,1.1998678
2141,0,.18597075,.35554302,SSP3,415457083693087.6,1.2052122
2142,0,.18679906,.35712659,SSP3,417307559350996.3,1.2105802
2143,0,.18763109,.35871729,SSP3,419166277160248.4,1.2159723
2144,0,.18846682,.36031505,SSP3,421033273831977.3,1.2213883
2145,0,.18930626,.36191991,SSP3,422908586240830.8,1.2268285
2146,0,.19014944,.36353192,SSP3,424792251425698.1,1.2322929
2147,0,.19099638,.36515111,SSP3,426684306590443.3,1.2377815
2148,0,.19184709,.36677751,SSP3,428584789104638.4,1.2432947
2149,0,.19270159,.36841118,SSP3,430493736504302.8,1.2488325
2150,0,.1935599,.37005213,SSP3,432411186492643.4,1.2543949
2151,0,.19442202,.37170035,SSP3,434337176940800.4,1.259982
2152,0,.195288,.37335595,SSP3,436271745888594.4,1.2655941
2153,0,.19615783,.37501889,SSP3,438214931545278.4,1.2712312
2154,0,.19703153,.37668926,SSP3,440166772290291.9,1.2768933
2155,0,.19790912,.37836704,SSP3,442127306674019.3,1.2825806
2156,0,.19879062,.38005233,SSP3,444096573418551.3,1.2882934
2157,0,.19967605,.3817451,SSP3,446074611418449.1,1.2940315
2158,0,.20056543,.38344544,SSP3,448061459741513.6,1.2997953
2159,0,.20145874,.38515329,SSP3,450057157629556.3,1.3055845
2160,0,.20235607,.38686883,SSP3,452061744499174.6,1.3113998
2161,0,.20325737,.38859195,SSP3,454075259942530,1.3172408
2162,0,.2041627,.39032277,SSP3,456097743728130.6,1.323108
2163,0,.20507206,.39206132,SSP3,458129235801616.3,1.3290012
2164,0,.20598546,.39380759,SSP3,460169776286547.4,1.3349206
2165,0,.20690294,.39556161,SSP3,462219405485197.9,1.3408664
2166,0,.20782448,.39732346,SSP3,464278163879350.8,1.3468387
2167,0,.20875016,.39909318,SSP3,466346092131097.5,1.3528377
2168,0,.20967995,.4008708,SSP3,468423231083641.9,1.3588634
2169,0,.21061386,.40265626,SSP3,470509621762106.2,1.3649157
2170,0,.21155195,.40444973,SSP3,472605305374341.3,1.3709952
2171,0,.21249422,.40625116,SSP3,474710323311740.9,1.3771017
2172,0,.2134407,.40806067,SSP3,476824717150059.1,1.3832355
2173,0,.21439137,.40987819,SSP3,478948528650231.3,1.3893964
2174,0,.21534629,.41170382,SSP3,481081799759198.9,1.3955849
2175,0,.21630546,.41353759,SSP3,483224572610738.4,1.401801
2176,0,.2172689,.41537949,SSP3,485376889526292.6,1.4080447
2177,0,.21823663,.41722962,SSP3,487538793015807.6,1.4143162
2178,0,.21920867,.41908801,SSP3,489710325778571.7,1.4206157
2179,0,.22018504,.42095464,SSP3,491891530704058.4,1.4269432
2180,0,.22116576,.42282963,SSP3,494082450872774.8,1.4332989
2181,0,.22215085,.42471293,SSP3,496283129557111.2,1.439683
2182,0,.22314031,.42660463,SSP3,498493610222196.1,1.4460953
2183,0,.22413421,.42850474,SSP3,500713936526755.3,1.4525363
2184,0,.22513251,.43041334,SSP3,502944152323973.1,1.4590061
2185,0,.22613528,.43233046,SSP3,505184301662359.4,1.4655046
2186,0,.2271425,.43425608,SSP3,507434428786619.4,1.4720321
2187,0,.2281542,.43619028,SSP3,509694578138527.3,1.4785886
2188,0,.22917041,.43813309,SSP3,511964794357803.8,1.4851743
2189,0,.23019117,.44008458,SSP3,514245122282998.5,1.4917895
2190,0,.23121645,.44204473,SSP3,516535606952375.2,1.4984339
2191,0,.23224631,.44401366,SSP3,518836293604801,1.5051081
2192,0,.23328075,.44599131,SSP3,521147227680640.4,1.511812
2193,0,.23431979,.44797778,SSP3,523468454822652.5,1.5185456
2194,0,.23536347,.44997311,SSP3,525800020876892.7,1.5253093
2195,0,.2364118,.45197731,SSP3,528141971893617.4,1.5321032
2196,0,.23746479,.45399046,SSP3,530494354128194.9,1.5389273
2197,0,.23852248,.45601258,SSP3,532857214042017.9,1.5457819
2198,0,.23958486,.45804366,SSP3,535230598303421.4,1.5526668
2199,0,.24065199,.46008381,SSP3,537614553788604.6,1.5595825
2200,0,.24172388,.46213308,SSP3,540009127582556.8,1.566529
2201,0,.24280055,.46419147,SSP3,542414366979986.8,1.5735065
2202,0,.24388199,.466259,SSP3,544830319486257.9,1.5805149
2203,0,.24496827,.46833575,SSP3,547257032818325.4,1.5875547
2204,0,.24605936,.47042173,SSP3,549694554905679.5,1.5946257
2205,0,.24715532,.47251704,SSP3,552142933891291.7,1.6017283
2206,0,.24825618,.47462165,SSP3,554602218132565.9,1.6088625
2207,0,.24936193,.47673568,SSP3,557072456202292.9,1.6160285
2208,0,.25047261,.47885907,SSP3,559553696889610.8,1.6232264
2209,0,.25158823,.48099196,SSP3,562045989200967.7,1.6304564
2210,0,.25270882,.48313433,SSP3,564549382361089.9,1.6377186
2211,0,.2538344,.48528624,SSP3,567063925813954.1,1.6450131
2212,0,.25496501,.48744777,SSP3,569589669223764.5,1.6523402
2213,0,.25610062,.4896189,SSP3,572126662475932.8,1.6596998
2214,0,.25724134,.49179968,SSP3,574674955678063.6,1.6670922
2215,0,.25838709,.49399018,SSP3,577234599160945.1,1.6745175
2216,0,.25953797,.49619046,SSP3,579805643479542.1,1.681976
2217,0,.26069397,.49840051,SSP3,582388139413994.8,1.6894675
2218,0,.26185513,.50062042,SSP3,584982137970621.8,1.6969926
2219,0,.26302144,.50285023,SSP3,587587690382927.5,1.7045511
2220,0,.26419297,.50508994,SSP3,590204848112613.9,1.7121433
2221,0,.26536968,.50733966,SSP3,592833662850597.5,1.7197694
2222,0,.26655167,.50959939,SSP3,595474186518029.6,1.7274293
2223,0,.26773891,.51186919,SSP3,598126471267321.6,1.7351234
2224,0,.26893142,.51414907,SSP3,600790569483176.4,1.7428517
2225,0,.27012926,.51643914,SSP3,603466533783621.4,1.7506145
2226,0,.27133244,.5187394,SSP3,606154417021048.8,1.7584119
2227,0,.27254099,.52104992,SSP3,608854272283259,1.7662441
2228,0,.27375492,.52337074,SSP3,611566152894509.1,1.774111
2229,0,.27497423,.52570182,SSP3,614290112416566.9,1.7820131
2230,0,.27619898,.52804333,SSP3,617026204649767.5,1.7899503
2231,0,.27742919,.53039527,SSP3,619774483634076.9,1.7979227
2232,0,.27866489,.5327577,SSP3,622535003650158.8,1.8059309
2233,0,.27990606,.53513068,SSP3,625307819220446.9,1.8139746
2234,0,.28115278,.53751415,SSP3,628092985110221.9,1.8220541
2235,0,.28240505,.53990829,SSP3,630890556328692.8,1.8301697
2236,0,.28366292,.5423131,SSP3,633700588130083.6,1.8383214
2237,0,.28492638,.54472858,SSP3,636523136014724.8,1.8465095
2238,0,.28619546,.54715484,SSP3,639358255730149.1,1.8547339
2239,0,.28747019,.5495919,SSP3,642206003272192.6,1.862995
2240,0,.28875062,.5520398,SSP3,645066434886101.3,1.8712929
2241,0,.29003671,.55449861,SSP3,647939607067641.1,1.8796278
2242,0,.29132858,.55696845,SSP3,650825576564214.4,1.8879999
2243,0,.29262617,.5594492,SSP3,653724400375980.6,1.8964092
2244,0,.29392955,.56194103,SSP3,656636135756981.6,1.9048558
2245,0,.29523873,.56444395,SSP3,659560840216273.3,1.9133402
2246,0,.29655373,.56695801,SSP3,662498571519060.9,1.9218624
2247,0,.29787463,.56948334,SSP3,665449387687839.8,1.9304225
2248,0,.29920137,.57201982,SSP3,668413347003541.8,1.9390208
2249,0,.30053401,.57456762,SSP3,671390508006686.6,1.9476572
2250,0,.30187264,.5771268,SSP3,674380929498537,1.9563323
2251,0,.3032172,.57969737,SSP3,677384670542261.1,1.9650459
2252,0,.30456775,.58227938,SSP3,680401790464098.6,1.9737984
2253,0,.30592433,.5848729,SSP3,683432348854532.5,1.9825898
2254,0,.30728692,.58747792,SSP3,686476405569466.1,1.9914204
2255,0,.30865562,.59009463,SSP3,689534020731405,2.0002904
2256,0,.31003037,.59272295,SSP3,692605254730645.1,2.0091999
2257,0,.31141126,.59536296,SSP3,695690168226464.6,2.0181489
2258,0,.31279832,.59801483,SSP3,698788822148323,2.027138
2259,0,.31419155,.60067838,SSP3,701901277697063.6,2.0361669
2260,0,.31559098,.60335386,SSP3,705027596346122.9,2.0452361
2261,0,.31699666,.60604125,SSP3,708167839842743.8,2.0543458
2262,0,.31840855,.60874057,SSP3,711322070209196.9,2.0634959
2263,0,.31982678,.61145192,SSP3,714490349744003.6,2.0726869
2264,0,.3212513,.61417538,SSP3,717672741023168,2.0819187
2265,0,.32268217,.61691093,SSP3,720869306901411.6,2.0911918
2266,0,.32411942,.61965871,SSP3,724080110513416,2.1005061
2267,0,.3255631,.62241876,SSP3,727305215275068.6,2.1098621
2268,0,.32701316,.62519103,SSP3,730544684884716,2.1192594
2269,0,.32846972,.6279757,SSP3,733798583324422,2.1286988
2270,0,.32993275,.63077277,SSP3,737066974861230.8,2.1381803
2271,0,.3314023,.63358229,SSP3,740349924048436.5,2.1477039
2272,0,.33287835,.63640422,SSP3,743647495726858.5,2.1572697
2273,0,.33436105,.63923889,SSP3,746959755026121.9,2.1668785
2274,0,.3358503,.64208609,SSP3,750286767365943.6,2.1765299
2275,0,.3373462,.64494598,SSP3,753628598457424.8,2.1862242
2276,0,.33884877,.64781862,SSP3,756985314304348.5,2.195962
2277,0,.34035802,.65070403,SSP3,760356981204483.4,2.2057428
2278,0,.341874,.6536023,SSP3,763743665750893,2.2155674
2279,0,.34339675,.65651351,SSP3,767145434833251.5,2.2254357
2280,0,.34492627,.65943766,SSP3,770562355639164.1,2.235348
2281,0,.34646258,.66237485,SSP3,773994495655494.5,2.2453043
2282,0,.34800574,.66532511,SSP3,777441922669698.1,2.2553051
2283,0,.34955579,.66828853,SSP3,780904704771160,2.2653503
2284,0,.35111275,.67126513,SSP3,784382910352540.6,2.2754405
2285,0,.35267663,.67425501,SSP3,787876608111125.9,2.2855754
2286,0,.35424745,.67725813,SSP3,791385867050184.6,2.2957554
2287,0,.3558253,.68027472,SSP3,794910756480331.3,2.3059809
2288,0,.35741019,.68330473,SSP3,798451346020894.4,2.316252
2289,0,.35900208,.6863482,SSP3,802007705601292.4,2.3265686
2290,0,.36060113,.68940526,SSP3,805579905462413.8,2.3369315
2291,0,.36220729,.69247591,SSP3,809168016158005.5,2.3473403
2292,0,.36382058,.69556022,SSP3,812772108556066,2.3577955
2293,0,.36544105,.69865835,SSP3,816392253840244.5,2.3682973
2294,0,.36706877,.70177025,SSP3,820028523511247.5,2.3788459
2295,0,.36870372,.70489597,SSP3,823680989388250.9,2.3894415
2296,0,.37034595,.70803565,SSP3,827349723610318.1,2.4000843
2297,0,.37199548,.71118921,SSP3,831034798637825.4,2.4107742
2298,0,.3736524,.71435696,SSP3,834736287253892.3,2.4215121
2299,0,.37531668,.71753871,SSP3,838454262565819.9,2.4322977
2300,0,.37698832,.72073466,SSP3,842188798006534.5,2.4431312
