,year,cons,beta1,beta2
92,2107,0.0,0.09053213490203196,0.2591516837565507
93,2108,0.0,0.08918194817686916,0.26201748699105054
94,2109,0.0,0.08783176145170636,0.26488329022555046
95,2110,0.0,0.08648157472654357,0.26774909346005044
96,2111,0.0,0.08513138800138077,0.27061489669455024
97,2112,0.0,0.08378120127621799,0.2734806999290502
98,2113,0.0,0.08243101455105517,0.2763465031635501
99,2114,0.0,0.08108082782589239,0.27921230639805
100,2115,0.0,0.07973064110072957,0.2820781096325499
101,2116,0.0,0.0783804543755668,0.2849439128670498
102,2117,0.0,0.077030267650404,0.2878097161015497
103,2118,0.0,0.07568008092524121,0.2906755193360496
104,2119,0.0,0.0743298942000784,0.2935413225705496
105,2120,0.0,0.07297970747491563,0.29640712580504947
106,2121,0.0,0.0716295207497528,0.2992729290395494
107,2122,0.0,0.07027933402459002,0.3021387322740493
108,2123,0.0,0.06892914729942723,0.30500453550854917
109,2124,0.0,0.06757896057426444,0.3078703387430491
110,2125,0.0,0.06622877384910163,0.310736141977549
111,2126,0.0,0.06487858712393883,0.31360194521204887
112,2127,0.0,0.06352840039877602,0.31646774844654885
113,2128,0.0,0.06217821367361325,0.3193335516810488
114,2129,0.0,0.06082802694845044,0.32219935491554863
115,2130,0.0,0.059477840223287656,0.3250651581500486
116,2131,0.0,0.05812765349812485,0.3279309613845485
117,2132,0.0,0.056777466772962075,0.3307967646190484
118,2133,0.0,0.05542728004779925,0.33366256785354825
119,2134,0.0,0.05407709332263648,0.33652837108804823
120,2135,0.0,0.052726906597473665,0.3393941743225481
121,2136,0.0,0.051376719872310884,0.342259977557048
122,2137,0.0,0.05002653314714807,0.34512578079154793
123,2138,0.0,0.04867634642198529,0.34799158402604785
124,2139,0.0,0.04732615969682251,0.35085738726054777
125,2140,0.0,0.0459759729716597,0.35372319049504775
126,2141,0.0,0.04462578624649692,0.3565889937295476
127,2142,0.0,0.04327559952133411,0.3594547969640475
128,2143,0.0,0.041925412796171325,0.36232060019854745
129,2144,0.0,0.04057522607100852,0.3651864034330473
130,2145,0.0,0.03922503934584573,0.3680522066675472
131,2146,0.0,0.03787485262068292,0.3709180099020471
132,2147,0.0,0.036524665895520135,0.3737838131365471
133,2148,0.0,0.03517447917035733,0.3766496163710469
134,2149,0.0,0.03382429244519455,0.37951541960554686
135,2150,0.0,0.03247410572003174,0.38238122284004683
136,2151,0.0,0.031123918994868962,0.3852470260745467
137,2152,0.0,0.029773732269706144,0.38811282930904656
138,2153,0.0,0.028423545544543363,0.39097863254354653
139,2154,0.0,0.02707335881938056,0.3938444357780465
140,2155,0.0,0.025723172094217775,0.3967102390125463
141,2156,0.0,0.02437298536905496,0.39957604224704635
142,2157,0.0,0.02302279864389218,0.4024418454815461
143,2158,0.0,0.02167261191872937,0.4053076487160461
144,2159,0.0,0.020322425193566588,0.408173451950546
145,2160,0.0,0.018972238468403773,0.4110392551850459
146,2161,0.0,0.017622051743240996,0.4139050584195458
147,2162,0.0,0.016271865018078188,0.4167708616540457
148,2163,0.0,0.014921678292915403,0.4196366648885456
149,2164,0.0,0.013571491567752595,0.4225024681230455
150,2165,0.0,0.012221304842589813,0.42536827135754546
151,2166,0.0,0.010871118117427001,0.4282340745920453
152,2167,0.0,0.009520931392264221,0.4310998778265453
153,2168,0.0,0.00817074466710141,0.4339656810610452
154,2169,0.0,0.006820557941938629,0.4368314842955451
155,2170,0.0,0.005470371216775818,0.439697287530045
156,2171,0.0,0.0041201844916130366,0.4425630907645449
157,2172,0.0,0.0027699977664502567,0.4454288939990448
158,2173,0.0,0.0014198110412874448,0.4482946972335448
159,2174,0.0,6.96243161246643e-05,0.4511605004680446
160,2175,0.0,-0.001280562409038147,0.4540263037025446
161,2176,0.0,-0.002630749134200928,0.45689210693704435
162,2177,0.0,-0.003980935859363739,0.4597579101715444
163,2178,0.0,-0.005331122584526521,0.4626237134060443
164,2179,0.0,-0.006681309309689331,0.46548951664054417
