,discount_type,ssp,year,global_cons_constant_model_collapsed
472,constant_model_collapsed,SSP3,2211,567063925813954.1
473,constant_model_collapsed,SSP3,2212,569589669223764.5
474,constant_model_collapsed,SSP3,2213,572126662475932.8
475,constant_model_collapsed,SSP3,2214,574674955678063.6
476,constant_model_collapsed,SSP3,2215,577234599160945.1
477,constant_model_collapsed,SSP3,2216,579805643479542.1
478,constant_model_collapsed,SSP3,2217,582388139413994.8
479,constant_model_collapsed,SSP3,2218,584982137970621.8
480,constant_model_collapsed,SSP3,2219,587587690382927.5
481,constant_model_collapsed,SSP3,2220,590204848112613.9
482,constant_model_collapsed,SSP3,2221,592833662850597.5
483,constant_model_collapsed,SSP3,2222,595474186518029.6
484,constant_model_collapsed,SSP3,2223,598126471267321.6
485,constant_model_collapsed,SSP3,2224,600790569483176.4
486,constant_model_collapsed,SSP3,2225,603466533783621.4
487,constant_model_collapsed,SSP3,2226,606154417021048.8
488,constant_model_collapsed,SSP3,2227,608854272283259.0
489,constant_model_collapsed,SSP3,2228,611566152894509.1
490,constant_model_collapsed,SSP3,2229,614290112416566.9
491,constant_model_collapsed,SSP3,2230,617026204649767.5
492,constant_model_collapsed,SSP3,2231,619774483634076.9
493,constant_model_collapsed,SSP3,2232,622535003650158.8
494,constant_model_collapsed,SSP3,2233,625307819220446.9
495,constant_model_collapsed,SSP3,2234,628092985110221.9
496,constant_model_collapsed,SSP3,2235,630890556328692.8
497,constant_model_collapsed,SSP3,2236,633700588130083.6
498,constant_model_collapsed,SSP3,2237,636523136014724.8
499,constant_model_collapsed,SSP3,2238,639358255730149.1
500,constant_model_collapsed,SSP3,2239,642206003272192.6
501,constant_model_collapsed,SSP3,2240,645066434886101.2
502,constant_model_collapsed,SSP3,2241,647939607067641.1
503,constant_model_collapsed,SSP3,2242,650825576564214.4
504,constant_model_collapsed,SSP3,2243,653724400375980.6
505,constant_model_collapsed,SSP3,2244,656636135756981.6
506,constant_model_collapsed,SSP3,2245,659560840216273.2
507,constant_model_collapsed,SSP3,2246,662498571519060.9
508,constant_model_collapsed,SSP3,2247,665449387687839.8
509,constant_model_collapsed,SSP3,2248,668413347003541.8
510,constant_model_collapsed,SSP3,2249,671390508006686.6
511,constant_model_collapsed,SSP3,2250,674380929498537.0
512,constant_model_collapsed,SSP3,2251,677384670542261.1
513,constant_model_collapsed,SSP3,2252,680401790464098.6
514,constant_model_collapsed,SSP3,2253,683432348854532.5
515,constant_model_collapsed,SSP3,2254,686476405569466.1
516,constant_model_collapsed,SSP3,2255,689534020731405.0
517,constant_model_collapsed,SSP3,2256,692605254730645.1
518,constant_model_collapsed,SSP3,2257,695690168226464.6
519,constant_model_collapsed,SSP3,2258,698788822148323.0
520,constant_model_collapsed,SSP3,2259,701901277697063.6
521,constant_model_collapsed,SSP3,2260,705027596346122.9
522,constant_model_collapsed,SSP3,2261,708167839842743.8
523,constant_model_collapsed,SSP3,2262,711322070209196.9
524,constant_model_collapsed,SSP3,2263,714490349744003.6
525,constant_model_collapsed,SSP3,2264,717672741023168.0
526,constant_model_collapsed,SSP3,2265,720869306901411.6
527,constant_model_collapsed,SSP3,2266,724080110513416.0
528,constant_model_collapsed,SSP3,2267,727305215275068.6
529,constant_model_collapsed,SSP3,2268,730544684884716.0
530,constant_model_collapsed,SSP3,2269,733798583324422.0
531,constant_model_collapsed,SSP3,2270,737066974861230.8
532,constant_model_collapsed,SSP3,2271,740349924048436.5
533,constant_model_collapsed,SSP3,2272,743647495726858.5
534,constant_model_collapsed,SSP3,2273,746959755026121.9
535,constant_model_collapsed,SSP3,2274,750286767365943.6
536,constant_model_collapsed,SSP3,2275,753628598457424.8
537,constant_model_collapsed,SSP3,2276,756985314304348.5
538,constant_model_collapsed,SSP3,2277,760356981204483.4
539,constant_model_collapsed,SSP3,2278,763743665750893.0
540,constant_model_collapsed,SSP3,2279,767145434833251.5
541,constant_model_collapsed,SSP3,2280,770562355639164.1
542,constant_model_collapsed,SSP3,2281,773994495655494.5
543,constant_model_collapsed,SSP3,2282,777441922669698.1
544,constant_model_collapsed,SSP3,2283,780904704771160.0
545,constant_model_collapsed,SSP3,2284,784382910352540.6
546,constant_model_collapsed,SSP3,2285,787876608111125.9
547,constant_model_collapsed,SSP3,2286,791385867050184.6
548,constant_model_collapsed,SSP3,2287,794910756480331.2
549,constant_model_collapsed,SSP3,2288,798451346020894.4
550,constant_model_collapsed,SSP3,2289,802007705601292.4
551,constant_model_collapsed,SSP3,2290,805579905462413.8
552,constant_model_collapsed,SSP3,2291,809168016158005.5
553,constant_model_collapsed,SSP3,2292,812772108556066.0
554,constant_model_collapsed,SSP3,2293,816392253840244.5
555,constant_model_collapsed,SSP3,2294,820028523511247.5
556,constant_model_collapsed,SSP3,2295,823680989388250.9
557,constant_model_collapsed,SSP3,2296,827349723610318.1
558,constant_model_collapsed,SSP3,2297,831034798637825.4
559,constant_model_collapsed,SSP3,2298,834736287253892.2
560,constant_model_collapsed,SSP3,2299,838454262565819.9
561,constant_model_collapsed,SSP3,2300,842188798006534.5
