,year,ce_damages,reg_damages,fair_temperatures_anomaly_rcp,diff,level_ce,level_reg,slope_ce,slope_reg
121,2136,0.001507582236912497,0.001508441361558699,1.4969335,-8.591246462019697e-07,0.8438470803518882,0.8676739719709251,1.0760575721010976,1.0766853606554
122,2137,0.001517732277567796,0.0015187577564662602,1.4953854,-1.0254788984642715e-06,0.8465714510701055,0.8708619224319886,1.0822186406657106,1.08296471270376
123,2138,0.0015278448075271012,0.001529038755748835,1.4938067,-1.1939482217337982e-06,0.8492418155442153,0.8739952990251827,1.0883406659454318,1.08920629376654
124,2139,0.001538556526920254,0.0015399020055197887,1.4928443,-1.3454785995348217e-06,0.8525657837790279,0.8777824072220108,1.0948770610664251,1.0958499475884
125,2140,0.0015506463540306825,0.00155209951650781,1.4933755,-1.4531624771274565e-06,0.8575223752006729,0.8832039137505757,1.102459065905934,1.10350788541
126,2141,0.001566218420219645,0.0015676724053569346,1.4973483,-1.4539851372896706e-06,0.8663113873199257,0.892461443376361,1.1125016333657944,1.11355030760194
127,2142,0.0015846107919942343,0.0015859776999294084,1.5040171999999998,-1.3669079351741331e-06,0.8781983454646695,0.9048198438085648,1.1245279940342043,1.12551411735792
128,2143,0.0016028786914320525,0.0016041651054421457,1.5103168,-1.2864140100932175e-06,0.8897945373307592,0.9168876434898878,1.1363631917280703,1.13729148622208
129,2144,0.001621118295470514,0.0016223197272600132,1.5165693999999998,-1.2014317894992743e-06,0.9014575728679657,0.9290221576351942,1.1482362755562374,1.1491037358895602
130,2145,0.001638255436404168,0.001639405075421485,1.5216346,-1.1496390173171278e-06,0.9118638978812451,0.939898947628806,1.1593069838892267,1.16013721980032
131,2146,0.0016527019865874015,0.0016538915949542154,1.5238056999999998,-1.1896083668139212e-06,0.9189795306416922,0.9474830142078068,1.1682888080634743,1.1691466767427
132,2147,0.0016669188846311078,0.0016681486046484784,1.5259236999999999,-1.2297200173705392e-06,0.9260682082006874,0.9550403864314112,1.1772558241783773,1.1781414887791
133,2148,0.0016797002868395028,0.0016810157227075129,1.5266423999999998,-1.3154358680100842e-06,0.9315323898325434,0.9609721038611648,1.1851930277619058,1.18613863093152
134,2149,0.0016922233400111786,0.0016936333509635082,1.527091,-1.4100109523296211e-06,0.9366853582069382,0.9665924339210687,1.1929334557269031,1.1939451365006
135,2150,0.0017050946685130963,0.0017065890052325727,1.5278352,-1.4943367194764079e-06,0.942200074983667,0.9725749745170909,1.2009050898681666,1.2019755059587198
136,2151,0.00171877386998609,0.0017203266885599255,1.5292875,-1.5528185738356015e-06,0.9485824443522334,0.9794259804769366,1.2094308417708255,1.2105416930900001
137,2152,0.0017355897072877102,0.0017370958022062677,1.533651,-1.5060949185574657e-06,0.9585370296813049,0.9898528485624434,1.2202329898350035,1.2213102817624002
138,2153,0.0017576072201272996,0.0017588997189328381,1.5424912,-1.2924988055385e-06,0.9740903586449319,1.0058826491002533,1.2345857457174514,1.23551219687904
139,2154,0.0017824534303537698,0.0017834377547638613,1.5536908,-9.843244100915527e-07,0.9927864136653246,1.0250563574788134,1.250898311818464,1.2516077950328
140,2155,0.0018052841634006445,0.0018060244013125004,1.5629091999999998,-7.402379118559566e-07,1.0092411989286008,1.0419863305054884,1.2657673366680326,1.2663052033415998
141,2156,0.0018258872762397793,0.0018264501522056165,1.5701201999999999,-5.628759658371507e-07,1.023334320156566,1.0565524634781924,1.2791378161053366,1.2795511681219598
142,2157,0.001843411138660933,0.001843906176801191,1.5742968000000002,-4.950381402579751e-07,1.03366077930026,1.0673506524357943,1.2901486176992774,1.2905143167628803
143,2158,0.0018566052808388633,0.0018571587883977614,1.5751001,-5.535075588980476e-07,1.039680622939135,1.0738409078439073,1.2984728479655474,1.29887944269934
144,2159,0.0018679114231330285,0.0018686008273469668,1.5739251,-6.894042139382606e-07,1.0431296671805124,1.0777599139426384,1.3051913075507833,1.30569278159754
145,2160,0.0018787031252651687,0.0018795419861765694,1.5724261,-8.388609114007295e-07,1.0461368005480673,1.0812363809458554,1.3116299444234567,1.31223563661292
146,2161,0.0018910784668610958,0.0018920144551843876,1.5722698999999998,-9.359883232917809e-07,1.0508934351631598,1.0864628695434901,1.3191629813648276,1.3198361980411
147,2162,0.0019073488341598832,0.0019082514940444995,1.5753591,-9.026598846162415e-07,1.059957739676265,1.0959996690078153,1.329399404061162,1.3300490657711
148,2163,0.0019298113300569852,0.0019304742479848702,1.5834143999999999,-6.629179278849762e-07,1.0757407341609808,1.1122577742177255,1.3438391541979102,1.34432145836032
149,2164,0.001956526217890664,0.001956793317540617,1.5950567,-2.6709964995319524e-07,1.0965805606680838,1.1335725944209898,1.3614022766601528,1.36160891466682
150,2165,0.0019795718426478537,0.0019795759986986905,1.6032851000000001,-4.156050836812142e-09,1.1130132085425515,1.1504781495157286,1.376194527803209,1.37621835269266
155,2170,0.0020508469535505114,0.0020510120964039036,1.6084294,-1.6514285339219725e-07,1.1463154343764586,1.1861410466933513,1.4199144599439313,1.42005095072852
156,2171,0.0020624564431763748,0.0020627490589346653,1.6072788999999998,-2.9261575829053754e-07,1.1499156379432378,1.1902134701485765,1.4267648199008887,1.4269896731554201
157,2172,0.002076891207321241,0.0020772026872661886,1.6085466,-3.1147994494773457e-07,1.1569682634738696,1.197738400589491,1.4357562637342978,1.4359942558053602
158,2173,0.0020976784210169352,0.002097796106009353,1.6144573999999998,-1.1768499241782138e-07,1.1707601127289637,1.2120036214768055,1.4489251937001992,1.44902932325836
