year,pctile,beta1,beta2
2031,.85,.4927213,-.0197174
2031,.9,.6141235,-.049833
2031,.95,.8307819,-.1438507
2032,.05,-.4120373,.0191497
2032,.1,-.2620647,.0064139
2032,.15,-.1838753,.0252505
2032,.2,-.1059628,.0118524
2032,.25,-.0507108,.0082555
2032,.3,.0001517,-.0014966
2032,.35,.0312052,.0091438
2032,.4,.0754975,.0006468
2032,.45,.113935,-.0022606
2032,.5,.1549538,-.0093766
2032,.55,.1941749,-.0068399
2032,.6,.23345,-.0071872
2032,.65,.2737857,-.0063211
2032,.7,.3292825,-.0215838
2032,.75,.3796287,-.0207611
2032,.8,.4463105,-.031533
2032,.85,.5259868,-.0412572
2032,.9,.6573628,-.079366
2032,.95,.8577507,-.142609
2033,.05,-.4523235,.0628962
2033,.1,-.3131952,.0627581
2033,.15,-.2247506,.0678629
2033,.2,-.1476206,.0565286
2033,.25,-.0907826,.0495096
2033,.3,-.0350582,.0387456
2033,.35,.0028627,.0391612
2033,.4,.0443892,.0359318
2033,.45,.0952015,.0204524
2033,.5,.1350301,.0168287
2033,.55,.1822248,.0062206
2033,.6,.2179158,.0124945
2033,.65,.2719235,-.0036169
2033,.7,.3285357,-.0181474
2033,.75,.384418,-.0212215
2033,.8,.4597833,-.0408882
2033,.85,.5413211,-.0525077
2033,.9,.6830613,-.0994137
2033,.95,.886886,-.1643232
2034,.05,-.4504401,.0561992
2034,.1,-.2927359,.0399979
2034,.15,-.2171623,.0580707
2034,.2,-.1458011,.0539358
2034,.25,-.0770752,.0338231
2034,.3,-.0163498,.0152512
2034,.35,.0277457,.0113244
2034,.4,.0719292,.0080786
2034,.45,.1190064,-.0012278
2034,.5,.1666649,-.012808
2034,.55,.2093332,-.0181584
2034,.6,.2473921,-.0143725
2034,.65,.3065262,-.0313365
2034,.7,.3539578,-.035525
2034,.75,.4231662,-.0535774
2034,.8,.4989283,-.0740297
2034,.85,.573324,-.0752625
2034,.9,.6941229,-.1029168
2034,.95,.9009907,-.1666241
2035,.05,-.4746397,.0994931
2035,.1,-.3110822,.0723752
2035,.15,-.2331534,.0856246
2035,.2,-.154354,.073032
2035,.25,-.0893251,.059062
2035,.3,-.0287898,.040554
2035,.35,.0125385,.0407681
2035,.4,.0547487,.0398811
2035,.45,.1064604,.0240251
2035,.5,.1496798,.019277
2035,.55,.2009984,.005752
2035,.6,.2432697,.0053166
2035,.65,.2973931,-.0076262
2035,.7,.3450928,-.0126152
2035,.75,.4118158,-.0263283
2035,.8,.4888381,-.0486215
2035,.85,.5627062,-.0471413
2035,.9,.697635,-.0836484
2035,.95,.8872423,-.1307095
2036,.05,-.4734408,.097524
2036,.1,-.321645,.0807121
2036,.15,-.24392,.0929146
2036,.2,-.1707066,.0862447
2036,.25,-.1065188,.0746956
2036,.3,-.0501072,.0607173
2036,.35,-.0042647,.0580643
2036,.4,.0412743,.0541518
2036,.45,.0939286,.0376075
2036,.5,.1417938,.0287002
2036,.55,.1890795,.0209041
2036,.6,.238031,.0137738
2036,.65,.2929606,.0018971
2036,.7,.337801,.0035719
2036,.75,.404447,-.0101027
2036,.8,.4769472,-.0247869
2036,.85,.5562704,-.0297184
2036,.9,.6894506,-.0664543
2036,.95,.8931422,-.1262612
2037,.05,-.4753773,.1005622
2037,.1,-.3387744,.0963467
2037,.15,-.2572308,.1042615
2037,.2,-.1896454,.1032047
2037,.25,-.1217982,.0879559
2037,.3,-.0647474,.0744561
2037,.35,-.0125005,.0662786
2037,.4,.0322878,.0632792
2037,.45,.0815162,.0532134
2037,.5,.1378017,.0353468
2037,.55,.1860521,.0298664
2037,.6,.243847,.01581
2037,.65,.2953103,.0068373
2037,.7,.3458805,.0041301
2037,.75,.4182378,-.0162066
2037,.8,.4864687,-.0266938
2037,.85,.5810546,-.047454
2037,.9,.7122063,-.0804997
2037,.95,.9234138,-.147766
2038,.05,-.5025843,.1316433
2038,.1,-.3458123,.1072584
2038,.15,-.254872,.1054282
2038,.2,-.1770357,.0946245
2038,.25,-.1065554,.078499
2038,.3,-.0434566,.0648885
2038,.35,.0046073,.0626509
2038,.4,.0600071,.0482912
2038,.45,.1208248,.0306548
2038,.5,.1752913,.017947
2038,.55,.2325096,.0042946
2038,.6,.2920326,-.0106447
2038,.65,.3441019,-.0203628
2038,.7,.3946484,-.0226854
2038,.75,.4635944,-.0430466
2038,.8,.5383184,-.0536533
2038,.85,.6376653,-.0774457
2038,.9,.75524,-.0981937
2038,.95,1.007749,-.1915387
