year,cons,beta1,beta2,ssp,global_consumption,ratio
2183,0,.17244482,.32968363,SSP3,500713936526755.3,1.4525363
2184,0,.17321292,.33115208,SSP3,502944152323973.1,1.4590061
2185,0,.17398442,.33262706,SSP3,505184301662359.4,1.4655046
2186,0,.17475936,.33410859,SSP3,507434428786619.4,1.4720321
2187,0,.17553774,.33559674,SSP3,509694578138527.3,1.4785886
2188,0,.1763196,.33709151,SSP3,511964794357803.8,1.4851743
2189,0,.17710495,.33859295,SSP3,514245122282998.5,1.4917895
2190,0,.17789379,.34010106,SSP3,516535606952375.2,1.4984339
2191,0,.17868614,.34161589,SSP3,518836293604801,1.5051081
2192,0,.17948201,.34313747,SSP3,521147227680640.4,1.511812
2193,0,.18028143,.34466583,SSP3,523468454822652.5,1.5185456
2194,0,.18108442,.34620097,SSP3,525800020876892.7,1.5253093
2195,0,.18189098,.347743,SSP3,528141971893617.4,1.5321032
2196,0,.18270114,.34929186,SSP3,530494354128194.9,1.5389273
2197,0,.18351491,.35084766,SSP3,532857214042017.9,1.5457819
2198,0,.1843323,.35241035,SSP3,535230598303421.4,1.5526668
2199,0,.18515332,.35398,SSP3,537614553788604.6,1.5595825
2200,0,.18597801,.35555667,SSP3,540009127582556.8,1.566529
2201,0,.18680638,.35714033,SSP3,542414366979986.8,1.5735065
2202,0,.18763842,.35873106,SSP3,544830319486257.9,1.5805149
2203,0,.18847418,.36032888,SSP3,547257032818325.4,1.5875547
2204,0,.18931365,.3619338,SSP3,549694554905679.5,1.5946257
2205,0,.19015686,.36354586,SSP3,552142933891291.7,1.6017283
2206,0,.19100384,.36516514,SSP3,554602218132565.9,1.6088625
2207,0,.19185458,.36679161,SSP3,557072456202292.9,1.6160285
2208,0,.19270912,.36842531,SSP3,559553696889610.8,1.6232264
2209,0,.19356747,.37006634,SSP3,562045989200967.7,1.6304564
2210,0,.19442962,.37171462,SSP3,564549382361089.9,1.6377186
2211,0,.19529563,.37337026,SSP3,567063925813954.1,1.6450131
2212,0,.1961655,.37503329,SSP3,569589669223764.5,1.6523402
2213,0,.19703923,.37670371,SSP3,572126662475932.8,1.6596998
2214,0,.19791685,.37838158,SSP3,574674955678063.6,1.6670922
2215,0,.19879839,.3800669,SSP3,577234599160945.1,1.6745175
2216,0,.19968385,.38175976,SSP3,579805643479542.1,1.681976
2217,0,.20057325,.38346013,SSP3,582388139413994.8,1.6894675
2218,0,.20146663,.38516811,SSP3,584982137970621.8,1.6969926
2219,0,.20236397,.38688368,SSP3,587587690382927.5,1.7045511
2220,0,.20326531,.38860688,SSP3,590204848112613.9,1.7121433
2221,0,.20417067,.39033777,SSP3,592833662850597.5,1.7197694
2222,0,.20508006,.39207634,SSP3,595474186518029.6,1.7274293
2223,0,.2059935,.3938227,SSP3,598126471267321.6,1.7351234
2224,0,.20691101,.3955768,SSP3,600790569483176.4,1.7428517
2225,0,.2078326,.39733872,SSP3,603466533783621.4,1.7506145
2226,0,.20875831,.3991085,SSP3,606154417021048.8,1.7584119
2227,0,.20968814,.40088618,SSP3,608854272283259,1.7662441
2228,0,.2106221,.40267175,SSP3,611566152894509.1,1.774111
2229,0,.21156023,.40446529,SSP3,614290112416566.9,1.7820131
2230,0,.21250254,.40626681,SSP3,617026204649767.5,1.7899503
2231,0,.21344903,.40807632,SSP3,619774483634076.9,1.7979227
2232,0,.21439976,.40989393,SSP3,622535003650158.8,1.8059309
2233,0,.21535471,.41171962,SSP3,625307819220446.9,1.8139746
2234,0,.21631391,.41355345,SSP3,628092985110221.9,1.8220541
2235,0,.21727738,.41539544,SSP3,630890556328692.8,1.8301697
2236,0,.21824516,.41724566,SSP3,633700588130083.6,1.8383214
2237,0,.21921724,.4191041,SSP3,636523136014724.8,1.8465095
2238,0,.22019364,.42097083,SSP3,639358255730149.1,1.8547339
2239,0,.2211744,.42284584,SSP3,642206003272192.6,1.862995
2240,0,.22215952,.42472923,SSP3,645066434886101.3,1.8712929
2241,0,.22314905,.42662102,SSP3,647939607067641.1,1.8796278
2242,0,.22414297,.42852122,SSP3,650825576564214.4,1.8879999
2243,0,.22514132,.43042988,SSP3,653724400375980.6,1.8964092
2244,0,.22614411,.43234703,SSP3,656636135756981.6,1.9048558
2245,0,.22715136,.43427274,SSP3,659560840216273.3,1.9133402
2246,0,.22816312,.43620703,SSP3,662498571519060.9,1.9218624
2247,0,.22917938,.43814993,SSP3,665449387687839.8,1.9304225
2248,0,.23020016,.44010147,SSP3,668413347003541.8,1.9390208
2249,0,.23122548,.44206172,SSP3,671390508006686.6,1.9476572
2250,0,.23225538,.4440307,SSP3,674380929498537,1.9563323
2251,0,.23328987,.44600844,SSP3,677384670542261.1,1.9650459
2252,0,.23432896,.44799501,SSP3,680401790464098.6,1.9737984
2253,0,.23537268,.44999039,SSP3,683432348854532.5,1.9825898
2254,0,.23642103,.45199469,SSP3,686476405569466.1,1.9914204
2255,0,.23747408,.45400792,SSP3,689534020731405,2.0002904
2256,0,.23853181,.4560301,SSP3,692605254730645.1,2.0091999
2257,0,.23959424,.45806128,SSP3,695690168226464.6,2.0181489
2258,0,.24066143,.46010154,SSP3,698788822148323,2.027138
2259,0,.24173333,.46215084,SSP3,701901277697063.6,2.0361669
2260,0,.24281003,.46420929,SSP3,705027596346122.9,2.0452361
2261,0,.24389154,.46627694,SSP3,708167839842743.8,2.0543458
2262,0,.24497782,.46835372,SSP3,711322070209196.9,2.0634959
2263,0,.24606898,.47043982,SSP3,714490349744003.6,2.0726869
2264,0,.24716498,.47253516,SSP3,717672741023168,2.0819187
2265,0,.24826588,.47463989,SSP3,720869306901411.6,2.0911918
2266,0,.24937166,.47675395,SSP3,724080110513416,2.1005061
2267,0,.25048241,.47887751,SSP3,727305215275068.6,2.1098621
2268,0,.25159806,.48101041,SSP3,730544684884716,2.1192594
2269,0,.25271869,.4831529,SSP3,733798583324422,2.1286988
2270,0,.25384432,.48530492,SSP3,737066974861230.8,2.1381803
2271,0,.25497499,.48746651,SSP3,740349924048436.5,2.1477039
2272,0,.25611064,.48963767,SSP3,743647495726858.5,2.1572697
2273,0,.25725138,.49181858,SSP3,746959755026121.9,2.1668785
2274,0,.25839719,.49400917,SSP3,750286767365943.6,2.1765299
2275,0,.2595481,.4962095,SSP3,753628598457424.8,2.1862242
2276,0,.26070416,.49841967,SSP3,756985314304348.5,2.195962
2277,0,.26186535,.50063968,SSP3,760356981204483.4,2.2057428
2278,0,.26303172,.50286955,SSP3,763743665750893,2.2155674
2279,0,.26420328,.50510937,SSP3,767145434833251.5,2.2254357
2280,0,.26538005,.50735915,SSP3,770562355639164.1,2.235348
2281,0,.26656207,.509619,SSP3,773994495655494.5,2.2453043
2282,0,.26774937,.51188886,SSP3,777441922669698.1,2.2553051
2283,0,.26894194,.51416886,SSP3,780904704771160,2.2653503
2284,0,.27013984,.51645899,SSP3,784382910352540.6,2.2754405
2285,0,.27134305,.51875931,SSP3,787876608111125.9,2.2855754
2286,0,.27255163,.52106988,SSP3,791385867050184.6,2.2957554
