temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_ag,adj_sample_wgt_ag,no_wgt_nonag,adj_sample_wgt_nonag
18.6,1929,.0006000957562264,1018,.0003160926184513,233,.0000559432040763,678,.0002280599336988
18.7,3145,.0008269969786951,1706,.0004181780916941,194,.0000822044585149,1245,.0003266144284861
18.8,2166,.0006447291538088,1109,.0002946177078176,213,.0000832120500434,844,.0002668993959478
18.9,2518,.0006608155142871,1513,.0003570707991267,109,.0000389447697522,896,.0002647999454082
19,2557,.0009679081206322,1334,.0004894538430342,226,.0000725997522739,997,.000405854525324
19.1,2555,.0006918182750271,1332,.0003057305298162,254,.0001048013562066,969,.0002812863890043
19.2,3118,.0010616711875819,1817,.0005632807789642,290,.0001185889552477,1011,.00037980145337
19.3,2215,.0006100022694602,1238,.0003070605330384,187,.0000681088882057,790,.000234832848216
19.4,3222,.0011045532420333,1821,.0005506886192652,289,.0001387078451742,1112,.0004151567775939
19.5,3214,.0008253880446301,1768,.0004013990352423,305,.0001235061345142,1141,.0003004828748736
19.6,4129,.0011745801163379,2188,.0005372744389831,430,.0001868219727577,1511,.0004504837045971
19.7,4670,.0013113627853176,2672,.0006880845251356,290,.0001082821425964,1708,.0005149961175857
19.8,5244,.0014183659760469,3001,.0007496310585537,514,.0001759598998312,1729,.000492775017662
19.9,4594,.0010949306328794,2624,.0005516985368725,304,.0000864644788745,1666,.0004567676171323
20,5651,.0016738471701192,3197,.0008773231128618,450,.0001764469559689,2004,.0006200771012885
20.1,4830,.0012848779825614,2720,.0006226798899274,482,.0002230615155412,1628,.0004391365770928
20.2,5198,.0016274690260278,2864,.000848169865991,459,.0001905808204583,1875,.0005887183395785
20.3,5757,.0014528639627578,3330,.0008007229618467,428,.0001499092605073,1999,.0005022317404038
20.4,5538,.001598706997644,3187,.0008067270782544,500,.0002102706907952,1851,.0005817092285945
20.5,7785,.0017266634274975,4411,.0009046928855092,477,.0001477946113511,2897,.0006741759306372
20.6,5768,.0015877590900555,3345,.000833687628095,535,.0001961312019247,1888,.0005579402600357
20.7,6930,.0020965298677247,3796,.0010494123666387,715,.0002685276925991,2419,.0007785898084869
20.8,8053,.0022805724052422,4603,.0011744903891007,699,.0002946249544422,2751,.0008114570616993
20.9,6739,.0018273702193099,3871,.0009389107544857,534,.0002465178051523,2334,.0006419416596719
21,6749,.0024487397328432,3735,.0012579171610998,653,.0002994571099535,2361,.0008913654617899
21.1,8303,.0023806581649239,4867,.0013152961149565,646,.000236263889013,2790,.0008290981609544
21.2,8465,.0027223917610444,4560,.0013773706989593,837,.0003295043652978,3068,.0010155166967873
21.3,9669,.0032997610374661,5295,.0017023132956968,846,.0003353627197278,3528,.0012620850220415
21.4,9059,.0034039549352745,5195,.0018928685341191,771,.0003773180362963,3093,.0011337683648591
21.5,11032,.0032545689141639,6211,.001687245291329,802,.0003679405504098,4019,.0011993830724251
21.6,8628,.0030142728198008,4452,.0013791079307088,992,.0004955412567202,3184,.0011396236323717
21.7,10836,.0031168947854283,6101,.0015351578782781,922,.0004445241569009,3813,.0011372127502494
21.8,13450,.0044297961836648,7636,.0023857527491256,1162,.0005274534925803,4652,.0015165899419589
21.9,11467,.0038147131822841,6224,.0019257547206655,1145,.0004982047851225,4098,.0013907536764961
22,14286,.0040642447744812,8430,.0022694693198826,889,.0003717401282088,4967,.0014230353263898
22.1,12872,.0043937694290541,7195,.0024314008285575,1188,.0004210964775755,4489,.0015412721229211
22.2,15638,.0052110331848141,8830,.0027632082261402,1243,.0005410642266597,5565,.0019067607320142
22.3,14142,.0048829180991152,7913,.0027542206491633,1288,.0005129860165134,4941,.0016157114334385
22.4,14380,.0048889226071491,7849,.0024670570913106,1499,.000751967897898,5032,.0016698976179406
22.5,14601,.004891589210116,8002,.0025543152973411,1279,.0005585944984121,5320,.0017786794143628
22.6,14422,.0055034639794096,7975,.0029827832749518,1233,.0005789968581995,5214,.0019416838462583
22.7,15125,.0052554274153378,8362,.0028488030916369,1439,.0006032300618024,5324,.0018033942618985
22.8,16594,.0050672906273554,9359,.0027659890105891,1511,.0006585834964881,5724,.0016427181202783
22.9,17193,.0061116239837302,9864,.0034330602052073,1418,.0005919317720355,5911,.0020866320064874
23,17734,.0058328992302297,10089,.0032775730363799,1485,.000529126412415,6160,.0020261997814348
23.1,17887,.0057173853522121,10241,.0031064413453423,1322,.0005458548934687,6324,.0020650891134011
23.2,16991,.00601461092762,9654,.0032355746634591,1483,.0007186126669652,5854,.0020604235971957
