temp,no_wgt_comm,risk_adj_sample_wgt_old_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_old_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_old_high,pop_adj_sample_wgt_high
-4.9,17,.000048288571918,.0000586724061691,13,.0000451688406997,.0000441429886564,4,3.11973121825e-06,.0000145294175127
-4.8,20,.0000390982120848,.0000414850843526,18,.0000382083010209,.0000373405324581,2,8.89911063950e-07,4.14455189457e-06
-4.7,12,.000031626675252,.0000343288565432,10,.0000306971937221,.0000300000137372,2,9.29481529965e-07,4.32884280599e-06
-4.6,14,.0000193040579575,.0000349238551394,8,.0000149403838918,.000014601065061,6,4.36367406564e-06,.0000203227900784
-4.5,16,.0000253075013461,.0000326851629779,10,.0000231465007801,.0000226208094318,6,2.16100056605e-06,.0000100643535461
-4.4,14,.0000175610532978,.000025460175948,7,.0000153061589572,.0000149585334839,7,2.25489434058e-06,.0000105016424641
-4.3,17,.0000440173291167,.0000499911639054,14,.0000421223353442,.0000411656744745,3,1.89499377257e-06,8.82548943082e-06
-4.2,25,.0000507925060873,.0000528031843032,22,.0000499326499153,.0000487986058033,3,8.59856172042e-07,4.00457849992e-06
-4.1,24,.0000784613053781,.0000882969342229,18,.0000753043284476,.000073594054129,6,3.15697693054e-06,.0000147028800939
-4,21,.0000594264080007,.0000665526516741,16,.0000571231580295,.0000558258038836,5,2.30324997119e-06,.0000107268477905
-3.9,15,.0000314267475119,.000030713000001,15,.0000314267475119,.000030713000001,0,0,0
-3.8,10,.0000222297740038,.0000217249030356,10,.0000222297740038,.0000217249030356,0,0,0
-3.7,23,.0000640966987078,.0000836059494702,18,.0000583996572061,.0000570733146503,5,5.69704150166e-06,.0000265326348199
-3.6,27,.0000405128989058,.0000800852869816,14,.0000295094343983,.0000288392313337,13,.0000110034645076,.0000512460556479
-3.5,14,.0000492906389127,.0000561425998455,11,.0000471244771916,.000046054209264,3,2.16616172111e-06,.0000100883905816
-3.4,24,.0000404591247047,.0000447187997565,21,.000039051897943,.0000381649709311,3,1.40722676178e-06,6.55382882542e-06
-3.3,16,.0000323925005432,.0000563156622206,13,.0000256916860053,.0000251081887086,3,6.70081453791e-06,.000031207473512
-3.2,11,.0000338302546083,.0000348389463056,9,.0000333473636829,.0000325899948734,2,4.82890925468e-07,2.24895143219e-06
-3.1,32,.0000438584312406,.0000743637237974,18,.0000352982201548,.0000344965450267,14,8.56021108575e-06,.0000398671787707
-3,15,.0000312729556526,.0000441589738216,10,.0000275782928156,.0000269519485414,5,3.69466283701e-06,.0000172070252802
-2.9,25,.000050602666505,.0000568382979509,22,.0000485958895524,.0000474922042031,3,2.00677695261e-06,9.34609374781e-06
-2.8,25,.0000317578783893,.0000393589444343,17,.000029496360014,.0000288264531605,8,2.26151837524e-06,.0000105324912738
-2.7,23,.0000683720844563,.0000906482557923,13,.0000611537231521,.0000624131421603,10,7.21836130424e-06,.000028235113632
-2.6,20,.000044740729777,.0000462453717773,18,.0000440557333832,.0000430551615409,2,6.84996393829e-07,3.19021023643e-06
-2.5,36,.0001146280878288,.0001721365733829,28,.000098293240228,.0000960608500691,8,.0000163348476008,.0000760757233138
-2.4,35,.0000731162229783,.0000787341917885,31,.0000711383440262,.0000695226838161,4,1.97787895218e-06,9.21150797240e-06
-2.3,51,.0001520813581806,.0001516513110573,49,.0001512596272164,.0001478242919575,2,8.21730964162e-07,3.82701909984e-06
-2.2,30,.0000778636480447,.0000848724761227,25,.0000754785165782,.0000737642848208,5,2.38513146655e-06,.0000111081913019
-2.1,39,.0001066228857667,.0001230708257367,28,.0001014952705987,.0000991901605971,11,5.12761516802e-06,.0000238806651396
-2,40,.0000684504472588,.0000917607724773,23,.0000616936282256,.0000602924715736,17,6.75681903317e-06,.0000314683009037
-1.9,48,.0001022407071787,.0001104270992869,38,.0000993851372186,.0000971279513919,10,2.85556996005e-06,.0000132991478949
-1.8,33,.000084784776675,.000089060590085,29,.0000834752252103,.0000829616614055,4,1.30955146460e-06,6.09892867942e-06
-1.7,35,.0000598327468424,.0000793566620132,30,.0000541580359368,.0000529280247292,5,5.67471090562e-06,.000026428637284
-1.6,22,.0000440375926019,.0000430374321638,22,.0000440375926019,.0000430374321638,0,0,0
-1.5,37,.0000618205044987,.0000824779306186,22,.0000558255047167,.0000545576234572,15,5.99499978193e-06,.0000279203071614
-1.4,36,.0000795685048161,.0001059382246922,30,.0000712413948349,.0000717254096116,6,8.32710998111e-06,.0000342128150805
-1.3,44,.0000772686306334,.0000980447703114,33,.0000711460314733,.0000695301985161,11,6.12259916011e-06,.0000285145717953
-1.2,26,.0000373280835504,.0000597978882411,16,.0000309917454047,.0000302878772231,10,6.33633814573e-06,.0000295100110179
-1.1,32,.0000584043768583,.0000576163505457,31,.0000582580651951,.0000569349382431,1,1.46311663229e-07,6.81412302583e-07
-1,29,.0000655440805133,.00009028498323,20,.0000584164536122,.0000570897301486,9,7.12762690114e-06,.0000331952530814
-.9,27,.0000568417710269,.0000555508090656,27,.0000568417710269,.0000555508090656,0,0,0
-.8,31,.0000826677995889,.0000954828990132,25,.0000786752181625,.0000768883864168,6,3.99258142636e-06,.0000185945125963
-.7,41,.0001051363230999,.0001172648685497,37,.0001011916382936,.0000988934233419,4,3.94468480636e-06,.0000183714452078
-.6,34,.0000922146211906,.0001015099600181,26,.0000891195819577,.0000870955396408,8,3.09503923290e-06,.0000144144203773
-.5,49,.0000807402888938,.0001325404839463,30,.0000648941544341,.0000651040559774,19,.0000158461344597,.0000674364279689
-.4,49,.0001400460269849,.0001706615178705,34,.0001308622365173,.0001278901654018,15,9.18379046766e-06,.0000427713524687
-.3,51,.0000917994431262,.0001081965226604,40,.0000867771332764,.0000848062920795,11,5.02230984978e-06,.0000233902305808
-.2,40,.0000782346865051,.0000865076709999,33,.0000755037426075,.0000737889396021,7,2.73094389769e-06,.0000127187313979
-.1,44,.0000681500886799,.0000844720597115,35,.0000632941453773,.0000618566410822,9,4.85594330257e-06,.0000226154186294
0,70,.0001510792627073,.0002043765176154,45,.0001362108708349,.0001390903299239,25,.0000148683918724,.0000652861876915
.1,48,.0000840232887924,.000125423503107,32,.0000701832590835,.0000692103645292,16,.0000138400297089,.0000562131385777
.2,64,.0001584279835285,.0001818922496,53,.0001518329206647,.0001511772901495,11,6.59506286382e-06,.0000307149594505
.3,47,.0001463762279421,.0001565751549606,37,.0001427013818329,.0001394604203711,10,3.67484610919e-06,.0000171147345895
.4,41,.00006974539167,.000122725613096,25,.000052980156795,.0000517768970667,16,.000016765234875,.0000709487160293
.5,81,.0001654362223746,.0002082743857272,52,.0001529111074206,.0001489798239049,29,.0000125251149541,.0000592945618223
.6,50,.0001435527036904,.000165212795153,37,.0001375195712399,.0001384375585332,13,6.03313245051e-06,.0000267752366199
.7,89,.0001925395290669,.0002365314661574,68,.0001796202742526,.0001757912726816,21,.0000129192548144,.0000607401934758
.8,70,.0001645771189516,.0001797438682729,58,.0001604321108175,.0001594176516164,12,4.14500813406e-06,.0000203262166565
.9,64,.0001898798800397,.0002260231709101,47,.0001797390583533,.0001782057892683,17,.0000101408216864,.0000478173816418
1,58,.0001077997356447,.0001819691681817,41,.0000869795721314,.0000850041366789,17,.0000208201635132,.0000969650315028
1.1,42,.0000715071620903,.0000959337981499,24,.0000644067856115,.0000628654584602,18,7.10037647877e-06,.0000330683396896
1.2,72,.000151565010043,.000209587155382,48,.000134371583755,.0001320754906828,24,.000017193426288,.0000775116646992
1.3,66,.0001588664108425,.0001785239694527,51,.0001530198838964,.0001511557023264,15,5.84652694613e-06,.0000273682671263
1.4,43,.0000544307664825,.0000810291876974,24,.0000471830933293,.0000472748478728,19,7.24767315319e-06,.0000337543398246
1.5,79,.0001768003088927,.0001857852572016,69,.0001733989961963,.0001694390838338,10,3.40131269638e-06,.0000163461733678
1.6,79,.0002972098141214,.0003154079119554,65,.0002888310843332,.0002830192658507,14,8.37872978821e-06,.0000323886461047
1.7,49,.0001624531733313,.0002085181096732,36,.0001475129652135,.0001451088701856,13,.0000149402081178,.0000634092394876
1.8,59,.0001153136087311,.000177726836057,48,.000097633720145,.000097469950731,11,.000017679888586,.000080256885326
1.9,56,.0001180969409802,.0001433897724041,43,.0001104595449419,.0001076577127037,13,7.63739603826e-06,.0000357320597004
2,74,.000248650650434,.000283140734922,58,.0002379443799896,.000235106009967,16,.0000107062704444,.000048034724955
2.1,54,.0001115893839483,.000171604565196,37,.0000939041470929,.0000926181804175,17,.0000176852368554,.0000789863847785
2.2,99,.0001914713628111,.0002501291275792,68,.0001721676761974,.0001687095084151,31,.0000193036866136,.0000814196191641
2.3,101,.0001622431881856,.000178738174327,88,.0001556841993988,.0001508487575279,13,6.55898878676e-06,.0000278894167991
2.4,99,.0001798320944317,.0002242236363372,76,.0001646282343586,.0001611155531123,23,.0000152038600731,.000063108083225
2.5,54,.0001195094468613,.0001333410729956,44,.0001145429381211,.0001125762718459,10,4.96650874027e-06,.0000207648011497
2.6,64,.0001374960920373,.0001806216966429,47,.0001248161549938,.0001215678603899,17,.0000126799370435,.000059053836253
2.7,83,.0001974689099313,.0002174801678052,66,.0001905464318952,.0001881134410269,17,6.92247803613e-06,.0000293667267783
2.8,112,.0003183135755762,.0003467047572485,94,.0003097140099726,.0003032392522755,18,8.59956560362e-06,.000043465504973
2.9,57,.000142575656497,.0001814443930357,42,.0001305026639784,.0001285894779244,15,.0000120729925186,.0000528549151113
3,77,.0001755169510744,.0002086354698179,58,.0001643198905583,.0001634802634101,19,.0000111970605161,.0000451552064078
3.1,130,.0002978443124135,.0003423076415174,106,.0002841123948656,.0002832539958035,24,.0000137319175479,.0000590536457139
3.2,163,.0003754962311149,.0004795855780628,130,.0003429236383852,.0003346054355404,33,.0000325725927297,.0001449801425224
3.3,105,.0002747405796413,.0003316679895704,80,.0002582128309996,.0002544926195753,25,.0000165277486417,.0000771753699951
3.4,113,.0002288450891399,.000328745279262,71,.0001999276155402,.0001970877201529,42,.0000289174735997,.000131657559109
3.5,85,.0001570778735243,.0001816703442614,67,.0001481217356059,.0001422699270393,18,8.95613791840e-06,.0000394004172222
3.6,121,.0002834439471258,.0003760817478451,83,.0002544345057345,.0002544059175307,38,.0000290094413913,.0001216758303144
3.7,91,.0002597031177629,.0002926627674356,78,.0002479828556829,.000240465856848,13,.00001172026208,.0000521969105876
3.8,76,.0002165011565722,.0002295389624578,67,.0002119102757376,.0002079455737203,9,4.59088083460e-06,.0000215933887375
3.9,85,.0002077437516022,.0002716858986105,59,.0001895902053661,.0001922158671164,26,.000018153546236,.0000794700314941
