temp,no_wgt_comm,risk_adj_sample_wgt_sector_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_sector_low,pop_adj_sample_wgt_low,no_wgt_ag,risk_adj_sample_wgt_sector_ag,pop_adj_sample_wgt_ag,no_wgt_nonag,risk_adj_sample_wgt_sector_nonag,pop_adj_sample_wgt_nonag
-4.9,17,.0001194399430915,.0000586724061691,13,.0000883042314399,.0000441429886564,0,0,0,4,.0000311357116516,.0000145294175127
-4.8,20,.000083578046997,.0000414850843526,18,.0000746965083636,.0000373405324581,0,0,0,2,8.88153863343e-06,4.14455189457e-06
-4.7,12,.0000692888997946,.0000343288565432,10,.0000600124367338,.0000300000137372,0,0,0,2,9.27646306081e-06,4.32884280599e-06
-4.6,14,.0000727587500933,.0000349238551394,8,.0000292081692805,.000014601065061,0,0,0,6,.0000435505808127,.0000203227900784
-4.5,16,.000066818310188,.0000326851629779,10,.0000452509736988,.0000226208094318,0,0,0,6,.0000215673364892,.0000100643535461
-4.4,14,.0000524276745182,.000025460175948,7,.0000299232533507,.0000149585334839,0,0,0,7,.0000225044211675,.0000105016424641
-4.3,17,.0001012608938709,.0000499911639054,14,.0000823483721888,.0000411656744745,0,0,0,3,.0000189125216821,8.82548943082e-06
-4.2,25,.0001061989764821,.0000528031843032,22,.0000976173928393,.0000487986058033,0,0,0,3,8.58158364281e-06,4.00457849992e-06
-4.1,24,.0001608307548242,.0000882969342229,18,.0001472185467719,.000073594054129,2,1.54864512325e-08,8.35799801280e-06,4,.0000135967216011,6.34488208107e-06
-4,21,.0001346617228251,.0000665526516741,16,.0001116746992125,.0000558258038836,0,0,0,5,.0000229870236126,.0000107268477905
-3.9,15,.0000614387004134,.000030713000001,15,.0000614387004134,.000030713000001,0,0,0,0,0,0
-3.8,10,.0000434587893778,.0000217249030356,10,.0000434587893778,.0000217249030356,0,0,0,0,0,0
-3.7,23,.0001710281604801,.0000836059494702,18,.0001141702342693,.0000570733146503,0,0,0,5,.0000568579262108,.0000265326348199
-3.6,27,.0001675077678556,.0000800852869816,14,.0000576903889851,.0000288392313337,0,0,0,13,.0001098173788705,.0000512460556479
-3.5,14,.0001137463149234,.0000561425998455,11,.0000921274689745,.000046054209264,0,0,0,3,.000021618845949,.0000100883905816
-3.4,24,.0000903902075606,.0000447187997565,21,.000076345725347,.0000381649709311,0,0,0,3,.0000140444822136,6.55382882542e-06
-3.3,16,.0001171025996882,.0000563156622206,13,.0000502267612319,.0000251081887086,0,0,0,3,.0000668758384563,.000031207473512
-3.2,11,.0000700128439348,.0000348389463056,9,.0000651934692542,.0000325899948734,0,0,0,2,4.81937468066e-06,2.24895143219e-06
-3.1,32,.0001544404508422,.0000743637237974,18,.0000690073577516,.0000344965450267,0,0,0,14,.0000854330930906,.0000398671787707
-3,15,.0000907887193762,.0000441589738216,10,.0000539150443046,.0000269519485414,0,0,0,5,.0000368736750715,.0000172070252802
-2.9,25,.0001150321980958,.0000568382979509,22,.0000950040513317,.0000474922042031,0,0,0,3,.0000200281467642,9.34609374781e-06
-2.8,25,.000080235357359,.0000393589444343,17,.0000576648282049,.0000288264531605,0,0,0,8,.0000225705291541,.0000105324912738
-2.7,23,.0001853595861121,.0000906482557923,13,.0001195543766244,.0000624131421603,0,0,0,10,.0000658052094877,.000028235113632
-2.6,20,.0000929645686938,.0000462453717773,18,.0000861281298512,.0000430551615409,0,0,0,2,6.83643884258e-06,3.19021023643e-06
-2.5,36,.0003551873791139,.0001721365733829,28,.0001921614338016,.0000960608500691,0,0,0,8,.0001630259453123,.0000760757233138
-2.4,35,.0001588138602528,.0000787341917885,31,.0001390741231262,.0000695226838161,0,0,0,4,.0000197397371267,9.21150797240e-06
-2.3,51,.0003039108067924,.0001516513110573,49,.000295709722991,.0001478242919575,0,0,0,2,8.20108380140e-06,3.82701909984e-06
-2.2,30,.0001713633054123,.0000848724761227,25,.0001475590843256,.0000737642848208,0,0,0,5,.0000238042210867,.0000111081913019
-2.1,39,.0002457335144199,.0001230708257367,28,.0001984213420201,.0000991901605971,1,3.34279226522e-09,1.80409631412e-06,10,.0000473088296076,.0000220765688255
-2,40,.0001733234376404,.0000917607724773,23,.0001206098819466,.0000602924715736,4,1.27396804217e-08,6.87557303536e-06,13,.0000527008160134,.0000245927278684
-1.9,48,.0002227953908118,.0001104270992869,38,.0001942960743122,.0000971279513919,0,0,0,10,.0000284993164996,.0000132991478949
-1.8,33,.0001762621524222,.000089060590085,29,.0001631924948242,.0000829616614055,0,0,0,4,.000013069657598,6.09892867942e-06
-1.7,35,.0001625130043976,.0000793566620132,30,.0001058779403138,.0000529280247292,0,0,0,5,.0000566350640838,.000026428637284
-1.6,22,.0000860926639916,.0000430374321638,22,.0000860926639916,.0000430374321638,0,0,0,0,0,0
-1.5,37,.0001689694393008,.0000824779306186,22,.0001091378123874,.0000545576234572,0,0,0,15,.0000598316269134,.0000279203071614
-1.4,36,.0001868983710267,.0001059382246922,30,.0001392755864345,.0000717254096116,2,1.29773894741e-07,.0000120502986647,4,.0000474930106975,.0000221625164158
-1.3,44,.000195610227149,.0000980447703114,33,.0001390891534356,.0000695301985161,2,3.96699961769e-09,2.14097963180e-06,9,.0000565171067137,.0000263735921635
-1.2,26,.000123826553363,.0000597978882411,16,.0000605882811442,.0000302878772231,0,0,0,10,.0000632382722188,.0000295100110179
-1.1,32,.0001153536483685,.0000576163505457,31,.0001138934206324,.0000569349382431,0,0,0,1,1.46022773606e-06,6.81412302583e-07
-1,29,.0001853386036146,.00009028498323,20,.0001142030671417,.0000570897301486,0,0,0,9,.0000711355364729,.0000331952530814
-.9,27,.0001111245925358,.0000555508090656,27,.0001111245925358,.0000555508090656,0,0,0,0,0,0
-.8,31,.0001936555521524,.0000954828990132,25,.0001538085715538,.0000768883864168,0,0,0,6,.0000398469805987,.0000185945125963
-.7,41,.0002371967077579,.0001172648685497,37,.0001978277473427,.0000988934233419,0,0,0,4,.0000393689604152,.0000183714452078
-.6,34,.000197399852822,.0001015099600181,26,.0001742271000467,.0000870955396408,2,6.67785027275e-09,3.60401872967e-06,6,.000023166074925,.0000108104016476
-.5,49,.0002776435100031,.0001325404839463,30,.0001268668507919,.0000651040559774,0,0,0,19,.0001507766592113,.0000674364279689
-.4,49,.0003071521256643,.0001706615178705,34,.0002558332156468,.0001278901654018,4,3.49080337969e-08,.0000188397771126,11,.0000512840019837,.0000239315753561
-.3,51,.0002197715921284,.0001081965226604,40,.0001696476601865,.0000848062920795,0,0,0,11,.0000501239319419,.0000233902305808
-.2,40,.000174863913287,.0000865076709999,33,.0001476083962189,.0000737889396021,0,0,0,7,.0000272555170682,.0000127187313979
-.1,44,.0001722024182982,.0000844720597115,35,.0001237388644313,.0000618566410822,0,0,0,9,.0000484635538669,.0000226154186294
0,70,.000410496235645,.0002043765176154,45,.0002662896931724,.0001390903299239,0,0,0,25,.0001442065424726,.0000652861876915
.1,48,.0002657838131199,.000125423503107,32,.0001372069507397,.0000692103645292,0,0,0,16,.0001285768623802,.0000562131385777
.2,64,.0003626509069363,.0001818922496,53,.0002968304980868,.0001511772901495,0,0,0,11,.0000658204088495,.0000307149594505
.3,47,.0003156544145213,.0001565751549606,37,.0002789785135064,.0001394604203711,0,0,0,10,.0000366759010149,.0000171147345895
.4,41,.0001972783617554,.000122725613096,25,.0001035752098915,.0000517768970667,6,2.18343105818e-07,.0000273242203548,10,.0000934848087581,.0000436244956745
.5,81,.0004061188456923,.0002082743857272,52,.000298938335618,.0001489798239049,4,1.88054833927e-08,8.79026276834e-06,25,.0001071617045909,.000050504299054
.6,50,.0003278030803813,.000165212795153,37,.000268848173846,.0001384375585332,0,0,0,13,.0000589549065353,.0000267752366199
.7,89,.0004785121829649,.0002365314661574,68,.0003511542587376,.0001757912726816,1,2.24163376750e-09,8.21927756078e-07,20,.0001273556825936,.0000599182657197
.8,70,.0003522127159385,.0001797438682729,58,.0003136417600444,.0001594176516164,1,3.96460109187e-09,1.45367891946e-06,11,.000038566991293,.000018872537737
