temp,risk,bins,poly2,poly3,poly4,rcs,ref
-9.3000002,high,-128.66896,-117.27927,82.142319,18.670544,-171.20682,27
-9.1999998,high,-128.66896,-116.57101,80.836563,18.710699,-170.73517,27
-9.1000004,high,-128.66896,-115.86488,79.541138,18.745407,-170.26353,27
-9,high,-128.66896,-115.16087,78.255974,18.77474,-169.79189,27
-8.8999996,high,-128.66896,-114.45899,76.981056,18.798769,-169.32024,27
-8.8000002,high,-128.66896,-113.75925,75.716362,18.817566,-168.8486,27
-8.6999998,high,-128.66896,-113.06162,74.461823,18.831202,-168.37695,27
-8.6000004,high,-128.66896,-112.36613,73.21743,18.839745,-167.9053,27
-8.5,high,-128.66896,-111.67277,71.983116,18.843267,-167.43367,27
-8.3999996,high,-128.66896,-110.98153,70.758873,18.841837,-166.96202,27
-8.3000002,high,-128.66896,-110.29243,69.54467,18.835524,-166.49037,27
-8.1999998,high,-128.66896,-109.60545,68.340439,18.824398,-166.01874,27
-8.1000004,high,-128.66896,-108.92059,67.146172,18.808527,-165.54709,27
-8,high,-128.66896,-108.23787,65.961815,18.787977,-165.07544,27
-7.9000001,high,-128.66896,-107.55727,64.787346,18.762821,-164.60381,27
-7.8000002,high,-128.66896,-106.87881,63.622715,18.733122,-164.13216,27
-7.6999998,high,-128.66896,-106.20246,62.467892,18.69895,-163.66051,27
-7.5999999,high,-128.66896,-105.52825,61.322849,18.660372,-163.18887,27
-7.5,high,-128.66896,-104.85617,60.187542,18.617451,-162.71722,27
-7.4000001,high,-128.66896,-104.18621,59.061932,18.570257,-162.24557,27
-7.3000002,high,-128.66896,-103.51839,57.945988,18.518856,-161.77394,27
-7.1999998,high,-128.66896,-102.85268,56.839668,18.46331,-161.30229,27
-7.0999999,high,-128.66896,-102.18911,55.742947,18.403688,-160.83064,27
-7,high,-128.66896,-101.52767,54.655777,18.340052,-160.35901,27
-6.9000001,high,-128.66896,-100.86835,53.578129,18.272469,-159.88736,27
-6.8000002,high,-128.66896,-100.21117,52.509968,18.201002,-159.41571,27
-6.6999998,high,-128.66896,-99.556107,51.451244,18.125715,-158.94408,27
-6.5999999,high,-128.66896,-98.903175,50.401939,18.046671,-158.47243,27
-6.5,high,-128.66896,-98.252373,49.362007,17.963934,-158.00078,27
-6.4000001,high,-128.66896,-97.603699,48.331417,17.877565,-157.52914,27
-6.3000002,high,-128.66896,-96.957153,47.310127,17.78763,-157.0575,27
-6.1999998,high,-128.66896,-96.312729,46.2981,17.694187,-156.58585,27
-6.0999999,high,-128.66896,-95.670441,45.295307,17.597301,-156.11421,27
-6,high,-128.66896,-95.030273,44.301708,17.497034,-155.64256,27
-5.9000001,high,-128.66896,-94.392242,43.317268,17.393444,-155.17091,27
-5.8000002,high,-128.66896,-93.756332,42.341949,17.286594,-154.69928,27
-5.6999998,high,-128.66896,-93.122551,41.375713,17.176542,-154.22763,27
-5.5999999,high,-128.66896,-92.490906,40.41853,17.063353,-153.75598,27
-5.5,high,-128.66896,-91.861382,39.47036,16.947081,-153.28435,27
-5.4000001,high,-128.66896,-91.233986,38.531166,16.827789,-152.8127,27
-5.3000002,high,-128.66896,-90.608719,37.600918,16.705536,-152.34105,27
-5.1999998,high,-128.66896,-89.98558,36.679565,16.580378,-151.8694,27
-5.0999999,high,-128.66896,-89.364571,35.76709,16.452377,-151.39777,27
-5,high,-128.66896,-88.745689,34.863445,16.321589,-150.92612,27
-4.9000001,high,-128.66896,-88.128929,33.968594,16.188072,-150.45448,27
-4.8000002,high,-128.66896,-87.514305,33.082508,16.051886,-149.98283,27
-4.6999998,high,-128.66896,-86.901802,32.205139,15.913082,-149.51118,27
-4.5999999,high,-128.66896,-86.291435,31.336462,15.771722,-149.03954,27
-4.5,high,-128.66896,-85.683197,30.476439,15.62786,-148.5679,27
-4.4000001,high,-128.66896,-85.07708,29.625029,15.481554,-148.09625,27
-4.3000002,high,-128.66896,-84.473091,28.7822,15.332858,-147.62462,27
-4.1999998,high,-128.66896,-83.871231,27.94791,15.181827,-147.15297,27
-4.0999999,high,-128.66896,-83.271507,27.122131,15.028517,-146.68132,27
-4,high,-128.66896,-82.673904,26.304823,14.872983,-146.20967,27
-3.9000001,high,-128.66896,-82.07843,25.495951,14.715279,-145.73804,27
-3.8,high,-128.66896,-81.485085,24.695475,14.555458,-145.26639,27
-3.7,high,-128.66896,-80.893867,23.903362,14.393575,-144.79475,27
-3.5999999,high,-128.66896,-80.304771,23.119576,14.229682,-144.3231,27
-3.5,high,-128.66896,-79.717812,22.34408,14.063833,-143.85146,27
-3.4000001,high,-128.66896,-79.13298,21.576839,13.896082,-143.37982,27
-3.3,high,-128.66896,-78.55027,20.817814,13.726478,-142.90817,27
-3.2,high,-128.66896,-77.969696,20.066973,13.555075,-142.43652,27
-3.0999999,high,-128.66896,-77.391243,19.324274,13.381924,-141.96487,27
-3,high,-128.66896,-76.814926,18.589687,13.207076,-141.49324,27
-2.9000001,high,-128.66896,-76.24073,17.863174,13.030582,-141.02159,27
-2.8,high,-128.66896,-75.668663,17.144695,12.852494,-140.54994,27
-2.7,high,-128.66896,-75.098732,16.434221,12.672862,-140.07831,27
-2.5999999,high,-128.66896,-74.530922,15.731709,12.491734,-139.60666,27
-2.5,high,-128.66896,-73.96524,15.037127,12.30916,-139.13501,27
-2.4000001,high,-128.66896,-73.401688,14.350436,12.125192,-138.66338,27
-2.3,high,-128.66896,-72.840256,13.671601,11.939875,-138.19173,27
-2.2,high,-128.66896,-72.28096,13.000588,11.75326,-137.72008,27
-2.0999999,high,-128.66896,-71.723793,12.337358,11.565393,-137.24844,27
-2,high,-128.66896,-71.168755,11.681876,11.376326,-136.77679,27
-1.9,high,-128.66896,-70.615837,11.034105,11.186102,-136.30515,27
-1.8,high,-128.66896,-70.065056,10.39401,10.994771,-135.83351,27
-1.7,high,-128.66896,-69.516396,9.7615547,10.802379,-135.36186,27
-1.6,high,-128.66896,-68.969872,9.1367025,10.608973,-134.89021,27
-1.5,high,-128.66896,-68.425468,8.5194168,10.414597,-134.41858,27
-1.4,high,-128.66896,-67.883194,7.9096613,10.219299,-133.94693,27
-1.3,high,-128.66896,-67.343048,7.3074012,10.023125,-133.47528,27
-1.2,high,-128.66896,-66.805031,6.7126002,9.8261175,-133.00365,27
-1.1,high,-128.66896,-66.269142,6.1252208,9.6283236,-132.532,27
-1,high,-128.66896,-65.735382,5.5452275,9.4297867,-132.06035,27
-.89999998,high,-128.66896,-65.203751,4.9725842,9.2305517,-131.58871,27
-.80000001,high,-128.66896,-64.674248,4.4072556,9.0306625,-131.11707,27
-.69999999,high,-128.66896,-64.146873,3.8492038,8.8301611,-130.64542,27
-.60000002,high,-128.66896,-63.621624,3.2983942,8.6290913,-130.17378,27
-.5,high,-128.66896,-63.098503,2.7547896,8.427496,-129.70213,27
-.40000001,high,-128.66896,-62.577511,2.2183542,8.2254181,-129.23048,27
-.30000001,high,-128.66896,-62.058647,1.6890521,8.0228996,-128.75885,27
-.2,high,-128.66896,-61.541908,1.1668468,7.8199811,-128.2872,27
-.1,high,-128.66896,-61.027302,.65170223,7.6167049,-127.81556,27
0,high,-128.66896,-60.51482,.14358222,7.4131122,-127.34391,27
.1,high,-128.66896,-60.004471,-.35754934,7.2092433,-126.87227,27
.2,high,-128.66896,-59.496246,-.85172862,7.0051384,-126.40063,27
.30000001,high,-128.66896,-58.99015,-1.3389919,6.800838,-125.92898,27
.40000001,high,-128.66896,-58.486183,-1.819375,6.5963817,-125.45734,27
.5,high,-128.66896,-57.984341,-2.2929144,6.391809,-124.98569,27
.60000002,high,-128.66896,-57.484631,-2.7596464,6.1871581,-124.51405,27
.69999999,high,-128.66896,-56.987045,-3.2196066,5.9824691,-124.0424,27
.80000001,high,-128.66896,-56.491592,-3.6728318,5.7777791,-123.57076,27
.89999998,high,-128.66896,-55.998264,-4.1193576,5.5731263,-123.09911,27
1,high,-128.66896,-55.507065,-4.5592208,5.3685489,-122.62747,27
1.1,high,-128.66896,-55.017994,-4.9924569,5.1640835,-122.15583,27
1.2,high,-128.66896,-54.531048,-5.4191022,4.9597678,-121.68418,27
1.3,high,-128.66896,-54.046234,-5.8391929,4.7556381,-121.21254,27
1.4,high,-128.66896,-53.563545,-6.2527657,4.5517306,-120.7409,27
1.5,high,-128.66896,-53.082989,-6.6598563,4.3480816,-120.26925,27
1.6,high,-128.66896,-52.604557,-7.0605006,4.1447258,-119.79761,27
1.7,high,-128.66896,-52.128254,-7.4547353,3.9416995,-119.32597,27
1.8,high,-128.66896,-51.654079,-7.8425961,3.7390375,-118.85432,27
1.9,high,-128.66896,-51.18203,-8.2241192,3.5367739,-118.38268,27
2,high,-128.66896,-50.712112,-8.5993414,3.3349431,-117.91103,27
2.0999999,high,-128.66896,-50.24432,-8.968298,3.1335793,-117.43938,27
2.2,high,-128.66896,-49.778656,-9.3310261,2.9327154,-116.96774,27
2.3,high,-128.66896,-49.315125,-9.6875601,2.7323856,-116.4961,27
2.4000001,high,-128.66896,-48.853718,-10.037939,2.5326219,-116.02445,27
2.5,high,-128.66896,-48.394436,-10.382196,2.3334577,-115.55281,27
2.5999999,high,-128.66896,-47.937286,-10.720368,2.1349249,-115.08117,27
2.7,high,-128.66896,-47.482265,-11.052494,1.9370545,-114.60952,27
2.8,high,-128.66896,-47.029369,-11.378607,1.7398793,-114.13788,27
2.9000001,high,-128.66896,-46.578602,-11.698744,1.5434295,-113.66624,27
3,high,-128.66896,-46.129963,-12.01294,1.3477368,-113.19459,27
3.0999999,high,-128.66896,-45.683456,-12.321234,1.1528313,-112.72295,27
3.2,high,-128.66896,-45.239071,-12.62366,.95874274,-112.2513,27
3.3,high,-128.66896,-44.796818,-12.920255,.76550186,-111.77966,27
3.4000001,high,-128.66896,-44.356689,-13.211054,.57313716,-111.30801,27
3.5,high,-128.66896,-43.918694,-13.496095,.38167873,-110.83637,27
3.5999999,high,-128.66896,-43.482822,-13.775412,.19115494,-110.36472,27
3.7,high,-128.66896,-43.04908,-14.049044,.0015937914,-109.89308,27
3.8,high,-128.66896,-42.617466,-14.317024,-.18697569,-109.42144,27
3.9000001,high,-128.66896,-42.187981,-14.579391,-.37452659,-108.94979,27
4,high,-128.66896,-41.760624,-14.836178,-.56103063,-108.47815,27
4.0999999,high,-128.66896,-41.335392,-15.087424,-.74646109,-108.00651,27
4.1999998,high,-128.66896,-40.912292,-15.333164,-.9307912,-107.53486,27
4.3000002,high,-128.66896,-40.491318,-15.573436,-1.1139956,-107.06322,27
4.4000001,high,-128.66896,-40.072472,-15.808272,-1.296046,-106.59157,27
4.5,high,-128.66896,-39.655754,-16.037712,-1.4769181,-106.11993,27
4.5999999,high,-128.66896,-39.241165,-16.261789,-1.6565861,-105.64828,27
4.6999998,high,-128.66896,-38.828705,-16.480543,-1.8350251,-105.17664,27
4.8000002,high,-128.66896,-38.418369,-16.694008,-2.0122111,-104.70499,27
4.9000001,high,-128.66896,-38.010162,-16.90222,-2.1881182,-104.23335,27
5,high,-128.66896,-37.604088,-17.105215,-2.3627231,-103.76171,27
5.0999999,high,-128.66896,-37.200138,-17.30303,-2.5360022,-103.29006,27
5.1999998,high,-128.66896,-36.798317,-17.495701,-2.707932,-102.81842,27
5.3000002,high,-128.66896,-36.398621,-17.683264,-2.8784902,-102.34677,27
