temp,risk,bins,poly_2,poly_3,poly_4,spline
-11.1,low,-18.214924,-36.058075,-6.1669288,-51.403477,-1.9048808
-11,high,-100.39586,-247.32001,-78.116356,-86.365036,-27.602266
-11,low,-18.214924,-35.958973,-6.459754,-50.865768,-1.899881
-10.9,high,-100.39586,-246.21655,-78.954865,-87.066559,-27.529629
-10.9,low,-18.214924,-35.85989,-6.7497206,-50.335293,-1.8948814
-10.8,high,-100.39586,-245.11549,-79.782715,-87.758987,-27.456991
-10.8,low,-18.214924,-35.760834,-7.0368352,-49.811993,-1.8898816
-10.7,high,-100.39586,-244.0168,-80.599983,-88.44236,-27.384354
-10.7,low,-18.214924,-35.6618,-7.3211136,-49.295788,-1.884882
-10.6,high,-100.39586,-242.92052,-81.406685,-89.116684,-27.311716
-10.6,low,-18.214924,-35.562794,-7.6025596,-48.786629,-1.8798823
-10.5,high,-100.39586,-241.82661,-82.202873,-89.782021,-27.239079
-10.5,low,-18.214924,-35.463806,-7.8811889,-48.284443,-1.8748826
-10.4,high,-100.39586,-240.73511,-82.988594,-90.438377,-27.166441
-10.4,low,-18.214924,-35.364845,-8.1570082,-47.789165,-1.8698829
-10.3,high,-100.39586,-239.646,-83.76387,-91.085793,-27.093803
-10.3,low,-18.214924,-35.265907,-8.4300251,-47.300743,-1.8648832
-10.2,high,-100.39586,-238.55925,-84.528755,-91.724297000000007,-27.021166
-10.2,low,-18.214924,-35.166992,-8.7002535,-46.819103,-1.8598835
-10.1,high,-100.39586,-237.47491,-85.283279,-92.353912,-26.948528
-10.1,low,-18.214924,-35.0681,-8.9676991,-46.344189,-1.8548839
-10,high,-100.39586,-236.39294,-86.027504,-92.974678,-26.875891
-10,low,-18.214924,-34.969231,-9.2323761,-45.875935,-1.8498842
-9.8999996,high,-100.39586,-235.31337,-86.761452,-93.586624,-26.803253
-9.8999996,low,-18.214924,-34.870384,-9.4942913,-45.414276,-1.8448845
-9.8000002,high,-100.39586,-234.23621,-87.485161,-94.189774,-26.730616
-9.8000002,low,-18.214924,-34.771564,-9.7534533,-44.95916,-1.8398848
-9.6999998,high,-100.39586,-233.16141,-88.198692,-94.784172,-26.657978
-9.6999998,low,-18.214924,-34.672768,-10.009876,-44.510509,-1.8348851
-9.6000004,high,-100.39586,-232.089,-88.902061,-95.369827,-26.58534
-9.6000004,low,-18.214924,-34.573994,-10.263565,-44.068283,-1.8298855
-9.5,high,-100.39586,-231.019,-89.595329,-95.946793,-26.512703
-9.5,low,-18.214924,-34.475243,-10.514534,-43.632401,-1.8248857
-9.3999996,high,-100.39586,-229.95135,-90.278526,-96.515083,-26.440065
-9.3999996,low,-18.214924,-34.376514,-10.76279,-43.202812,-1.819886
-9.3000002,high,-100.39586,-228.88612,-90.951691,-97.074738,-26.367428
-9.3000002,low,-18.214924,-34.277809,-11.008341,-42.779457,-1.8148863
-9.1999998,high,-100.39586,-227.82327,-91.614876,-97.625778,-26.29479
-9.1999998,low,-18.214924,-34.179131,-11.251203,-42.362267,-1.8098867
-9.1000004,high,-100.39586,-226.76282,-92.268112,-98.168243,-26.222153
