,iso,adm0_id,adm1_id,adm2_id,state,master_county_name,NAME_1,NAME_2
124,USA,80000000,80320000,80320223,NY,Nassau County,New York,Nassau
125,USA,80000000,80320000,80320275,NY,Richmond County,New York,Richmond
126,USA,80000000,80320000,80320334,NY,Ulster County,New York,Ulster
127,USA,80000000,80330000,80330257,NC,Pitt County,North Carolina,Pitt
128,USA,80000000,80350000,80350075,OH,Columbiana County,Ohio,Columbiana
129,USA,80000000,80350000,80350124,OH,Hamilton County,Ohio,Hamilton
130,USA,80000000,80350000,80350124,OH,OHIOHAMILTON,Ohio,Hamilton
131,USA,80000000,80370000,80370171,OR,Lane County,Oregon,Lane
132,USA,80000000,80380000,80380022,PA,Berks County,Pennsylvania,Berks
133,USA,80000000,80380000,80380170,PA,Lancaster County,Pennsylvania,Lancaster
134,USA,80000000,80380000,80380344,PA,Washington County,Pennsylvania,Washington
135,USA,80000000,80380000,80380362,PA,York County,Pennsylvania,York
136,USA,80000000,80400000,80400274,SC,Richland County,South Carolina,Richland
137,USA,80000000,80400000,80400274,SC,SOUTHCAROLINARICHLAND,South Carolina,Richland
138,USA,80000000,80400000,80400362,SC,York County,South Carolina,York
139,USA,80000000,80420000,80420217,TN,Montgomery County,Tennessee,Montgomery
140,USA,80000000,80430000,80430032,TX,Brazoria County,Texas,Brazoria
141,USA,80000000,80430000,80430112,TX,Fort Bend County,Texas,Fort Bend
142,USA,80000000,80460000,80460228,VA,Newport News city,Virginia,Newport News
143,USA,80000000,80470000,80470067,WA,Clark County,Washington,Clark
144,USA,80000000,80470000,80470067,WA,WASHINGTONCLARK,Washington,Clark
145,USA,80000000,80470000,80470253,WA,Pierce County,Washington,Pierce
146,USA,80000000,80470000,80470309,WA,Spokane County,Washington,Spokane
147,USA,80000000,80490000,80490084,WI,Dane County,Wisconsin,Dane
148,USA,80000000,80490000,80490084,WI,WISCONSINDANE,Wisconsin,Dane
149,USA,80000000,80080000,80080093,DC,District of Columbia,District of Columbia,District of Columbia
150,USA,80000000,80040000,80040258,CA,Placer County,California,Placer
151,USA,80000000,80040000,80040281,CA,Sacramento County,California,Sacramento
152,USA,80000000,80040000,80040331,CA,Tulare County,California,Tulare
153,USA,80000000,80050000,80050012,CO,Arapahoe County,Colorado,Arapahoe
154,USA,80000000,80050000,80050012,CO,COLORADOARAPAHOE,Colorado,Arapahoe
155,USA,80000000,80050000,80050104,CO,El Paso County,Colorado,El Paso
156,USA,80000000,80050000,80050104,CO,COLORADOELPASO,Colorado,El Paso
157,USA,80000000,80090000,80090059,FL,Charlotte County,Florida,Charlotte
158,USA,80000000,80090000,80090240,FL,Orange County,Florida,Orange
159,USA,80000000,80090000,80090256,FL,Pinellas County,Florida,Pinellas
160,USA,80000000,80100000,80100070,GA,Clayton County,Georgia,Clayton
161,USA,80000000,80150000,80150299,IA,Scott County,Iowa,Scott
162,USA,80000000,80170000,80170159,KY,Kenton County,Kentucky,Kenton
