,discount_type,ssp,year,global_consumption
176,constant_model_collapsed,SSP2,2194,2389724600000000.0
177,constant_model_collapsed,SSP2,2195,2424751200000000.0
178,constant_model_collapsed,SSP2,2196,2460291500000000.0
179,constant_model_collapsed,SSP2,2197,2496352300000000.0
180,constant_model_collapsed,SSP2,2198,2532942000000000.0
181,constant_model_collapsed,SSP2,2199,2570068200000000.0
182,constant_model_collapsed,SSP2,2200,2607738200000000.0
183,constant_model_collapsed,SSP2,2201,2645960800000000.0
184,constant_model_collapsed,SSP2,2202,2684743300000000.0
185,constant_model_collapsed,SSP2,2203,2724094300000000.0
186,constant_model_collapsed,SSP2,2204,2764022200000000.0
187,constant_model_collapsed,SSP2,2205,2804535000000000.0
188,constant_model_collapsed,SSP2,2206,2845641900000000.0
189,constant_model_collapsed,SSP2,2207,2887351000000000.0
190,constant_model_collapsed,SSP2,2208,2929671800000000.0
191,constant_model_collapsed,SSP2,2209,2972613000000000.0
192,constant_model_collapsed,SSP2,2210,3016183200000000.0
193,constant_model_collapsed,SSP2,2211,3060392000000000.0
194,constant_model_collapsed,SSP2,2212,3105249300000000.0
195,constant_model_collapsed,SSP2,2213,3150763600000000.0
196,constant_model_collapsed,SSP2,2214,3196945200000000.0
197,constant_model_collapsed,SSP2,2215,3243803800000000.0
198,constant_model_collapsed,SSP2,2216,3291349100000000.0
199,constant_model_collapsed,SSP2,2217,3339591300000000.0
200,constant_model_collapsed,SSP2,2218,3388540500000000.0
201,constant_model_collapsed,SSP2,2219,3438207200000000.0
202,constant_model_collapsed,SSP2,2220,3488602000000000.0
203,constant_model_collapsed,SSP2,2221,3539735100000000.0
204,constant_model_collapsed,SSP2,2222,3591617800000000.0
205,constant_model_collapsed,SSP2,2223,3644261000000000.0
206,constant_model_collapsed,SSP2,2224,3697675900000000.0
207,constant_model_collapsed,SSP2,2225,3751873800000000.0
208,constant_model_collapsed,SSP2,2226,3806866000000000.0
209,constant_model_collapsed,SSP2,2227,3862664000000000.0
210,constant_model_collapsed,SSP2,2228,3919280000000000.0
211,constant_model_collapsed,SSP2,2229,3976726000000000.0
212,constant_model_collapsed,SSP2,2230,4035014000000000.0
213,constant_model_collapsed,SSP2,2231,4094156400000000.0
214,constant_model_collapsed,SSP2,2232,4154165400000000.0
215,constant_model_collapsed,SSP2,2233,4215053800000000.0
216,constant_model_collapsed,SSP2,2234,4276835300000000.0
217,constant_model_collapsed,SSP2,2235,4339521700000000.0
218,constant_model_collapsed,SSP2,2236,4403127500000000.0
219,constant_model_collapsed,SSP2,2237,4467665000000000.0
220,constant_model_collapsed,SSP2,2238,4533148500000000.0
221,constant_model_collapsed,SSP2,2239,4599592000000000.0
222,constant_model_collapsed,SSP2,2240,4667009700000000.0
223,constant_model_collapsed,SSP2,2241,4735415700000000.0
224,constant_model_collapsed,SSP2,2242,4804824000000000.0
225,constant_model_collapsed,SSP2,2243,4875249600000000.0
226,constant_model_collapsed,SSP2,2244,4946707600000000.0
227,constant_model_collapsed,SSP2,2245,5019212600000000.0
228,constant_model_collapsed,SSP2,2246,5092781000000000.0
229,constant_model_collapsed,SSP2,2247,5167427000000000.0
230,constant_model_collapsed,SSP2,2248,5243167000000000.0
231,constant_model_collapsed,SSP2,2249,5320017600000000.0
232,constant_model_collapsed,SSP2,2250,5397994400000000.0
233,constant_model_collapsed,SSP2,2251,5477114000000000.0
234,constant_model_collapsed,SSP2,2252,5557394000000000.0
235,constant_model_collapsed,SSP2,2253,5638849700000000.0
236,constant_model_collapsed,SSP2,2254,5721500000000000.0
237,constant_model_collapsed,SSP2,2255,5805362000000000.0
238,constant_model_collapsed,SSP2,2256,5890452000000000.0
239,constant_model_collapsed,SSP2,2257,5976790000000000.0
240,constant_model_collapsed,SSP2,2258,6064393000000000.0
241,constant_model_collapsed,SSP2,2259,6153280000000000.0
242,constant_model_collapsed,SSP2,2260,6243471000000000.0
243,constant_model_collapsed,SSP2,2261,6334983000000000.0
244,constant_model_collapsed,SSP2,2262,6427836000000000.0
245,constant_model_collapsed,SSP2,2263,6522050600000000.0
246,constant_model_collapsed,SSP2,2264,6617646400000000.0
247,constant_model_collapsed,SSP2,2265,6714643000000000.0
248,constant_model_collapsed,SSP2,2266,6813061000000000.0
249,constant_model_collapsed,SSP2,2267,6912921700000000.0
250,constant_model_collapsed,SSP2,2268,7014246400000000.0
251,constant_model_collapsed,SSP2,2269,7117056000000000.0
252,constant_model_collapsed,SSP2,2270,7221373000000000.0
253,constant_model_collapsed,SSP2,2271,7327218500000000.0
254,constant_model_collapsed,SSP2,2272,7434615000000000.0
255,constant_model_collapsed,SSP2,2273,7543586600000000.0
256,constant_model_collapsed,SSP2,2274,7654155000000000.0
257,constant_model_collapsed,SSP2,2275,7766344000000000.0
258,constant_model_collapsed,SSP2,2276,7880178000000000.0
259,constant_model_collapsed,SSP2,2277,7995679700000000.0
260,constant_model_collapsed,SSP2,2278,8112874300000000.0
261,constant_model_collapsed,SSP2,2279,8231787000000000.0
262,constant_model_collapsed,SSP2,2280,8352442000000000.0
263,constant_model_collapsed,SSP2,2281,8474866000000000.0
264,constant_model_collapsed,SSP2,2282,8599084500000000.0
