temp,no_wgt_comm,no_wgt_low,no_wgt_ag,no_wgt_nonag,pop_wgt_comm,risk_wgt_sector_low,risk_wgt_sector_ag,risk_wgt_sector_nonag,frac_no_wgt_comm,frac_no_wgt_low,frac_no_wgt_ag,frac_no_wgt_nonag,frac_pop_wgt_comm,frac_risk_wgt_sector_low,frac_risk_wgt_sector_ag,frac_risk_wgt_sector_nonag
-7.8,6,6,0,0,.0000130777126143,.0000261608342953,0,0,9.09662480349e-07,1.43684078942e-06,0,0,.0000134235909134,.0000430138837899,0,0
-7.7,2,2,0,0,7.15462195985e-06,.0000143122033478,0,0,3.03220826783e-07,4.78946929806e-07,0,0,7.34384683017e-06,.0000235322560676,0,0
-7.6,7,6,0,1,.0000200723999342,.0000287067789486,0,.0000122618730529,1.06127289374e-06,1.43684078942e-06,0,4.90254236042e-07,.000020603273165,.0000471999493495,0,.0000427559434324
-7.5,11,11,0,0,.0000317567404638,.0000635266155768,0,0,1.66771454731e-06,2.63420811394e-06,0,0,.0000325966402,.0001044510442268,0,0
-7.4,3,3,0,0,5.49944638842e-06,.0000110011669676,0,0,4.54831240175e-07,7.18420394710e-07,0,0,5.64489530739e-06,.0000180882196706,0,0
-7.3,5,0,0,5,.0000248524725255,0,0,.0000532574322278,7.58052066958e-07,0,0,2.45127118021e-06,.0000255097687344,0,0,.0001857034198497
-7.2,3,3,0,0,3.99447350040e-06,7.99059921519e-06,0,0,4.54831240175e-07,7.18420394710e-07,0,0,4.10011901660e-06,.0000131382165482,0,0
-7.1,7,5,0,2,.0000123328611334,.0000209635827559,0,3.97138137487e-06,1.06127289374e-06,1.19736732452e-06,0,9.80508472083e-07,.0000126590396599,.0000344685151209,0,.0000138478156379
-7,4,4,0,0,.0000101809493914,.0000203661101068,0,0,6.06441653566e-07,9.57893859613e-07,0,0,.0000104502143279,.0000334861451091,0,0
-6.9,5,3,0,2,.0000107636974241,.0000145506871831,0,7.47856665839e-06,7.58052066958e-07,7.18420394710e-07,0,9.80508472083e-07,.0000110483748341,.0000239243733779,0,.0000260770252328
-6.8,3,2,0,1,6.81515429750e-06,7.93995695858e-06,0,6.09880862612e-06,4.54831240175e-07,4.78946929806e-07,0,4.90254236042e-07,6.99540095420e-06,.0000130549500852,0,.0000212659448926
-6.7,7,6,0,1,.0000265027609521,.0000493569609716,0,3.92026367990e-06,1.06127289374e-06,1.43684078942e-06,0,4.90254236042e-07,.0000272037038577,.0000811531681097,0,.0000136695732711
-6.6,6,6,0,0,.0000140625171038,.000028130850751,0,0,9.09662480349e-07,1.43684078942e-06,0,0,.0000144344414333,.0000462530029225,0,0
-6.5,8,8,0,0,.000021052761775,.0000421142299274,0,0,1.21288330713e-06,1.91578771923e-06,0,0,.0000216095635375,.0000692446032703,0,0
-6.4,8,8,0,0,8.48574333578e-06,.0000169749959014,0,0,1.21288330713e-06,1.91578771923e-06,0,0,8.71017359797e-06,.0000279104440169,0,0
-6.3,10,8,0,2,.0000228194986627,.0000356794555501,0,.0000106792695078,1.51610413392e-06,1.91578771923e-06,0,9.80508472083e-07,.0000234230269413,.0000586644881961,0,.0000372375607711
-6.2,9,9,0,0,.0000347482231101,.0000695108192303,0,0,1.36449372052e-06,2.15526118413e-06,0,0,.0000356672413404,.0001142903267826,0,0
-6.1,7,7,0,0,8.24540790769e-06,.0000164942262018,0,0,1.06127289374e-06,1.67631425432e-06,0,0,8.46348179767e-06,.0000271199580655,0,0
-6,21,15,0,6,.0001197150658733,.0002137170282595,0,.000027598201541,3.18381868122e-06,3.59210197355e-06,0,2.94152541625e-06,.0001228812803768,.0003513954988479,0,.0000962322101061
