temp,ref,yhat_agri,se_agri,lowerci_agri,upperci_agri,yhat_high,se_high,lowerci_high,upperci_high
-12.1,27,-126.14474,62.486332,-248.61571,-3.6737878,-28.474707,27.705851,-82.777176,25.827763
-12,27,-125.82212,62.326519,-247.97986,-3.664392,-28.401882,27.634993,-82.565468,25.761707
-11.9,27,-125.4995,62.166706,-247.34401,-3.6549962,-28.329056,27.564133,-82.353767,25.695652
-11.8,27,-125.17688,62.006897,-246.70816,-3.6456003,-28.256231,27.493275,-82.142059,25.629597
-11.7,27,-124.85426,61.847084,-246.07231,-3.6362042,-28.183405,27.422415,-81.930351,25.563541
-11.6,27,-124.53164,61.687271,-245.43648,-3.6268084,-28.11058,27.351557,-81.718643,25.497486
-11.5,27,-124.20901,61.527462,-244.80063,-3.6174126,-28.037756,27.280697,-81.506943,25.431429
-11.4,27,-123.8864,61.367649,-244.16478,-3.6080167,-27.96493,27.209839,-81.295235,25.365374
-11.3,27,-123.56377,61.207836,-243.52893,-3.5986209,-27.892105,27.138979,-81.083527,25.299318
-11.2,27,-123.24116,61.048023,-242.89308,-3.5892248,-27.819279,27.068121,-80.871819,25.233263
-11.1,27,-122.91853,60.888214,-242.25725,-3.5798292,-27.746454,26.997261,-80.660118,25.167208
-11,27,-122.59592,60.728401,-241.6214,-3.5704331,-27.673628,26.926403,-80.44841,25.101151
-10.9,27,-122.27329,60.568588,-240.98555,-3.5610373,-27.600803,26.855543,-80.236702,25.035095
-10.8,27,-121.95068,60.408779,-240.3497,-3.5516415,-27.527977,26.784685,-80.024994,24.96904
-10.7,27,-121.62805,60.248966,-239.71385,-3.5422456,-27.455153,26.713825,-79.813286,24.902985
-10.6,27,-121.30544,60.089157,-239.07802,-3.5328498,-27.382328,26.642967,-79.601585,24.836929
-10.5,27,-120.98281,59.929344,-238.44217,-3.5234537,-27.309502,26.572107,-79.389877,24.770872
-10.4,27,-120.66019,59.769531,-237.80632,-3.5140579,-27.236675,26.501249,-79.178169,24.704817
-10.3,27,-120.33757,59.609722,-237.17047,-3.504662,-27.163851,26.430389,-78.966461,24.638762
-10.2,27,-120.01495,59.449909,-236.53462,-3.4952662,-27.091026,26.359531,-78.754753,24.572706
-10.1,27,-119.69233,59.2901,-235.89879,-3.4858704,-27.0182,26.288671,-78.543053,24.506651
-10,27,-119.36971,59.130287,-235.26294,-3.4764745,-26.945375,26.217813,-78.331345,24.440594
-9.9,27,-119.04708,58.970474,-234.62709,-3.4670784,-26.872549,26.146954,-78.119637,24.374538
-9.8,27,-118.72446,58.810665,-233.99124,-3.4576826,-26.799725,26.076096,-77.907928,24.308483
-9.7,27,-118.40184,58.650852,-233.35539,-3.4482868,-26.726898,26.005236,-77.696228,24.242428
-9.6,27,-118.07922,58.491039,-232.71956,-3.4388909,-26.654074,25.934378,-77.48452,24.176373
-9.5,27,-117.7566,58.33123,-232.08371,-3.4294951,-26.581249,25.863518,-77.272812,24.110315
-9.4,27,-117.43398,58.171417,-231.44786,-3.420099,-26.508423,25.79266,-77.061104,24.04426
-9.3,27,-117.11136,58.011604,-230.81201,-3.4107034,-26.435598,25.7218,-76.849403,23.978205
-9.2,27,-116.78874,57.851795,-230.17618,-3.4013073,-26.362772,25.650942,-76.637695,23.912149
-9.1,27,-116.46612,57.691982,-229.54033,-3.3919115,-26.289948,25.580082,-76.425987,23.846094
-9,27,-116.1435,57.532169,-228.90448,-3.3825157,-26.217121,25.509224,-76.214279,23.780037
-8.9,27,-115.82088,57.37236,-228.26863,-3.3731198,-26.144297,25.438364,-76.002571,23.713982
-8.8,27,-115.49826,57.212547,-227.6328,-3.363724,-26.07147,25.367506,-75.790871,23.647926
-8.7,27,-115.17564,57.052734,-226.99695,-3.3543279,-25.998646,25.296646,-75.579163,23.581871
-8.6,27,-114.85301,56.892925,-226.3611,-3.3449321,-25.925821,25.225788,-75.367455,23.515816
-8.5,27,-114.5304,56.733112,-225.72525,-3.3355362,-25.852995,25.154928,-75.155746,23.44976
-8.4,27,-114.20777,56.573299,-225.0894,-3.3261404,-25.780169,25.08407,-74.944046,23.383703
-8.3,27,-113.88515,56.41349,-224.45357,-3.3167446,-25.707344,25.01321,-74.732338,23.317648
-8.2,27,-113.56253,56.253677,-223.81772,-3.3073487,-25.63452,24.942352,-74.52063,23.251593
-8.1,27,-113.23991,56.093868,-223.18187,-3.2979529,-25.561693,24.871492,-74.308922,23.185537
-8,27,-112.91729,55.934055,-222.54602,-3.2885568,-25.488869,24.800634,-74.097221,23.119482
-7.9,27,-112.59467,55.774242,-221.91017,-3.279161,-25.416042,24.729774,-73.885513,23.053425
-7.8,27,-112.27205,55.614433,-221.27434,-3.2697651,-25.343218,24.658916,-73.673805,22.98737
-7.7,27,-111.94942,55.45462,-220.63849,-3.2603693,-25.270391,24.588057,-73.462097,22.921314
-7.6,27,-111.62681,55.294807,-220.00264,-3.2509735,-25.197567,24.517199,-73.250389,22.855259
-7.5,27,-111.30418,55.134998,-219.36679,-3.2415774,-25.124743,24.446339,-73.038689,22.789204
-7.4,27,-110.98157,54.975185,-218.73094,-3.2321815,-25.051916,24.375481,-72.826981,22.723146
-7.3,27,-110.65894,54.815372,-218.09511,-3.2227857,-24.979092,24.304621,-72.615273,22.657091
-7.2,27,-110.33632,54.655563,-217.45926,-3.2133899,-24.906265,24.233763,-72.403564,22.591036
-7.1,27,-110.0137,54.49575,-216.82341,-3.203994,-24.833441,24.162903,-72.191864,22.524981
-7,27,-109.69108,54.335938,-216.18756,-3.1945982,-24.760614,24.092045,-71.980156,22.458925
-6.9,27,-109.36846,54.176128,-215.55171,-3.1852024,-24.68779,24.021185,-71.768448,22.392868
-6.8,27,-109.04584,54.016315,-214.91588,-3.1758063,-24.614964,23.950327,-71.55674,22.326813
-6.7,27,-108.72322,53.856503,-214.28003,-3.1664104,-24.542139,23.879467,-71.345032,22.260757
-6.6,27,-108.4006,53.696693,-213.64418,-3.1570146,-24.469313,23.808609,-71.133331,22.194702
-6.5,27,-108.07798,53.53688,-213.00833,-3.1476188,-24.396488,23.737749,-70.921623,22.128647
-6.4,27,-107.75536,53.377071,-212.3725,-3.1382229,-24.323664,23.666891,-70.709915,22.062592
-6.3,27,-107.43274,53.217258,-211.73665,-3.1288271,-24.250837,23.596031,-70.498207,21.996534
-6.2,27,-107.11012,53.057446,-211.1008,-3.119431,-24.178013,23.525173,-70.286507,21.930479
-6.1,27,-106.78749,52.897633,-210.46495,-3.1100352,-24.105186,23.454313,-70.074799,21.864424
-6,27,-106.46487,52.737823,-209.8291,-3.1006393,-24.032362,23.383455,-69.863091,21.798368
-5.9,27,-106.14225,52.578011,-209.19327,-3.0912435,-23.959536,23.312595,-69.651382,21.732313
