temp,ref,yhat_comm,se_comm,lomacoerci_comm,upperci_comm,yhat_lomaco,se_lomaco,lomacoerci_lomaco,upperci_lomaco,yhat_low,se_low,lowerci_low,upperci_low
-17.2,27,-17.700922,10.823785,-38.91515,3.5133069,-2.9102845,10.200663,-22.903217,17.082647,-2.367255,12.656324,-27.173195,22.438684
-17.1,27,-17.660875,10.799297,-38.827106,3.5053582,-2.9037001,10.177585,-22.851398,17.043999,-2.3618994,12.62769,-27.111717,22.387918
-17,27,-17.620827,10.774809,-38.739063,3.4974093,-2.8971159,10.154506,-22.799582,17.00535,-2.3565435,12.599056,-27.05024,22.337152
-16.9,27,-17.58078,10.75032,-38.65102,3.4894607,-2.8905315,10.131428,-22.747765,16.966702,-2.3511877,12.570421,-26.988762,22.286386
-16.8,27,-17.540733,10.725832,-38.562977,3.4815121,-2.8839471,10.108349,-22.695948,16.928053,-2.3458319,12.541787,-26.927284,22.235619
-16.7,27,-17.500685,10.701344,-38.474934,3.4735634,-2.8773627,10.085271,-22.644131,16.889404,-2.3404763,12.513153,-26.865807,22.184855
-16.6,27,-17.460638,10.676856,-38.38689,3.4656148,-2.8707786,10.062192,-22.592314,16.850756,-2.3351204,12.484519,-26.804329,22.134089
-16.5,27,-17.420591,10.652368,-38.298847,3.4576662,-2.8641942,10.039114,-22.540495,16.812107,-2.3297646,12.455885,-26.742851,22.083321
-16.4,27,-17.380543,10.627879,-38.210804,3.4497175,-2.8576097,10.016035,-22.488678,16.773458,-2.3244088,12.427251,-26.681372,22.032555
-16.3,27,-17.340496,10.603391,-38.122761,3.4417689,-2.8510253,9.9929571,-22.436861,16.73481,-2.3190529,12.398616,-26.619894,21.981789
-16.2,27,-17.300449,10.578903,-38.034718,3.4338202,-2.8444412,9.9698792,-22.385044,16.696163,-2.3136973,12.369983,-26.558418,21.931023
-16.1,27,-17.260401,10.554415,-37.946674,3.4258716,-2.8378568,9.9468002,-22.333227,16.657513,-2.3083415,12.341348,-26.496939,21.880257
-16,27,-17.220354,10.529926,-37.858631,3.417923,-2.8312724,9.9237213,-22.28141,16.618864,-2.3029857,12.312714,-26.435461,21.829491
-15.9,27,-17.180307,10.505438,-37.770588,3.4099741,-2.824688,9.9006433,-22.229591,16.580215,-2.2976298,12.28408,-26.373983,21.778723
-15.8,27,-17.140259,10.48095,-37.682545,3.4020255,-2.8181036,9.8775654,-22.177774,16.541569,-2.2922742,12.255445,-26.312506,21.727957
-15.7,27,-17.100212,10.456462,-37.594501,3.3940768,-2.8115191,9.8544865,-22.125957,16.50292,-2.2869184,12.226811,-26.251028,21.677191
-15.6,27,-17.060165,10.431973,-37.506458,3.3861282,-2.804935,9.8314085,-22.074141,16.464272,-2.2815626,12.198177,-26.18955,21.626425
-15.5,27,-17.020117,10.407486,-37.418415,3.3781796,-2.7983506,9.8083296,-22.022324,16.425623,-2.2762067,12.169542,-26.128073,21.575659
-15.4,27,-16.98007,10.382998,-37.330372,3.3702309,-2.7917662,9.7852507,-21.970507,16.386974,-2.2708509,12.140908,-26.066593,21.524893
-15.3,27,-16.940023,10.358509,-37.242329,3.3622823,-2.7851818,9.7621727,-21.91869,16.348326,-2.2654953,12.112274,-26.005117,21.474127
-15.2,27,-16.899975,10.334021,-37.154285,3.3543336,-2.7785974,9.7390947,-21.866871,16.309677,-2.2601395,12.08364,-25.943638,21.423359
-15.1,27,-16.859928,10.309533,-37.066242,3.346385,-2.7720132,9.7160158,-21.815054,16.271029,-2.2547836,12.055006,-25.88216,21.372593
-15,27,-16.819881,10.285045,-36.978199,3.3384364,-2.7654288,9.6929379,-21.763237,16.23238,-2.2494278,12.026372,-25.820683,21.321827
-14.9,27,-16.779833,10.260556,-36.890156,3.3304875,-2.7588444,9.6698589,-21.71142,16.193731,-2.244072,11.997737,-25.759205,21.271061
-14.8,27,-16.739786,10.236068,-36.802113,3.3225391,-2.75226,9.646781,-21.659603,16.155083,-2.2387164,11.969103,-25.697727,21.220295
-14.7,27,-16.699739,10.21158,-36.714069,3.3145902,-2.7456758,9.623702,-21.607786,16.116434,-2.2333605,11.940469,-25.63625,21.169529
-14.6,27,-16.659691,10.187092,-36.626026,3.3066416,-2.7390914,9.6006241,-21.555969,16.077785,-2.2280047,11.911835,-25.574772,21.118763
-14.5,27,-16.619644,10.162603,-36.537979,3.2986929,-2.732507,9.5775452,-21.50415,16.039137,-2.2226489,11.883201,-25.513294,21.067997
-14.4,27,-16.579596,10.138115,-36.449936,3.2907443,-2.7259226,9.5544672,-21.452333,16.000488,-2.2172933,11.854567,-25.451817,21.017229
-14.3,27,-16.539549,10.113627,-36.361893,3.2827957,-2.7193382,9.5313883,-21.400517,15.96184,-2.2119374,11.825933,-25.390339,20.966463
-14.2,27,-16.499502,10.089139,-36.273849,3.274847,-2.712754,9.5083103,-21.3487,15.923191,-2.2065816,11.797297,-25.328861,20.915697
-14.1,27,-16.459455,10.064651,-36.185806,3.2668984,-2.7061696,9.4852314,-21.296883,15.884543,-2.2012258,11.768663,-25.267384,20.864931
-14,27,-16.419407,10.040163,-36.097763,3.2589498,-2.6995852,9.4621534,-21.245066,15.845895,-2.1958702,11.740029,-25.205904,20.814165
-13.9,27,-16.37936,10.015675,-36.00972,3.2510011,-2.6930008,9.4390745,-21.193247,15.807246,-2.1905143,11.711395,-25.144426,20.763399
-13.8,27,-16.339314,9.9911861,-35.921677,3.2430525,-2.6864166,9.4159966,-21.14143,15.768598,-2.1851585,11.682761,-25.082949,20.712633
-13.7,27,-16.299265,9.9666977,-35.833633,3.2351038,-2.6798322,9.3929176,-21.089613,15.729949,-2.1798027,11.654127,-25.021471,20.661865
-13.6,27,-16.259218,9.9422102,-35.74559,3.2271552,-2.6732478,9.3698397,-21.037796,15.6913,-2.1744471,11.625493,-24.959993,20.611099
-13.5,27,-16.219172,9.9177217,-35.657547,3.2192063,-2.6666634,9.3467607,-20.985979,15.652652,-2.1690912,11.596858,-24.898516,20.560333
