temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_manuf,se_manuf,lowerci_manuf,upperci_manuf,yhat_hr3,se_hr3,lowerci_hr3,upperci_hr3
-4.5,27,-11.83199596530254,7.430142611368912,-26.39480788358199,2.730815952976911,-1.658743400332491,9.02100656515748,-19.33959137234053,16.02210457167555,1.186888768699438,6.65995259135613,-11.86637844910278,14.24015598650165,-104.4320302471835,52.28105303029223,-206.9010112603849,-1.963049233982133
-4.4,27,-11.79443410917101,7.406554879553713,-26.31101492261568,2.722146704273662,-1.653477553289851,8.992368476377267,-19.27819590270261,15.97124079612291,1.183120871439774,6.638809904867635,-11.82870744230857,14.19494918518812,-104.1005003086024,52.11508159147527,-206.2441832792603,-1.956817337944585
-4.3,27,-11.75687225303948,7.382967147738506,-26.22722196164936,2.713477455570397,-1.648211706247211,8.963730387633319,-19.21680043313577,15.92037702064135,1.17935297418011,6.61766721838649,-11.79103643552877,14.14974238388899,-103.7689703700214,51.94911015265829,-205.5873552981357,-1.950585441907094
-4.2,27,-11.71931021779889,7.359379303435622,-26.14342860110218,2.704808165504394,-1.642945834095032,8.935092162287214,-19.15540467072408,15.86951300253402,1.175585058953695,6.596524431101802,-11.7533652491444,14.10453536705179,-103.4374388505809,51.78313792338653,-204.9305241868887,-1.944353514273033
-4.1,27,-11.68174836166736,7.335791571620416,-26.05963564013586,2.69613891680113,-1.637679987052392,8.90645407350109,-19.09400920107458,15.81864922696979,1.171817161694031,6.575381744613328,-11.71569424235024,14.0593285657383,-103.1059089119998,51.61716648456955,-204.2736962057641,-1.938121618235542
-4,27,-11.64418650553583,7.312203839744043,-25.97584267904965,2.687469667977982,-1.632414140009753,8.877815984757151,-19.03261373150776,15.76778545148825,1.168049264434368,6.554239058144763,-11.67802323559509,14.01412176446382,-102.7743789734187,51.45119504575261,-203.6168682246395,-1.931889722197965
-3.9,27,-11.6066246494043,7.288616107928842,-25.89204971808334,2.678800419274728,-1.627148292967113,8.84917789597694,-18.97121826186984,15.71692167593562,1.164281367174704,6.533096371674713,-11.64035222883703,13.96891496318644,-102.4428490348376,51.2852236074174,-202.9600402444591,-1.925657825216206
-3.8,27,-11.56906270371825,7.265028319900383,-25.80825655738653,2.67013114995004,-1.621882433369704,8.820539738965232,-18.90982264594588,15.66605777920648,1.160513460931664,6.511953634779622,-11.60268113223109,13.92370805409442,-102.1113183058268,51.11925177256273,-202.3032106966851,-1.919425914968599
-3.7,27,-11.53150084758671,7.241440588085169,-25.72446359642019,2.661461901246762,-1.616616586327064,8.791901650185016,-18.84842717630796,15.61519400365383,1.156745563672001,6.490810948311051,-11.56501012547593,13.87850125281993,-101.7797883672458,50.95328033374575,-201.6463827155604,-1.91319401893108
-3.6,27,-11.49393890190066,7.217852799995545,-25.64067043560351,2.652792631802196,-1.611350726729655,8.763263493106679,-18.78703156025341,15.5643301067941,1.152977657428961,6.469668211432933,-11.52733902890325,13.83329434376117,-101.448257638235,50.78730849937178,-200.9895531687286,-1.906962107741322
-3.5,27,-11.45637704576913,7.194265068125533,-25.55687747452977,2.644123382991513,-1.606084879687015,8.734625404356821,-18.72563609067499,15.51346633130096,1.149209760169297,6.448525524964372,-11.48966802214811,13.78808754248671,-101.1167276996539,50.62133706121295,-200.3327251888939,-1.900730210413869
-3.4,27,-11.4188151896376,7.170677336303966,-25.47308451355098,2.635454134275783,-1.600819032644375,8.705987315576609,-18.66424062103707,15.46260255574832,1.145441862909633,6.427382838475876,-11.4519970153539,13.74288074117317,-100.7851977610728,50.45536562239599,-199.6758972077693,-1.894498314376321
-3.3,27,-11.38125324395154,7.147089548275511,-25.38929135285418,2.626784864951103,-1.595553173046966,8.67734915853849,-18.60284500506135,15.41173865896742,1.141673956666594,6.406240101586655,-11.41432591875946,13.69767383209265,-100.453667032062,50.28939378802201,-199.0190676609375,-1.888266403186577
-3.2,27,-11.34369138782001,7.123501816460294,-25.30549839188784,2.618115616247819,-1.590287326004326,8.648711069784694,-18.54144953547521,15.36087488346655,1.13790605940693,6.385097415118101,-11.37665491200434,13.6524670308182,-100.1221370934809,50.12342234968791,-198.3622396807592,-1.882034506202658
-3.1,27,-11.30612944213395,7.099914028370675,-25.22170523107116,2.609446346803262,-1.585021466406917,8.620072912710297,-18.48005391942838,15.31001098661454,1.134138153163891,6.363954678241451,-11.33898381543454,13.60726012176232,-99.79060636447015,49.95745051483321,-197.7054101329852,-1.875802595955108
-3,27,-11.26856758600242,7.076326296555474,-25.13791227010485,2.600777098100009,-1.579755619364277,8.591434823962411,-18.41865844985382,15.25914721112526,1.130370255904227,6.342811991752979,-11.30131280864038,13.56205332044883,-99.45907642588908,49.79147907601625,-197.0485821518606,-1.86957069991756
-2.9,27,-11.23100572987089,7.052738564685574,-25.05411930903133,2.592107849289548,-1.574489772321637,8.562796735182193,-18.35726298021589,15.20828343557261,1.126602358644563,6.321669305264495,-11.26364180184619,13.51684651913532,-99.127546487308,49.62550763785634,-196.3917541720238,-1.86333880259221
-2.8,27,-11.19344378418483,7.029150776650632,-24.97032614832182,2.583438579952155,-1.569223912724228,8.534158578134216,-18.29586736422085,15.15741953877239,1.122834452401523,6.300526568387889,-11.22597070527647,13.47163961007952,-98.7960157582972,49.45953580348345,-195.7349246251941,-1.857106891400349
-2.7,27,-11.1558819280533,7.005563044835432,-24.8865331873555,2.574769331248902,-1.563958065681588,8.505520489384368,-18.23447189464244,15.10655576327927,1.119066555141859,6.27938388191928,-11.18829969852124,13.42643280880496,-98.46448581971613,49.29356436466647,-195.0780966440694,-1.850874995362844
-2.6,27,-11.11831998236724,6.981975256752281,-24.8027400265515,2.566100061817023,-1.558692206084179,8.476882332336386,-18.17307627864738,15.05569186647903,1.11529864889882,6.258241145030053,-11.15062860192679,13.38122589972443,-98.13295509070534,49.12759253077537,-194.421267098184,-1.844643083226671
-2.5,27,-11.08075812623571,6.958387524937076,-24.71894706558519,2.557430813113761,-1.553426359041539,8.448244243566025,-18.11168080902878,15.0048280909457,1.111530751639156,6.237098458541611,-11.11295759513269,13.336019098411,-97.80142515212425,48.9616210918234,-193.7644391167948,-1.838411187453744
-2.4,27,-11.04319627010418,6.934799793121753,-24.63515410461864,2.548761564410269,-1.548160511998899,8.419606154785813,-18.05028533939086,14.95396431539306,1.107762854379492,6.215955772072997,-11.07528658837744,13.29081229713643,-97.46989521354318,48.79564965265965,-193.1076111349905,-1.832179292095901
-2.3,27,-11.00563432441812,6.911212005086933,-24.55136094390936,2.540092295073116,-1.54289465240149,8.390967997733894,-17.98888972338809,14.90310041858511,1.103994948136453,6.194813035194909,-11.03761549180483,13.24560538807773,-97.13836448453239,48.62967781894381,-192.4507815894486,-1.82594737961621
-2.2,27,-10.96807246828659,6.887624273210557,-24.46756798282315,2.531423046249959,-1.53762880535885,8.362329908984039,-17.92749425380967,14.85223664309197,1.100227050876789,6.17367034872632,-10.99994448504963,13.20039858680321,-96.8068345459513,48.46370638012685,-191.7939536083239,-1.819715483578662
-2.1,27,-10.93051052260054,6.864036485127409,-24.38377482201916,2.522753776818085,-1.532362945761441,8.333691751936065,-17.86609863781463,14.80137274629175,1.09645914463375,6.152527611831263,-10.96227338844375,13.15519167771125,-96.47530381694051,48.29773454575395,-191.1371240614942,-1.813483572386815
