temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,tmax_rcspl_3kn_t0,tmax_rcspl_3kn_t1,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-15.2,27,-16.899975,10.334021,-37.154285,3.3543336,-15.2,0,-2.7785974,9.7390947,-21.866871,16.309677,-136.146,67.440491,-268.3269,-3.96506,-133.36739,68.133415,-266.90643,.17164704
-15.1,27,-16.859928,10.309533,-37.066242,3.346385,-15.1,0,-2.7720132,9.7160158,-21.815054,16.271029,-135.82336,67.280678,-267.69107,-3.9556642,-133.05136,67.971962,-266.27396,.1712403
-15,27,-16.819881,10.285045,-36.978199,3.3384364,-15,0,-2.7654288,9.6929379,-21.763237,16.23238,-135.50075,67.120865,-267.05524,-3.9462683,-132.73532,67.810509,-265.64148,.17083354
-14.9,27,-16.779833,10.260556,-36.890156,3.3304875,-14.9,0,-2.7588444,9.6698589,-21.71142,16.193731,-135.17813,66.961052,-266.41937,-3.9368722,-132.41928,67.649055,-265.009,.1704268
-14.8,27,-16.739786,10.236068,-36.802113,3.3225391,-14.8,0,-2.75226,9.646781,-21.659603,16.155083,-134.8555,66.801239,-265.78354,-3.9274766,-132.10324,67.487602,-264.37653,.17002006
-14.7,27,-16.699739,10.21158,-36.714069,3.3145902,-14.7,0,-2.7456758,9.623702,-21.607786,16.116434,-134.53288,66.641434,-265.14767,-3.9180806,-131.78722,67.326149,-263.74402,.1696133
-14.6,27,-16.659691,10.187092,-36.626026,3.3066416,-14.6,0,-2.7390914,9.6006241,-21.555969,16.077785,-134.21027,66.481621,-264.51184,-3.9086847,-131.47118,67.164696,-263.11154,.16920656
-14.5,27,-16.619644,10.162603,-36.537979,3.2986929,-14.5,0,-2.732507,9.5775452,-21.50415,16.039137,-133.88765,66.321808,-263.87601,-3.8992889,-131.15514,67.003242,-262.47906,.16879982
-14.4,27,-16.579596,10.138115,-36.449936,3.2907443,-14.4,0,-2.7259226,9.5544672,-21.452333,16.000488,-133.56502,66.161995,-263.24014,-3.8898931,-130.8391,66.841782,-261.84659,.16839306
-14.3,27,-16.539549,10.113627,-36.361893,3.2827957,-14.3,0,-2.7193382,9.5313883,-21.400517,15.96184,-133.2424,66.002182,-262.60431,-3.8804972,-130.52307,66.680336,-261.21411,.16798632
