year,cons,beta1,beta2
2079,0.0,0.25969033330277536,0.20512596855569357
2080,0.0,0.2511159638985801,0.20941909798501596
2081,0.0,0.23344376230329128,0.22195944474588924
2082,0.0,0.22551563235682429,0.22759917975224744
2083,0.0,0.1974812813541771,0.23653560586538525
2084,0.0,0.20165285890963675,0.24020952372724869
2085,0.0,0.20469125834317733,0.24177745060172984
2086,0.0,0.19716313790507245,0.2445092306148522
2087,0.0,0.18477875982683342,0.2513430110637533
2088,0.0,0.19237851588219954,0.25391565975435426
2089,0.0,0.1891791709915009,0.25678427367275847
2090,0.0,0.18340571833955246,0.263830396882476
2091,0.0,0.1716963102121421,0.2705920907610436
2092,0.0,0.17323419831283135,0.27238742585228576
2093,0.0,0.15475264677481848,0.2807478079048953
2094,0.0,0.156140011826252,0.28382341307363607
2095,0.0,0.15772372495569326,0.28465301765267165
2096,0.0,0.17332738927908303,0.285027268452922
2097,0.0,0.17183079066845994,0.2899916545845946
2098,0.0,0.18283944899754948,0.2876710484944525
2099,0.0,0.18030754811107563,0.29005341172991084
2100,0.0,0.18111493980582358,0.29135222987766674
2101,0.0,0.18192594254880298,0.2926568569716949
2102,0.0,0.18274057783434855,0.2939673275890564
2103,0.0,0.18355886715679498,0.29528367630681246
2104,0.0,0.18438081051614227,0.2966059031249629
2105,0.0,0.18520645090105983,0.2979340771976302
2106,0.0,0.1860357883115477,0.2992681985248143
2107,0.0,0.18686882274760583,0.30060826710651506
2108,0.0,0.1877055971979037,0.30195435209685506
2109,0.0,0.18854611166244126,0.30330645349583407
2110,0.0,0.18939038763555321,0.30466460588051325
2111,0.0,0.19023844661157435,0.30602884382795387
2112,0.0,0.1910903100848393,0.3073992019152169
2113,0.0,0.19194597805534808,0.3087756801423025
2114,0.0,0.19280549351177015,0.3101583476633329
2115,0.0,0.19366885645410548,0.3115472044783081
2116,0.0,0.19453608837668876,0.3129422851642892
2117,0.0,0.19540718927952003,0.31434358972127624
2118,0.0,0.19628220215126868,0.3157511873033915
2119,0.0,0.19716112699193472,0.3171650779106351
2120,0.0,0.19804398529585288,0.3185852961200679
2121,0.0,0.19893079855735787,0.32001187650875135
2122,0.0,0.1998215667764497,0.32144481907668526
2123,0.0,0.20071635443613242,0.3228842275550531
2124,0.0,0.2016151185477367,0.3243300327897326
2125,0.0,0.20251794508860133,0.3257823730889684
2126,0.0,0.20342479107005695,0.32724117929863805
2127,0.0,0.20433569948077288,0.32870652057286404
2128,0.0,0.20525069181508396,0.33017843148870735
2129,0.0,0.2061697680729901,0.33165691204616804
2130,0.0,0.20709297124316073,0.33314203139936843
2131,0.0,0.20802030132559587,0.3346337895483084
2132,0.0,0.20895177981463026,0.33613222107004925
2133,0.0,0.20988742820459855,0.3376373605416521
2134,0.0,0.21082726798983545,0.339149242540178
2135,0.0,0.21177132066467574,0.3406679016426881
2136,0.0,0.21271960772345408,0.34219337242624365
2137,0.0,0.21367212916617048,0.34372565489084456
2138,0.0,0.21462890648715963,0.345264783613552
2139,0.0,0.21559000416942573,0.3468108623255494
2140,0.0,0.2165553792242993,0.34836382187271453
2141,0.0,0.21752505314611503,0.34992369683210844
2142,0.0,0.2184991119122118,0.3514906255119758
2143,0.0,0.21947749103958547,0.35306450418113305
2144,0.0,0.22046027650557493,0.35464547114782485
2145,0.0,0.22144748980451484,0.35623356098911235
2146,0.0,0.22243910944207046,0.3578287391279344
2147,0.0,0.22343513541824186,0.35943100556429103
2148,0.0,0.22443565371036783,0.3610404986064267
2149,0.0,0.22544066431844842,0.3626572182543415
2150,0.0,0.22645014574814887,0.3642811299309743
2151,0.0,0.22746416248247334,0.3659123373675085
2152,0.0,0.22848271452142183,0.3675508405639441
2153,0.0,0.229505823359329,0.3691966740973423
2154,0.0,0.23053351049052967,0.3708498725447641
2155,0.0,0.23156577591502375,0.37251043590620964
2156,0.0,0.2326027056101501,0.37417850248992346
2157,0.0,0.233644278081574,0.3758540377188444
2158,0.0,0.23469053631796494,0.37753711074709473
2159,0.0,0.2357414158363187,0.37922761784349107
2160,0.0,0.2367970241083089,0.3809257318933391
2161,0.0,0.23785733963960076,0.3826314183195777
2162,0.0,0.2389224484075332,0.38434481543045146
2163,0.0,0.23999230742343677,0.386065854071838
2164,0.0,0.24106695967598085,0.38779460339785976
2165,0.0,0.2421464266595002,0.3895310979855778
2166,0.0,0.24323072986832953,0.3912753724120532
2167,0.0,0.24431989079680352,0.3930274612543472
2168,0.0,0.24541393093925692,0.3947873990895208
2169,0.0,0.2465128502956897,0.3965551859175742
2170,0.0,0.24761667036043658,0.39833085631556847
2171,0.0,0.24872545561650167,0.40011451401468706
2172,0.0,0.24983922755821975,0.40190619359199103
2173,0.0,0.25095794319692133,0.40370582589335813
2174,0.0,0.2520817314986147,0.4055136183811553
2175,0.0,0.253210506485961,0.4073294327471379
2176,0.0,0.2543443541362991,0.4091534072995504
2177,0.0,0.255483274449629,0.410985542038393
2178,0.0,0.25662728892028536,0.41282587154072675
2179,0.0,0.25777641904260296,0.4146744303836128
2180,0.0,0.2589307292995859,0.4165313222982345
2181,0.0,0.26009015520823003,0.41839644355340855
2182,0.0,0.2612548042402089,0.4202699670344407
2183,0.0,0.26242467639552264,0.42215189274133075
2184,0.0,0.26359977167417104,0.4240422206740789
2185,0.0,0.2647801330648237,0.4259410199868072
2186,0.0,0.2659657820618152,0.42784832525657707
2187,0.0,0.2671567401594803,0.42976417106044956
2188,0.0,0.26835302885215373,0.43168859197548576
2189,0.0,0.26955466963417024,0.4336216225787468
2190,0.0,0.27076168399986444,0.43556329744729394
2191,0.0,0.27197413643224055,0.4375137203123105
2192,0.0,0.2731920054369638,0.43947285659673535
2193,0.0,0.2744152910140342,0.44144070630056853
2194,0.0,0.27564407914079064,0.4434174077320546
2195,0.0,0.27687839131156783,0.44540299546825474
2196,0.0,0.27811820603203097,0.4473974349321077
2197,0.0,0.2793635877851843,0.44940082985479707
2198,0.0,0.28061453657102764,0.4514131802363227
2199,0.0,0.28187109537823063,0.45343455523080695
2200,0.0,0.2831332427124585,0.4554649202611887
2201,0.0,0.2844010860453848,0.45750444821277364
2202,0.0,0.2856746253770094,0.4595531390855617
2203,0.0,0.286953817718663,0.46161092372543067
2204,0.0,0.2882387490476845,0.46367794044062516
2205,0.0,0.2895294408584085,0.46575422380820625
2206,0.0,0.2908259146451697,0.4678398084052351
2207,0.0,0.292128191902303,0.4699347288087729
2208,0.0,0.29343627262980815,0.4720389850188195
2209,0.0,0.2947502642993588,0.47415274992068085
2210,0.0,0.29607010242795095,0.47627591978317335
2211,0.0,0.29739591598159265,0.47840870206866387
2212,0.0,0.2987276189829452,0.4805509584689079
2213,0.0,0.3000652329263432,0.4827027235609666
2214,0.0,0.30140886528346034,0.4848641702301456
2215,0.0,0.3027585805373006,0.4870354022076284
2216,0.0,0.3041142927105253,0.4892162811851704
2217,0.0,0.3054760662861385,0.49140691089395505
2218,0.0,0.30684392275847483,0.49360732591104345
2219,0.0,0.30821792661053854,0.4958176299676191
2220,0.0,0.3095980993366643,0.4980378576407431
2221,0.0,0.31098441944251737,0.5002679743533543
2222,0.0,0.31237699439977135,0.5025081529907585
2223,0.0,0.31377575972542204,0.5047582898217721
2224,0.0,0.31518080139680843,0.5070185231546398
2225,0.0,0.3165921624025998,0.5092889221434839
2226,0.0,0.31800979975412674,0.5115694176341821
2227,0.0,0.3194338209230629,0.51386018251204
2228,0.0,0.3208641829207387,0.5161611476229355
2229,0.0,0.3223009932188279,0.5184724858521742
2230,0.0,0.3237442088286609,0.5207941280456339
2231,0.0,0.32519387273890715,0.5231261433574367
2232,0.0,0.32665004943257087,0.5254686355187662
2233,0.0,0.32811276040398674,0.5278216391066836
2234,0.0,0.32958198415882,0.5301851195441276
2235,0.0,0.331057849663079,0.5325592842934651
2236,0.0,0.3325402279507554,0.5349439258923293
2237,0.0,0.33402929097652684,0.5373393209572094
2238,0.0,0.33552503874039347,0.5397454694881052
2239,0.0,0.33702747124235516,0.5421623714850169
2240,0.0,0.3385366099767467,0.5445900615250054
2241,0.0,0.3400525624152416,0.5470287124933768
2242,0.0,0.3415752425805011,0.5494781860818861
2243,0.0,0.3431047364498639,0.5519386205987782
2244,0.0,0.3446411300006689,0.5544101543522976
2245,0.0,0.34618435874991205,0.5568926836112608
2246,0.0,0.34773453016926686,0.5593863812609734
2247,0.0,0.34929164425873327,0.5618912473014357
2248,0.0,0.350855722512646,0.5644073163097086
2249,0.0,0.35242680791967457,0.5669346574399146
2250,0.0,0.35400494346848826,0.5694733398461757
2251,0.0,0.3555901076647525,0.572023328951431
2252,0.0,0.3571824079801407,0.5745847976409861
2253,0.0,0.35878182292031835,0.57715771133778
2254,0.0,0.36038841696828944,0.579742173772996
2255,0.0,0.36200216862971923,0.5823381503695729
2256,0.0,0.3636231423876119,0.5849457448586943
