city,country,Region_ID,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050,year_2051,year_2052,year_2053,year_2054,year_2055,year_2056,year_2057,year_2058,year_2059,year_2060,year_2061,year_2062,year_2063,year_2064,year_2065,year_2066,year_2067,year_2068,year_2069,year_2070,year_2071,year_2072,year_2073,year_2074,year_2075,year_2076,year_2077,year_2078,year_2079,year_2080,year_2081,year_2082,year_2083,year_2084,year_2085,year_2086,year_2087,year_2088,year_2089,year_2090,year_2091,year_2092,year_2093,year_2094,year_2095,year_2096,year_2097,year_2098,year_2099
Xi’an,China,CHN.23.241.1600,4078658.1691699997,4078658.1691699997,4078658.1691699997,4078658.1691699997,4078658.1691699997,4112616.04134,4112616.04134,4112616.04134,4112616.04134,4112616.04134,4117480.18176,4117480.18176,4117480.18176,4117480.18176,4117480.18176,4087940.0843800004,4087940.0843800004,4087940.0843800004,4087940.0843800004,4087940.0843800004,4028196.5435099998,4028196.5435099998,4028196.5435099998,4028196.5435099998,4028196.5435099998,3946080.90072,3946080.90072,3946080.90072,3946080.90072,3946080.90072,3848411.5579699995,3848411.5579699995,3848411.5579699995,3848411.5579699995,3848411.5579699995,3738773.40663,3738773.40663,3738773.40663,3738773.40663,3738773.40663,3624326.46399,3624326.46399,3624326.46399,3624326.46399,3624326.46399,3512368.2703699996,3512368.2703699996,3512368.2703699996,3512368.2703699996,3512368.2703699996,3406867.86445,3406867.86445,3406867.86445,3406867.86445,3406867.86445,3308345.07907,3308345.07907,3308345.07907,3308345.07907,3308345.07907,3220184.99744,3220184.99744,3220184.99744,3220184.99744,3220184.99744,3146938.15746,3146938.15746,3146938.15746,3146938.15746,3146938.15746,3091368.81232,3091368.81232,3091368.81232,3091368.81232,3091368.81232,3052036.16283,3052036.16283,3052036.16283,3052036.16283,3052036.16283
Porto Alegre,Brazil,BRA.21.4131.7953,1483225.73713,1483225.73713,1483225.73713,1483225.73713,1483225.73713,1545603.80049,1545603.80049,1545603.80049,1545603.80049,1545603.80049,1602860.12444,1602860.12444,1602860.12444,1602860.12444,1602860.12444,1651974.77737,1651974.77737,1651974.77737,1651974.77737,1651974.77737,1694684.93011,1694684.93011,1694684.93011,1694684.93011,1694684.93011,1732290.96308,1732290.96308,1732290.96308,1732290.96308,1732290.96308,1764237.69978,1764237.69978,1764237.69978,1764237.69978,1764237.69978,1789237.4854700002,1789237.4854700002,1789237.4854700002,1789237.4854700002,1789237.4854700002,1808081.72901,1808081.72901,1808081.72901,1808081.72901,1808081.72901,1822464.71388,1822464.71388,1822464.71388,1822464.71388,1822464.71388,1834322.6988,1834322.6988,1834322.6988,1834322.6988,1834322.6988,1844838.68632,1844838.68632,1844838.68632,1844838.68632,1844838.68632,1855709.37842,1855709.37842,1855709.37842,1855709.37842,1855709.37842,1868076.5247,1868076.5247,1868076.5247,1868076.5247,1868076.5247,1882739.9367,1882739.9367,1882739.9367,1882739.9367,1882739.9367,1900593.86056,1900593.86056,1900593.86056,1900593.86056,1900593.86056
Surat,India,IND.12.144.554,3581289.71505,3581289.71505,3581289.71505,3581289.71505,3581289.71505,3825049.20291,3825049.20291,3825049.20291,3825049.20291,3825049.20291,4067266.5499400003,4067266.5499400003,4067266.5499400003,4067266.5499400003,4067266.5499400003,4301399.91096,4301399.91096,4301399.91096,4301399.91096,4301399.91096,4534408.93628,4534408.93628,4534408.93628,4534408.93628,4534408.93628,4768352.01347,4768352.01347,4768352.01347,4768352.01347,4768352.01347,4997634.894280001,4997634.894280001,4997634.894280001,4997634.894280001,4997634.894280001,5210867.15373,5210867.15373,5210867.15373,5210867.15373,5210867.15373,5405713.92585,5405713.92585,5405713.92585,5405713.92585,5405713.92585,5584849.57668,5584849.57668,5584849.57668,5584849.57668,5584849.57668,5752883.2912099995,5752883.2912099995,5752883.2912099995,5752883.2912099995,5752883.2912099995,5914061.758909999,5914061.758909999,5914061.758909999,5914061.758909999,5914061.758909999,6068085.66805,6068085.66805,6068085.66805,6068085.66805,6068085.66805,6213656.06882,6213656.06882,6213656.06882,6213656.06882,6213656.06882,6353055.74639,6353055.74639,6353055.74639,6353055.74639,6353055.74639,6487416.05454,6487416.05454,6487416.05454,6487416.05454,6487416.05454
Hechi,China,CHN.7.68.394,1538370.8385100001,1538370.8385100001,1538370.8385100001,1538370.8385100001,1538370.8385100001,1551178.92345,1551178.92345,1551178.92345,1551178.92345,1551178.92345,1553013.55913,1553013.55913,1553013.55913,1553013.55913,1553013.55913,1541871.75157,1541871.75157,1541871.75157,1541871.75157,1541871.75157,1519337.9384299999,1519337.9384299999,1519337.9384299999,1519337.9384299999,1519337.9384299999,1488365.9116,1488365.9116,1488365.9116,1488365.9116,1488365.9116,1451527.40676,1451527.40676,1451527.40676,1451527.40676,1451527.40676,1410174.5579,1410174.5579,1410174.5579,1410174.5579,1410174.5579,1367007.9497200001,1367007.9497200001,1367007.9497200001,1367007.9497200001,1367007.9497200001,1324780.03724,1324780.03724,1324780.03724,1324780.03724,1324780.03724,1284987.8455,1284987.8455,1284987.8455,1284987.8455,1284987.8455,1247827.44282,1247827.44282,1247827.44282,1247827.44282,1247827.44282,1214575.6004,1214575.6004,1214575.6004,1214575.6004,1214575.6004,1186948.6706700001,1186948.6706700001,1186948.6706700001,1186948.6706700001,1186948.6706700001,1165989.26282,1165989.26282,1165989.26282,1165989.26282,1165989.26282,1151153.94236,1151153.94236,1151153.94236,1151153.94236,1151153.94236
Abidjan,Côte D’Ivoire,CIV.9.20,5665485.57195,5665485.57195,5665485.57195,5665485.57195,5665485.57195,6262092.344409999,6262092.344409999,6262092.344409999,6262092.344409999,6262092.344409999,6878447.21798,6878447.21798,6878447.21798,6878447.21798,6878447.21798,7482504.125860001,7482504.125860001,7482504.125860001,7482504.125860001,7482504.125860001,8081041.8683899995,8081041.8683899995,8081041.8683899995,8081041.8683899995,8081041.8683899995,8674180.08555,8674180.08555,8674180.08555,8674180.08555,8674180.08555,9258944.60877,9258944.60877,9258944.60877,9258944.60877,9258944.60877,9813004.13356,9813004.13356,9813004.13356,9813004.13356,9813004.13356,10329189.2585,10329189.2585,10329189.2585,10329189.2585,10329189.2585,10822723.575,10822723.575,10822723.575,10822723.575,10822723.575,11285144.4301,11285144.4301,11285144.4301,11285144.4301,11285144.4301,11725677.6047,11725677.6047,11725677.6047,11725677.6047,11725677.6047,12154445.6858,12154445.6858,12154445.6858,12154445.6858,12154445.6858,12557456.6692,12557456.6692,12557456.6692,12557456.6692,12557456.6692,12937813.8992,12937813.8992,12937813.8992,12937813.8992,12937813.8992,13297656.2804,13297656.2804,13297656.2804,13297656.2804,13297656.2804
Brasília,Brazil,BRA.7.804.1862,828294.272549,828294.272549,828294.272549,828294.272549,828294.272549,863128.7494059999,863128.7494059999,863128.7494059999,863128.7494059999,863128.7494059999,895103.036268,895103.036268,895103.036268,895103.036268,895103.036268,922530.679073,922530.679073,922530.679073,922530.679073,922530.679073,946381.7854899999,946381.7854899999,946381.7854899999,946381.7854899999,946381.7854899999,967382.5414389999,967382.5414389999,967382.5414389999,967382.5414389999,967382.5414389999,985222.913522,985222.913522,985222.913522,985222.913522,985222.913522,999183.822358,999183.822358,999183.822358,999183.822358,999183.822358,1009707.22322,1009707.22322,1009707.22322,1009707.22322,1009707.22322,1017739.27369,1017739.27369,1017739.27369,1017739.27369,1017739.27369,1024361.2603200001,1024361.2603200001,1024361.2603200001,1024361.2603200001,1024361.2603200001,1030233.8203799999,1030233.8203799999,1030233.8203799999,1030233.8203799999,1030233.8203799999,1036304.46208,1036304.46208,1036304.46208,1036304.46208,1036304.46208,1043210.7853600001,1043210.7853600001,1043210.7853600001,1043210.7853600001,1043210.7853600001,1051399.4378799999,1051399.4378799999,1051399.4378799999,1051399.4378799999,1051399.4378799999,1061369.8034899998,1061369.8034899998,1061369.8034899998,1061369.8034899998,1061369.8034899998
Ankara,Turkey,TUR.7.70,1333760.11045,1333760.11045,1333760.11045,1333760.11045,1333760.11045,1414488.0839200001,1414488.0839200001,1414488.0839200001,1414488.0839200001,1414488.0839200001,1492036.4683299998,1492036.4683299998,1492036.4683299998,1492036.4683299998,1492036.4683299998,1563247.17164,1563247.17164,1563247.17164,1563247.17164,1563247.17164,1630553.80145,1630553.80145,1630553.80145,1630553.80145,1630553.80145,1697213.06733,1697213.06733,1697213.06733,1697213.06733,1697213.06733,1763304.5101599998,1763304.5101599998,1763304.5101599998,1763304.5101599998,1763304.5101599998,1826475.0799200002,1826475.0799200002,1826475.0799200002,1826475.0799200002,1826475.0799200002,1886681.49398,1886681.49398,1886681.49398,1886681.49398,1886681.49398,1944482.06742,1944482.06742,1944482.06742,1944482.06742,1944482.06742,2002468.02213,2002468.02213,2002468.02213,2002468.02213,2002468.02213,2062927.19098,2062927.19098,2062927.19098,2062927.19098,2062927.19098,2126755.71532,2126755.71532,2126755.71532,2126755.71532,2126755.71532,2192994.2749400004,2192994.2749400004,2192994.2749400004,2192994.2749400004,2192994.2749400004,2261151.3860299997,2261151.3860299997,2261151.3860299997,2261151.3860299997,2261151.3860299997,2330855.0151299997,2330855.0151299997,2330855.0151299997,2330855.0151299997,2330855.0151299997
Monterrey,Mexico,MEX.19.958,2211412.28453,2211412.28453,2211412.28453,2211412.28453,2211412.28453,2355283.80797,2355283.80797,2355283.80797,2355283.80797,2355283.80797,2498472.13716,2498472.13716,2498472.13716,2498472.13716,2498472.13716,2633186.54072,2633186.54072,2633186.54072,2633186.54072,2633186.54072,2761836.85835,2761836.85835,2761836.85835,2761836.85835,2761836.85835,2886594.92645,2886594.92645,2886594.92645,2886594.92645,2886594.92645,3007355.7428,3007355.7428,3007355.7428,3007355.7428,3007355.7428,3121558.95105,3121558.95105,3121558.95105,3121558.95105,3121558.95105,3229358.5664,3229358.5664,3229358.5664,3229358.5664,3229358.5664,3335208.78736,3335208.78736,3335208.78736,3335208.78736,3335208.78736,3441084.9587,3441084.9587,3441084.9587,3441084.9587,3441084.9587,3547295.48402,3547295.48402,3547295.48402,3547295.48402,3547295.48402,3652833.24056,3652833.24056,3652833.24056,3652833.24056,3652833.24056,3757654.1274800003,3757654.1274800003,3757654.1274800003,3757654.1274800003,3757654.1274800003,3862871.16836,3862871.16836,3862871.16836,3862871.16836,3862871.16836,3970261.4793599998,3970261.4793599998,3970261.4793599998,3970261.4793599998,3970261.4793599998
Yokohama,Japan,JPN.19.R13854ccb66d0489f,679971.429428,679971.429428,679971.429428,679971.429428,679971.429428,660816.4780829999,660816.4780829999,660816.4780829999,660816.4780829999,660816.4780829999,637276.31247,637276.31247,637276.31247,637276.31247,637276.31247,611446.216456,611446.216456,611446.216456,611446.216456,611446.216456,584128.8681600001,584128.8681600001,584128.8681600001,584128.8681600001,584128.8681600001,555915.351213,555915.351213,555915.351213,555915.351213,555915.351213,527052.386105,527052.386105,527052.386105,527052.386105,527052.386105,497963.83761899994,497963.83761899994,497963.83761899994,497963.83761899994,497963.83761899994,468050.582743,468050.582743,468050.582743,468050.582743,468050.582743,437491.03618999996,437491.03618999996,437491.03618999996,437491.03618999996,437491.03618999996,407228.9547,407228.9547,407228.9547,407228.9547,407228.9547,378085.112565,378085.112565,378085.112565,378085.112565,378085.112565,350790.40684899996,350790.40684899996,350790.40684899996,350790.40684899996,350790.40684899996,325111.067887,325111.067887,325111.067887,325111.067887,325111.067887,300861.478208,300861.478208,300861.478208,300861.478208,300861.478208,277755.486719,277755.486719,277755.486719,277755.486719,277755.486719
Nanjing,China,CHN.15.166.1134,4077703.9454900003,4077703.9454900003,4077703.9454900003,4077703.9454900003,4077703.9454900003,4111653.87304,4111653.87304,4111653.87304,4111653.87304,4111653.87304,4116516.87547,4116516.87547,4116516.87547,4116516.87547,4116516.87547,4086983.68915,4086983.68915,4086983.68915,4086983.68915,4086983.68915,4027254.1256,4027254.1256,4027254.1256,4027254.1256,4027254.1256,3945157.6942,3945157.6942,3945157.6942,3945157.6942,3945157.6942,3847511.2017,3847511.2017,3847511.2017,3847511.2017,3847511.2017,3737898.70079,3737898.70079,3737898.70079,3737898.70079,3737898.70079,3623478.53362,3623478.53362,3623478.53362,3623478.53362,3623478.53362,3511546.53321,3511546.53321,3511546.53321,3511546.53321,3511546.53321,3406070.80967,3406070.80967,3406070.80967,3406070.80967,3406070.80967,3307571.0742200003,3307571.0742200003,3307571.0742200003,3307571.0742200003,3307571.0742200003,3219431.6181,3219431.6181,3219431.6181,3219431.6181,3219431.6181,3146201.91462,3146201.91462,3146201.91462,3146201.91462,3146201.91462,3090645.57022,3090645.57022,3090645.57022,3090645.57022,3090645.57022,3051322.1228,3051322.1228,3051322.1228,3051322.1228,3051322.1228
Montréal,Canada,CAN.11.195.Rd6851092cdcff9c8,1234446.27578,1234446.27578,1234446.27578,1234446.27578,1234446.27578,1259122.55166,1259122.55166,1259122.55166,1259122.55166,1259122.55166,1272926.10532,1272926.10532,1272926.10532,1272926.10532,1272926.10532,1278590.2199600001,1278590.2199600001,1278590.2199600001,1278590.2199600001,1278590.2199600001,1278023.03792,1278023.03792,1278023.03792,1278023.03792,1278023.03792,1272091.6689,1272091.6689,1272091.6689,1272091.6689,1272091.6689,1260947.3447200002,1260947.3447200002,1260947.3447200002,1260947.3447200002,1260947.3447200002,1245630.49079,1245630.49079,1245630.49079,1245630.49079,1245630.49079,1226908.83059,1226908.83059,1226908.83059,1226908.83059,1226908.83059,1203759.83932,1203759.83932,1203759.83932,1203759.83932,1203759.83932,1176420.74347,1176420.74347,1176420.74347,1176420.74347,1176420.74347,1144780.97927,1144780.97927,1144780.97927,1144780.97927,1144780.97927,1108940.23339,1108940.23339,1108940.23339,1108940.23339,1108940.23339,1069425.66985,1069425.66985,1069425.66985,1069425.66985,1069425.66985,1027138.96806,1027138.96806,1027138.96806,1027138.96806,1027138.96806,983119.047823,983119.047823,983119.047823,983119.047823,983119.047823
