year,iso,adm1_id,getal_admin_name,gdppc_adm0_PWT,gdppc_adm1_PWT_downscaled,adm0_pop
2001,CHN,20200000,Guangxi,3957.9678,2237.272415060318,1271850000
2002,CHN,20200000,Guangxi,4360.1079,2436.269970332919,1280400000
2003,CHN,20200000,Guangxi,4727.0625,2615.5994547157266,1288400000
2004,CHN,20200000,Guangxi,5199.8809,2851.9349183385025,1296075000
2005,CHN,20200000,Guangxi,5637.0957,3068.928605733353,1303720000
2006,CHN,20200000,Guangxi,6272.9785,3575.8476134819653,1311020000
2007,CHN,20200000,Guangxi,6990.625,4128.829067507078,1317885000
2008,CHN,20200000,Guangxi,7309.3281,4440.502507737365,1324655000
2009,CHN,20200000,Guangxi,7862.9229,4887.223465111111,1331260000
2010,CHN,20200000,Guangxi,8483.165,5374.57974544788,1337705000
2011,CHN,20200000,Guangxi,9098.6035,5764.412437734299,1344130000
1989,CHN,21000000,Shandong,2081.6675,2304.3438855187796,1118650000
1990,CHN,21000000,Shandong,2057.0237,2292.2127707340737,1135185000
1991,CHN,21000000,Shandong,2151.9565,2435.366486394542,1150780000
1992,CHN,21000000,Shandong,2324.4766,2665.9436105222135,1164970000
1993,CHN,21000000,Shandong,2543.9551,2949.400385814091,1178440000
1994,CHN,21000000,Shandong,2727.0481,3191.177271112872,1191835000
1995,CHN,21000000,Shandong,3065.0068,3615.8003761760665,1204855000
1996,CHN,21000000,Shandong,3152.4414,3708.112344785313,1217550000
1997,CHN,21000000,Shandong,3350.0996,3931.0370256930464,1230075000
1998,CHN,21000000,Shandong,3342.2668,3913.8401903876656,1241935000
1999,CHN,21000000,Shandong,3519.6196,4112.21261907332,1252735000
2000,CHN,21000000,Shandong,3721.8508,4339.570132239286,1262645000
2001,CHN,21000000,Shandong,3957.9678,4734.261277760997,1271850000
2002,CHN,21000000,Shandong,4360.1079,5325.61014997939,1280400000
2003,CHN,21000000,Shandong,4727.0625,5875.090814385231,1288400000
2004,CHN,21000000,Shandong,5199.8809,6555.403818857855,1296075000
2005,CHN,21000000,Shandong,5637.0957,7195.452156421466,1303720000
2006,CHN,21000000,Shandong,6272.9785,7953.811136280104,1311020000
2007,CHN,21000000,Shandong,6990.625,8816.135239432346,1317885000
2008,CHN,21000000,Shandong,7309.3281,9177.10961067234,1324655000
2009,CHN,21000000,Shandong,7862.9229,9834.280586140794,1331260000
2010,CHN,21000000,Shandong,8483.165,10577.059027538411,1337705000
2011,CHN,21000000,Shandong,9098.6035,11344.241503202464,1344130000
1989,CHN,20100000,Sichuan w/ Chongqing,2081.6675,1888.5009525393702,1118650000
