city,country,Region_ID,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050,year_2051,year_2052,year_2053,year_2054,year_2055,year_2056,year_2057,year_2058,year_2059,year_2060,year_2061,year_2062,year_2063,year_2064,year_2065,year_2066,year_2067,year_2068,year_2069,year_2070,year_2071,year_2072,year_2073,year_2074,year_2075,year_2076,year_2077,year_2078,year_2079,year_2080,year_2081,year_2082,year_2083,year_2084,year_2085,year_2086,year_2087,year_2088,year_2089,year_2090,year_2091,year_2092,year_2093,year_2094,year_2095,year_2096,year_2097,year_2098,year_2099
San Jose,United States,USA.5.226,53717.3699840866,54327.8248545747,54945.2170554571,55569.6254241063,56201.12969356519,56839.81050299099,57468.1636897426,58103.463200147096,58745.78582463849,59395.20920232849,60051.8118306853,60681.471860405305,61317.7340515273,61960.6676294861,62610.3425457537,63266.8294850984,63929.1901097429,64598.4851992209,65274.787352410305,65958.1699287386,66648.707055315,67349.88386721151,68058.4374000421,68774.44526069821,69497.9858722741,70229.1384829817,70957.4020873503,71693.21765505201,72436.6634986391,73187.8187425365,73946.763331957,74711.9760367822,75485.10728265,76266.2390120436,77055.4540148508,77852.8359384241,78657.6836176812,79470.85186454111,80292.42669753451,81122.4950246227,81961.144651985,82813.8025312304,83675.33077797371,84545.82167203611,85425.3684538596,86314.065333549,87224.0655289693,88143.6597617026,89072.9491804052,90012.0360008209,90961.0235155871,91924.51966766731,92898.22156279949,93882.2373043658,94876.6761409025,95881.64847794449,96895.20083664029,97919.46732461869,98954.5611997307,100000.59691656,101057.690140175,102118.197499406,103189.83390638401,104272.71615032,105366.962245684,106472.691445705,107583.93182197801,108706.770056261,109841.32719389,110987.72554353699,112146.088690076,113313.32444042401,114492.708980842,115684.36875819901,116888.431535042,118105.02640411699,119331.926893794,120571.572690445,121824.096194928,123089.631183761
Minsk,Belarus,BLR.5.86,35810.047675946,36492.0133282655,37186.9663173548,37895.1539738067,38616.8283382228,39352.2462512516,39727.7175225087,40106.7712747456,40489.4416894003,40875.7632743153,41265.7708662849,41546.3294411848,41828.7954834606,42113.181961682,42399.5019325472,42687.768541518904,42988.755416377404,43291.864517376496,43597.1108081918,43904.5093576923,44214.0753414687,44565.54516176599,44919.8089121725,45276.8888023448,45636.8072185778,45999.586725077694,46389.435244353204,46782.58774688651,47179.0722340758,47578.9169448319,47982.150357106395,48397.8523608051,48817.155873617696,49240.0920980774,49666.6925067049,50096.988844682804,50552.2918721383,51011.732889558494,51475.349505057595,51943.1796683095,52415.2616736043,52927.838795847696,53445.4284907019,53968.0797769468,54495.842152717305,55028.7656000884,55594.859628367005,56166.777200807,56744.5782255997,57328.323227322995,57918.0733530542,58531.84280457401,59152.1164942987,59778.9633487666,60412.453025137904,61052.655918963,61709.3889692449,62373.186385540495,63044.1241578728,63722.2790938683,64407.7288272899,65107.9465770658,65815.776843407,66531.3023867825,67254.6068674078,67985.77485517769,68733.6416538533,69489.73524328071,70254.1461211088,71026.96578024719,71808.2867202004,72614.0483839792,73428.851509144,74252.7975501246,75085.989099756,75928.5299018859,76794.78261170769,77670.9182173354,78557.04947077531,79453.2904102954
Kyoto,Japan,JPN.22.962,37705.1058574415,37766.7043294739,37828.4034343846,37890.2033364585,37952.1042004899,38014.1061914004,38219.7875066158,38426.5816931631,38634.4947721458,38843.5327976519,39053.7018563714,39351.1271984793,39650.8176735374,39952.790532728905,40257.0631579009,40563.6530638563,40918.4537393194,41276.357772357704,41637.3923072865,42001.5847259336,42368.9626494223,42767.4956725897,43169.7773967138,43575.8430829278,43985.728324373,44399.4690483642,44846.3700990862,45297.769414165305,45753.7122706347,46214.24440132231,46679.411999563396,47179.4340586041,47684.812270377806,48195.6040090136,48711.8672634993,49233.6606436663,49803.0489078894,50379.0221587428,50961.6565518079,51551.02912305429,52147.217799920196,52775.3221168953,53410.9918429636,54054.3181020942,54705.3931159083,55364.3102170512,56028.8628571883,56701.39230052679,57381.994294954005,58070.765737332404,58767.8046877631,59451.025518520895,60142.18931591309,60841.388422673204,61548.7162557539,62264.2673177888,62962.9420534022,63669.456701289295,64383.8992338245,65106.3586108741,65836.9247903668,66582.981436373,67337.4923126487,68100.55322146071,68872.2610508841,69652.7137869009,70466.4052798746,71289.6024159951,72122.41624150821,72964.9590996184,73817.3446460264,74705.7975515005,75604.9437237363,76514.91186514389,77435.8322271233,78367.8366287849,79320.7657125067,80285.2821243438,81261.5267627556,82249.6422393484
Barranquilla,Colombia,COL.4.141,11930.136226979399,12073.976836411599,12219.5517194908,12366.881786215,12515.9881986639,12666.8923740935,12788.7389715162,12911.757647666202,13035.9596767889,13161.356442169099,13287.9594362329,13419.9440830954,13553.239687179499,13687.8592699063,13823.8159817054,13961.1231039246,14116.40511163,14273.414236836,14432.1696896636,14592.690893294599,14754.9974872829,14938.693879351002,15124.6772500524,15312.9760718624,15503.6191715515,15696.6357347699,15887.502507905701,16080.690168450601,16276.226937740801,16474.1413804551,16674.462408308,16851.130518320802,17029.6704500986,17210.1020358799,17392.44531778,17576.7205505934,17728.7757643432,17882.1463991505,18036.8438344796,18192.8795487475,18350.2651190697,18484.9393838191,18620.602035281,18757.260327332,18894.921566955,19033.5931150028,19160.630775461497,19288.5163351402,19417.2554532063,19546.8538265237,19677.3171902894,19800.9499686998,19925.3595330203,20050.5507640395,20176.528572600702,20303.2979011313,20423.9870394467,20545.3935917629,20667.5218223542,20790.3760213478,20913.9605040863,21031.0356606289,21148.7661973387,21267.155782862,21386.2081064763,21505.9268782176,21622.6302001901,21739.9668204078,21857.940175480602,21976.5537206119,22095.810929980602,22214.8904008392,22334.6116187692,22454.9780420304,22575.9931481129,22697.6604327182,22823.8251812696,22950.6912155063,23078.2624334368,23206.542754846803
Orlando,United States,USA.10.365,61116.1205935817,61810.6563367108,62513.084922019196,63223.4960454713,63941.980422106906,64668.6297980127,65383.529078100706,66106.3314323853,66837.1242278065,67575.9957972738,68323.0354501093,69039.4215710382,69763.3192006006,70494.8070992478,71233.9648528035,71980.87288201481,72734.46360748321,73495.9439147769,74265.3964022454,75042.9045333439,75828.5526451671,76626.30589708389,77432.4519012033,78247.0789533754,79070.2762782324,79902.13403937769,80730.7048775468,81567.8678470738,82413.7120467669,83268.32749963179,84131.80516178701,85002.41427688599,85882.0325916461,86770.7533346657,87668.67069936599,88575.8798536709,89491.58305796461,90416.7528615177,91351.4871307281,92295.8847434277,93250.04560021759,94220.1441323641,95200.3347901953,96190.7225637042,97191.4135358236,98202.5148924871,99237.85377260631,100284.108122775,101341.39302338801,102409.824768509,103489.52087822699,104585.72396928401,105693.538489427,106813.08743133901,107944.495090903,109087.88708057301,110241.04085933,111406.38447581,112584.04678703,113774.158012551,114976.84974798,116183.425864424,117402.66388551699,118634.696686502,119879.658536755,121137.68511468,122401.98194944301,123679.474070833,124970.29919617,126274.59648032801,127592.506529875,128920.51125063,130262.33807120801,131618.130856749,132988.034964962,134372.19727160002,135768.08464175698,137178.472790299,138603.512354975,140043.355537424
Shuyangzha,China,CHN.15.168.1142,21642.889702810102,22679.737894499598,23766.2584816142,24904.8311247881,26097.9494871368,27348.226696283302,28221.2820082736,29122.2084355004,30051.8957258847,31011.262031052796,32001.2548138504,32750.4342117047,33517.1526022445,34301.8205894825,35104.8583905149,35926.6960599172,36563.9374979101,37212.4818580271,37872.5296233157,38544.2848327627,39227.955144461404,39766.2736484924,40311.9794048807,40865.1737879515,41425.959562720294,41994.440904505296,42438.158142137596,42886.5637380042,43339.7072299742,43797.6386788265,44260.408674871906,44630.086501117694,45002.85200108401,45378.7309639271,45757.749394410996,46139.93351418139,46435.7136356797,46733.3898561693,47032.974330436904,47334.47929159139,47637.91705080849,47879.2973505628,48121.900719217,48365.733353876,48610.801483227995,48857.1113675449,49065.28040309429,49274.336399707805,49484.2831361918,49695.1244080358,49906.86402652111,50108.84147539,50311.6363446905,50515.2519426612,50719.6915907851,50924.958624044804,51127.1011386939,51330.0460417104,51533.796518183,51738.3557658079,51943.726994762306,52144.0327818202,52345.1109893959,52546.9645962666,52749.596592544,52953.009979929004,53150.9022278869,53349.5340247462,53548.9081344403,53749.027330836296,53949.8943986261,54154.954976256,54360.7949779051,54567.417366049696,54774.8251145003,54983.02120840191,55203.4595071612,55424.7815886457,55646.9909960596,55870.0912869977
Valencia,Venezuela,VEN.7.286,16805.0019313482,17391.9407265298,17999.3792010193,18628.033335591397,19278.644117340402,19951.9784138286,20453.452539828002,20967.5307442442,21494.5298185799,22034.7745168045,22588.5977549155,22978.003459267402,23374.122143560402,23777.069533102404,24186.963348052002,24603.923338313798,24887.3280920194,25173.9972949152,25463.9685490025,25757.279889536097,26053.969789991203,26259.9993350996,26467.6581203586,26676.9590293939,26887.9150479682,27100.5392642354,27240.0590358702,27380.297087121402,27521.2571160537,27662.942839325402,27805.3579932071,27918.044637608502,28031.1879666506,28144.7898311487,28258.8520894319,28373.376607215898,28499.442826244398,28626.069172063,28753.2581335235,28881.012210302597,29009.333913411698,29166.7092347787,29324.9383154956,29484.025787376402,29643.9763069416,29804.794556436802,29985.429025352798,30167.1582448539,30349.988849501202,30533.9275144812,30718.9809552238,30908.8530282694,31099.8986885083,31292.1251899447,31485.5398310286,31680.1499559298,31869.327638287203,32059.634993222797,32251.078766603998,32443.665744414102,32637.4027532617,32822.5425868244,33008.7326497767,33195.978899545895,33384.287327689904,33573.6639592602,33762.535413758196,33952.4693804221,34143.4718365462,34335.5487929184,34528.7062943301,34727.1704055115,34926.775248825696,35127.5273810214,35329.4333962888,35532.4999271512,35747.249702376495,35963.2973730311,36180.6507831438,36399.317824245896
Hamburg,Germany,DEU.6.15.161,47518.708226767805,47594.861735633,47671.1372880229,47747.535079805995,47824.0553065958,47900.6981647699,48106.3641609958,48312.913202830096,48520.3490818145,48728.675605537,48937.8965980141,49272.9858373559,49610.369511189005,49950.063330112,50292.083112082,50636.4447836879,51083.3430585052,51534.1854898283,51989.00688758,52447.8423683482,52910.727358952005,53459.322582568304,54013.6058155962,54573.6360331144,55139.4728218762,55711.176386167805,56337.6644302887,56971.1975108458,57611.854851344295,58259.7165661213,58914.863670405706,59596.9848108258,60287.0036059525,60985.0114954621,61691.1009778403,62405.36562235349,63119.8890404729,63842.5935452976,64573.5728082307,65312.9215726023,66060.73566678651,66809.87834837679,67567.5164659343,68333.7463596634,69108.6654620715,69892.3723107046,70692.5455518759,71501.8796957623,72320.4796221967,73148.45141181951,73985.90235996031,74845.4062264572,75714.8950613594,76594.484861363,77484.2929706818,78384.4380965847,79305.5205132193,80237.4264152859,81180.2829875337,82134.2189097041,83099.3643733413,84069.1817548837,85050.3174631205,86042.9035895695,87047.0737669692,88062.9631878733,89076.87091584891,90102.4522106631,91139.84147515599,92189.1746596289,93250.58927980131,94316.66444147119,95394.9273679459,96485.5173941771,97588.57544816981,98704.2440691942,99839.6542871286,100988.125304925,102149.807362739,103324.85242940801
Vadodara,India,IND.12.147.592,11057.6855610897,11697.922664561298,12375.229328957801,13091.7518721441,13849.760883390702,14651.6584181462,15208.4009502282,15786.2989200227,16386.156204648898,17008.8072272569,17655.1181179732,18080.8869659552,18516.9236077608,18963.4756601442,19420.7967118052,19889.1464666607,20177.988237543,20471.0247367749,20768.3168828361,21069.9264785423,21375.9162245452,21557.8657226548,21741.3639552235,21926.4241050284,22113.0594669169,22301.2834489527,22404.6343398492,22508.4641899929,22612.7752191396,22717.569657106,22822.8497442789,22891.1369450064,22959.6284646417,23028.324914732202,23097.226908225897,23166.3350602357,23226.792481499102,23287.407679134503,23348.1810648728,23409.1130514639,23470.204052931098,23537.4009921252,23604.7903212366,23672.372590937797,23740.1483536845,23808.118163460498,23884.151857216602,23960.428372519502,24036.948484692002,24113.7129718582,24190.722614307797,24272.4896590763,24354.5330845848,24436.8538249644,24519.4528176578,24602.3310031638,24686.081648475298,24770.1173955055,24854.4392149358,24939.0480807588,25023.9449698964,25108.9264081704,25194.1964437372,25279.756056957,25365.6062308645,25451.7479524425,25539.400205628797,25627.354320899904,25715.611337835202,25804.172299579703,25893.0382528445,25983.934621213302,26075.150077125,26166.6857409003,26258.5427365533,26350.7221921733,26446.9465288712,26543.5222457834,26640.4506259873,26737.732957527
Manaus,Brazil,BRA.4.179.223,13517.2589296643,13739.162483126001,13964.708874676899,14193.9579065508,14426.970362106102,14663.8080231454,14855.389041876599,15049.4730451696,15246.0927343705,15445.2812379657,15647.0721170586,15842.8416905948,16041.060650441,16241.7596424719,16444.9696957667,16650.7222275748,16873.292617589,17098.8381083749,17327.3984684564,17559.0139972902,17793.725533544,18045.9793206722,18301.809198226798,18561.265863113,18824.400730377,19091.265944541003,19381.901576511398,19676.9616960768,19976.513659518,20280.625848176798,20589.3676847573,20904.0214010831,21223.483762466298,21547.8282561965,21877.1294928132,22211.4632227891,22531.96031526,22857.0819741564,23186.8949289296,23521.4668719437,23860.866472357597,24161.675950138502,24466.2776767156,24774.719460254903,25087.0497116823,25403.31745207,25681.486956252298,25962.7024512671,26246.9972911423,26534.4051950258,26824.9602515156,27103.034425272403,27383.9911847594,27667.8604114813,27954.672296918903,28244.4573452039,28522.8851401986,28804.0576166512,29088.0018310037,29374.745106374303,29664.3150353593,29940.5006131033,30219.257579292404,30500.6098741777,30784.5816615142,31071.197329707004,31346.7191860705,31624.6842148285,31905.114080823198,32188.030640562596,32473.455945022,32757.8990277809,33044.8336183401,33334.2815404779,33626.2648090015,33920.8056315299,34229.0297969839,34540.054666432,34853.905688744104,35170.6085439353
