region,decile,name
ARE.4,10,Fujayrah
ARE.5,10,Neutral Zone
ARE.6,10,Ras Al Khaymah
ARE.7,10,Sharjah
ARE.8,10,Umm Al Qaywayn
ARG.10.262,8,Capital
ARG.10.263,8,Cochinoca
ARG.10.264,9,El Carmen
ARG.10.265,8,Humahuaca
ARG.10.266,8,Ledesma
ARG.10.267,8,Palpal
ARG.10.268,8,Rinconada
ARG.10.269,8,San Antonio
ARG.10.270,8,San Pedro
ARG.10.271,8,Santa Brbara
ARG.10.272,8,Santa Catalina
ARG.10.273,8,Susques
ARG.10.274,8,Tilcara
ARG.10.275,8,Tumbaya
ARG.10.276,8,Valle Grande
ARG.10.277,8,Yavi
ARG.1.1,8,Adolfo Alsina
ARG.1.10,8,Baha Blanca
ARG.1.103,8,Salliquel
ARG.1.107,8,San Cayetano
ARG.1.108,8,San Fernando (1)
ARG.1.109,9,San Fernando (2)
ARG.1.11,8,Balcarce
ARG.1.110,9,San Isidro
ARG.1.111,9,San Nicols
ARG.1.112,8,San Pedro
ARG.1.113,9,San Vicente
ARG.1.115,8,Tandil
ARG.1.117,9,Tigre
ARG.1.118,8,Tordillo
ARG.1.119,8,Tornquist
ARG.1.121,8,Tres Arroyos
ARG.1.122,9,Tres de Febrero
ARG.1.125,9,Vicente Lpez
ARG.1.126,9,Villa Gesell
ARG.1.127,8,Villarino
ARG.11.279,8,Caleu Caleu
ARG.11.280,8,Capital
ARG.11.282,8,Chalileo
ARG.11.284,8,Chical C
ARG.11.286,8,Curac
ARG.11.288,8,Hucal
ARG.11.289,8,Lihuel Calel
ARG.11.290,8,Limay Mahuida
ARG.11.291,8,Loventu
ARG.11.292,8,Marac
ARG.11.293,8,Pueln
ARG.11.296,8,Realic
ARG.11.299,8,Utracn
ARG.1.14,9,Berazategui
ARG.1.18,8,Brandsen
ARG.11.Rd8ee571614dae95d,8,Agglomeration
ARG.1.20,9,Cauelas
ARG.12.300,8,Arauco
ARG.12.301,8,Capital
