variable,batch,rcp,gcm,model,year,ssp,global_damages_constant_model_collapsed,anomaly
damages,batch2,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.343959538373838,0.4165993928909302
damages,batch2,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-24.948100702144448,0.4165993928909302
damages,batch3,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-24.99148624545317,0.4165993928909302
damages,batch3,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-24.559144043360043,0.4165993928909302
damages,batch4,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.427340121603343,0.4165993928909302
damages,batch4,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-25.03329976175167,0.4165993928909302
damages,batch5,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.515795963388104,0.4165993928909302
damages,batch5,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-25.087115544381522,0.4165993928909302
damages,batch6,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.48830902152564,0.4165993928909302
damages,batch6,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-25.135860007989145,0.4165993928909302
damages,batch7,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.23481507150471,0.4165993928909302
damages,batch7,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-24.798521072813244,0.4165993928909302
damages,batch8,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.301903222796707,0.4165993928909302
damages,batch8,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-24.90445306884517,0.4165993928909302
damages,batch9,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.528293661903398,0.4165993928909302
damages,batch9,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-25.120868910276528,0.4165993928909302
damages,batch0,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-26.867514097330712,0.429280936717987
damages,batch0,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-25.831792201243687,0.429280936717987
damages,batch1,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-26.826623709777447,0.429280936717987
damages,batch1,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-25.830241274639352,0.429280936717987
damages,batch10,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-27.225303158848593,0.429280936717987
damages,batch10,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-26.163059478575324,0.429280936717987
damages,batch11,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-27.448901093177454,0.429280936717987
damages,batch11,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-26.419067741092864,0.429280936717987
damages,batch12,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-26.902955742750255,0.429280936717987
damages,batch12,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-25.870794396131256,0.429280936717987
damages,batch13,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-27.268229991620267,0.429280936717987
damages,batch13,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-26.204094184039302,0.429280936717987
damages,batch14,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-26.55625266958096,0.429280936717987
damages,batch14,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-25.513023526684787,0.429280936717987
damages,batch2,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-27.47251250002519,0.429280936717987
damages,batch2,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-26.46018882228877,0.429280936717987
damages,batch3,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-27.135100247983523,0.429280936717987
damages,batch3,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-26.128121776315375,0.429280936717987
damages,batch4,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-26.921666639190388,0.429280936717987
damages,batch4,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-25.90255425949355,0.429280936717987
damages,batch5,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-26.53619748351923,0.429280936717987
damages,batch5,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-25.474384169416844,0.429280936717987
damages,batch6,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-26.934871599311503,0.429280936717987
damages,batch6,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-25.925381403435377,0.429280936717987
damages,batch7,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-26.925372483829904,0.429280936717987
