temp,tercile,ref,lrt_eval,yhat,se,lower_ci,upper_ci
38.7,2,27,26.4862174987793,.21417561,23.578846,-45.999512,46.427864
38.8,2,27,26.4862174987793,.149352,23.904598,-46.702801,47.001503
38.9,2,27,26.4862174987793,.084126517,24.231325,-47.408398,47.576649
39,2,27,26.4862174987793,.018508753,24.558987,-48.116219,48.153236
39.1,2,27,26.4862174987793,-.04747685,24.887541,-48.82616,48.731205
39.2,2,27,26.4862174987793,-.11380706,25.216948,-49.538116,49.310501
39.3,2,27,26.4862174987793,-.18047476,25.547173,-50.252014,49.891064
39.4,2,27,26.4862174987793,-.24744929,25.87817,-50.967731,50.472832
39.5,2,27,26.4862174987793,-.31472477,26.209909,-51.685204,51.055752
39.6,2,27,26.4862174987793,-.38227674,26.542345,-52.404316,51.639763
39.7,2,27,26.4862174987793,-.45008072,26.875437,-53.124969,52.224808
39.8,2,27,26.4862174987793,-.51812845,27.209148,-53.847076,52.810822
39.9,2,27,26.4862174987793,-.58639407,27.543442,-54.570545,53.397758
40,2,27,26.4862174987793,-.65486681,27.878275,-55.295284,53.98555
40.1,2,27,26.4862174987793,-.72352231,28.21361,-56.021183,54.574135
40.2,2,27,26.4862174987793,-.79234093,28.54941,-56.748154,55.163471
40.3,2,27,26.4862174987793,-.86131066,28.885632,-57.476109,55.753487
40.4,2,27,26.4862174987793,-.93040329,29.222235,-58.204929,56.344124
40.5,2,27,26.4862174987793,-.99961299,29.559187,-58.934555,56.935329
40.6,2,27,26.4862174987793,-1.0689152,29.896448,-59.664875,57.527046
40.7,2,27,26.4862174987793,-1.1382843,30.233971,-60.395779,58.119209
40.8,2,27,26.4862174987793,-1.2077157,30.571726,-61.127197,58.711769
40.9,2,27,26.4862174987793,-1.2771763,30.909664,-61.859005,59.304653
41,2,27,26.4862174987793,-1.3466624,31.247759,-62.591145,59.89782
41.1,2,27,26.4862174987793,-1.4161509,31.58597,-63.323517,60.491215
41.2,2,27,26.4862174987793,-1.4856346,31.924286,-64.056084,61.084816
41.3,2,27,26.4862174987793,-1.5551232,32.262711,-64.788872,61.678623
41.4,2,27,26.4862174987793,-1.6246057,32.601231,-65.521843,62.272629
41.5,2,27,26.4862174987793,-1.6940967,32.939854,-66.255028,62.866833
41.6,2,27,26.4862174987793,-1.763584,33.278568,-66.98838,63.461212
41.7,2,27,26.4862174987793,-1.8330665,33.617374,-67.721909,64.055771
41.8,2,27,26.4862174987793,-1.9025575,33.956276,-68.455635,64.65052
41.9,2,27,26.4862174987793,-1.9720399,34.295258,-69.189507,65.24543
42,2,27,26.4862174987793,-2.0415285,34.634323,-69.923561,65.8405
42.1,2,27,26.4862174987793,-2.1110184,34.973476,-70.657776,66.435738
42.2,2,27,26.4862174987793,-2.1805007,35.312702,-71.392128,67.031128
42.3,2,27,26.4862174987793,-2.2499893,35.652008,-72.12664,67.626663
42.4,2,27,26.4862174987793,-2.319473,35.99139,-72.861298,68.222351
42.5,2,27,26.4862174987793,-2.3889616,36.330845,-73.596107,68.818184
42.6,2,27,26.4862174987793,-2.4584501,36.670368,-74.331055,69.414154
42.7,2,27,26.4862174987793,-2.5279338,37.00996,-75.066124,70.010254
42.8,2,27,26.4862174987793,-2.5974224,37.349621,-75.801338,70.606491
42.9,2,27,26.4862174987793,-2.6669049,37.689342,-76.536659,71.20285
43,2,27,26.4862174987793,-2.7363946,38.029133,-77.272125,71.799339
43.1,2,27,26.4862174987793,-2.8058832,38.368984,-78.007713,72.395943
43.2,2,27,26.4862174987793,-2.8753974,38.708954,-78.743553,72.99276
43.3,2,27,26.4862174987793,-2.9448237,39.048801,-79.479073,73.589424
43.4,2,27,26.4862174987793,-3.0143392,39.388889,-80.215141,74.186462
43.5,2,27,26.4862174987793,-3.0838265,39.72897,-80.951172,74.783524
43.6,2,27,26.4862174987793,-3.1533175,40.069111,-81.687332,75.380692
43.7,2,27,26.4862174987793,-3.2228317,40.409355,-82.423714,75.97805
43.8,2,27,26.4862174987793,-3.2922556,40.74947,-83.159752,76.575233
43.9,2,27,26.4862174987793,-3.3617723,41.089821,-83.896347,77.172798
44,2,27,26.4862174987793,-3.4312608,41.430161,-84.632889,77.770363
44.1,2,27,26.4862174987793,-3.5007482,41.770546,-85.369514,78.368019
44.2,2,27,26.4862174987793,-3.5702343,42.110985,-86.106247,78.965775
44.3,2,27,26.4862174987793,-3.6397204,42.451458,-86.843048,79.563606
44.4,2,27,26.4862174987793,-3.7092054,42.791981,-87.579948,80.161537
44.5,2,27,26.4862174987793,-3.7786939,43.132549,-88.316933,80.759544
44.6,2,27,26.4862174987793,-3.8481824,43.473156,-89.054001,81.357643
44.7,2,27,26.4862174987793,-3.9176674,43.813808,-89.791153,81.955818
44.8,2,27,26.4862174987793,-3.9871535,44.154495,-90.528374,82.554062
44.9,2,27,26.4862174987793,-4.0566382,44.495224,-91.265678,83.152397
45,2,27,26.4862174987793,-4.1261268,44.835991,-92.003059,83.750801
45.1,2,27,26.4862174987793,-4.1956158,45.1768,-92.740517,84.349281
45.2,2,27,26.4862174987793,-4.2651005,45.517643,-93.478043,84.947838
45.3,2,27,26.4862174987793,-4.3345866,45.858517,-94.21563,85.546455
45.4,2,27,26.4862174987793,-4.4040713,46.199432,-94.953293,86.145149
45.5,2,27,26.4862174987793,-4.4735599,46.540379,-95.691025,86.743904
45.6,2,27,26.4862174987793,-4.5430489,46.881363,-96.428833,87.342735
