hierid,ISO,diff,d_h,d_l,gdp,pop,gdppc,wage,diff_dis,h_dis,l_dis,diff_dis_p,h_dis_p,l_dis_p,pop_w,diff_dis_p_pw
AFG.2.20,AFG,-2505.09414229433,-2777.75102516346,-272.656882869125,162385550,116681.625,1391.6978,0.00927798533333333,46.4844534216521,51.5438665422364,5.05941312058426,3.34012552305911,3.70366803355128,0.363542510492167,1.68525556004395e-05,5.62896510898009e-05
AFG.2.Re52952e4e6b141e6,AFG,-2551.79637549897,-2849.34047653326,-297.544101034296,480937400,346314.4,1388.7306,0.009258204,47.2501028216601,52.7595507944043,5.50944797274425,3.40239516733196,3.79912063537769,0.396725468045728,5.00188669915495e-05,0.000170183951327468
AFG.20.204,AFG,-3046.00550759251,-3278.97075720316,-232.965249610651,165046720,118605.32,1391.5625,0.00927708333333333,56.516093855456,60.8385699242736,4.32247606881762,4.06134067679001,4.37196100960421,0.310620332814201,1.71303986365284e-05,6.95723847921611e-05
AFG.20.R3c3b3822ad703202,AFG,-3339.86500893158,-3596.04030154232,-256.175292610738,431682100,310475.88,1390.3885,0.00926925666666667,61.9161319996115,66.6652410773462,4.74910907773473,4.4531533452421,4.79472040205642,0.341567056814317,4.48426393641278e-05,0.000199691149493851
AFG.21.212,AFG,-2153.80779062049,-2379.74191370473,-225.934123084242,66680536,48023.305,1388.5037,0.00925669133333333,39.8742678182051,44.0570726963214,4.18280487811634,2.87174372082732,3.17298921827298,0.301245497445656,6.93609998686054e-06,1.99187015842972e-05
AFG.21.217,AFG,-2102.66534527248,-2418.71151528217,-316.046170009697,466046050,298432.44,1561.6467,0.010410978,43.7816053019883,50.3623047478987,6.58069944591043,2.80355379369663,3.2249486870429,0.421394893346263,4.31031817398398e-05,0.000120842088687123
AFG.21.R335bc53b76ceae53,AFG,-2102.45549286181,-2400.16477666786,-297.709283806056,1103171500,785621.1,1404.2029,0.00936135266666667,39.3636546692997,44.9375778649982,5.57392319569849,2.80327399048241,3.20021970222382,0.396945711741408,0.000113468793982158,0.000318084118901592
AFG.21.R452a3f16b7c93204,AFG,-2354.69846880155,-2569.06166151112,-214.363192709564,741535040,533980.7,1388.6926,0.00925795066666667,43.5993645180806,47.5684922437892,3.96912772570861,3.13959795840207,3.42541554868149,0.285817590279419,7.7123878214e-05,0.000242137970584724
AFG.21.Ra6cf658876a55bf9,AFG,-2171.67517774058,-2516.5331322402,-344.857954499629,64077120,46147.395,1388.5317,0.009256878,40.2058643519456,46.5904803762109,6.38461602426523,2.8955669036541,3.35537750965361,0.459810605999505,6.66515863190066e-06,1.9299412742136e-05
AFG.22.231,AFG,-4417.26852432669,-5412.71283436087,-995.444310034176,41110440,29452.3,1395.8312,0.00930554133333333,82.2101496671087,100.736446011218,18.526296344109,5.88969136576892,7.21695044581449,1.32725908004557,4.25385336646473e-06,2.50538834437144e-05
AFG.22.233,AFG,-4491.17965566666,-5512.66711804761,-1021.48746238095,95197896,65408.777,1455.4299,0.009702866,87.1546287617195,106.977340698044,19.8227119363248,5.98823954088888,7.35022282406348,1.3619832831746,9.44711775439578e-06,5.65716040843062e-05
AFG.22.R8dc821211617773c,AFG,-4412.69672420548,-5401.27776899535,-988.58104478987,130083720,93670.46,1388.7379,0.00925825266666667,81.7077224281333,100.012788616417,18.3050661882839,5.88359563227397,7.2017036919938,1.31810805971983,1.35290079759238e-05,7.95992122361449e-05
AFG.23,AFG,-3937.13016421993,-4246.41643892369,-309.286274703758,237160640,170801.39,1388.5171,0.00925678066666667,72.8903007726024,78.6162911888887,5.72599041628621,5.24950688562657,5.66188858523159,0.412381699605011,2.466917924401e-05,0.000129501026304187
AFG.24.252,AFG,-2184.39338573887,-2384.03155150486,-199.638165765986,5960476.5,4292.734,1388.5037,0.00925669133333333,40.4405106447194,44.1364884024165,3.69597775769713,2.9125245143185,3.17870873533981,0.266184221021315,6.20007978230482e-07,1.80578843566933e-06
AFG.24.R6806f602c75dfaa2,AFG,-2282.17179828812,-2476.74303802347,-194.571239735346,67575590,48667.926,1388.5037,0.00925669133333333,42.2507198127828,45.852891629931,3.60217181714821,3.04289573105083,3.30232405069796,0.259428319647129,7.02920386027429e-06,2.13891344191146e-05
AFG.24.Rd61b76c20460e178,AFG,-2703.47786985009,-2914.6580757252,-211.180205875117,617424400,444087.47,1390.3215,0.00926881,50.1160454296904,54.030823837725,3.91477840803468,3.60463715980011,3.8862107676336,0.281573607833489,6.41404229640573e-05,0.000231202952061538
AFG.25.255,AFG,-4220.94274330604,-4548.44442974246,-327.501686436416,29631558,21340.64,1388.5037,0.00925669133333333,78.1439282209145,84.2070922658905,6.06316404497604,5.62792365774139,6.06459257298994,0.436668915248554,3.08227042731847e-06,1.73467826574623e-05
