year,cons,beta1,beta2,global_cons_ramsey,ratio
2276,0,.51657462,.98759818,1499.9355,4.3512087
2277,0,.52092218,.99590987,1512.5591,4.3878288
2278,0,.52530664,1.0042922,1525.29,4.4247603
2279,0,.52972859,1.0127462,1538.1295,4.462007
2280,0,.53418809,1.0212719,1551.0782,4.4995704
2281,0,.53868556,1.0298703,1564.1372,4.5374532
2282,0,.54322135,1.0385419,1577.3075,4.5756593
2283,0,.54779577,1.0472875,1590.5898,4.6141906
2284,0,.55240923,1.0561075,1603.9855,4.6530504
2285,0,.55706191,1.0650026,1617.4951,4.6922407
2286,0,.56175423,1.0739735,1631.1199,4.7317653
2287,0,.5664866,1.0830209,1644.8608,4.7716269
2288,0,.5712592,1.0921453,1658.7188,4.8118277
2289,0,.57607257,1.1013476,1672.6948,4.8523712
2290,0,.5809269,1.1106282,1686.79,4.8932605
2291,0,.58582264,1.119988,1701.0054,4.9344983
2292,0,.59076005,1.1294274,1715.3418,4.9760871
2293,0,.59573966,1.1389475,1729.8005,5.0180311
2294,0,.60076171,1.1485488,1744.3826,5.0603328
2295,0,.6058265,1.1582317,1759.0889,5.1029944
2296,0,.61093456,1.1679975,1773.9208,5.1460209
2297,0,.61608613,1.1778464,1788.8789,5.1894135
2298,0,.62128168,1.1877793,1803.9648,5.2331767
2299,0,.62652153,1.1977969,1819.1793,5.2773128
2300,0,.63180608,1.2079,1834.5237,5.3218255
