year,minT,maxT,rcp,batch,gcm,iam,value,weight,temp
2063,.60000002,4,rcp45,batch13,ACCESS1-0,low,-.23830082,.029999999,1.4465373
2064,.60000002,4.0999999,rcp45,batch7,ACCESS1-0,high,.43893162,.029999999,1.4607646
2065,.60000002,4.3000002,rcp45,batch9,ACCESS1-0,low,1.07690145,.029999999,1.4879663
2066,.60000002,4.4000001,rcp45,batch8,ACCESS1-0,high,-.3700025,.029999999,1.5077751
2067,.60000002,4.5999999,rcp45,batch2,ACCESS1-0,low,.56670814,.029999999,1.5194681
2068,.69999999,4.8000002,rcp45,batch3,ACCESS1-0,low,.943625,.029999999,1.5392451
2069,.69999999,4.9000001,rcp45,batch9,ACCESS1-0,high,1.09557966,.029999999,1.5700831
2070,.69999999,5,rcp45,batch11,ACCESS1-0,high,.8216147,.029999999,1.5970988
2071,.69999999,5.0999999,rcp45,batch14,ACCESS1-0,high,.34083612,.029999999,1.6207347
2072,.69999999,5.1999998,rcp45,batch10,ACCESS1-0,high,-.3154407,.029999999,1.6513834
2073,.69999999,5.3000002,rcp45,batch12,ACCESS1-0,high,.012780567,.029999999,1.6795115
2074,.69999999,5.4000001,rcp45,batch0,ACCESS1-0,high,1.1855766,.029999999,1.6952631
2075,.69999999,5.5999999,rcp45,batch14,ACCESS1-0,low,1.1112175,.029999999,1.7147043
2076,.69999999,5.6999998,rcp45,batch13,ACCESS1-0,high,1.6553249,.029999999,1.7357309
2077,.69999999,5.9000001,rcp45,batch12,ACCESS1-0,high,.02782324,.029999999,1.7642558
2078,.69999999,6,rcp45,batch6,ACCESS1-0,high,1.3090585,.029999999,1.7831354
2079,.69999999,6.1999998,rcp45,batch13,ACCESS1-0,high,2.3360425,.029999999,1.8030207
2080,.69999999,6.4000001,rcp45,batch13,ACCESS1-0,high,1.9469047,.029999999,1.8302927
2081,.69999999,6.5999999,rcp45,batch11,ACCESS1-0,high,1.3116675,.029999999,1.8432016
2082,.69999999,6.6999998,rcp45,batch14,ACCESS1-0,low,1.4029964,.029999999,1.853477
2083,.69999999,6.9000001,rcp45,batch7,ACCESS1-0,high,.6844093999999999,.029999999,1.8644114
2084,.69999999,7,rcp45,batch5,ACCESS1-0,low,.8030737,.029999999,1.8787026
2085,.69999999,7.1999998,rcp45,batch14,ACCESS1-0,low,1.4985424,.029999999,1.8852611
2086,.69999999,7.3000002,rcp45,batch14,ACCESS1-0,low,1.9539469,.029999999,1.900564
2087,.69999999,7.4000001,rcp45,batch12,ACCESS1-0,high,.16091062,.029999999,1.9123988
2088,.69999999,7.5999999,rcp45,batch14,ACCESS1-0,low,1.7758437,.029999999,1.9198465
2089,.69999999,7.8000002,rcp45,batch11,ACCESS1-0,high,1.6028331,.029999999,1.9280572
2090,.69999999,7.9000001,rcp45,batch11,ACCESS1-0,high,1.1980014,.029999999,1.9344187
2091,.69999999,8,rcp45,batch8,ACCESS1-0,high,.23095111,.029999999,1.9412515
2092,.69999999,8.1999998,rcp45,batch10,ACCESS1-0,high,-.1737384,.029999999,1.9438872
2093,.69999999,8.3000002,rcp45,batch13,ACCESS1-0,high,2.8822948,.029999999,1.946945
2094,.69999999,8.3999996,rcp45,batch7,ACCESS1-0,low,.75556035,.029999999,1.9488881
2095,.69999999,8.5,rcp45,batch14,ACCESS1-0,high,.666726,.029999999,1.9497163
2096,.69999999,8.6999998,rcp45,batch6,ACCESS1-0,low,.9032524,.029999999,1.9494298
2097,.69999999,8.8999996,rcp45,batch13,ACCESS1-0,high,2.4735397,.029999999,1.9480286
2098,.69999999,9.1000004,rcp45,batch12,ACCESS1-0,high,.08604175,.029999999,1.9455125
2099,.69999999,9.1999998,rcp45,batch9,ACCESS1-0,low,1.601934,.029999999,1.9418817
2010,0,.2,rcp45,batch7,ACCESS1-0,low,-.04737505,.029999999,.155819
2010,0,.2,rcp45,batch4,ACCESS1-0,low,.011715986,.029999999,.155819
2010,0,.2,rcp45,batch1,ACCESS1-0,low,-.025975454,.029999999,.155819
2010,0,.2,rcp45,batch0,ACCESS1-0,low,.0694813,.029999999,.155819
2010,0,.2,rcp45,batch8,ACCESS1-0,high,-.15784975,.029999999,.155819
2010,0,.2,rcp45,batch5,ACCESS1-0,high,.011253629,.029999999,.155819
2010,0,.2,rcp45,batch11,ACCESS1-0,high,.06526843,.029999999,.155819
2010,0,.2,rcp45,batch8,ACCESS1-0,low,-.12126438,.029999999,.155819
2010,0,.2,rcp45,batch9,ACCESS1-0,low,.062242157,.029999999,.155819
2010,0,.2,rcp45,batch14,ACCESS1-0,low,.03441384,.029999999,.155819
2010,0,.2,rcp45,batch10,ACCESS1-0,high,-.08822451,.029999999,.155819
2010,0,.2,rcp45,batch6,ACCESS1-0,high,.040589083,.029999999,.155819
2010,0,.2,rcp45,batch12,ACCESS1-0,high,.009793597,.029999999,.155819
2010,0,.2,rcp45,batch7,ACCESS1-0,high,-.04428925,.029999999,.155819
2010,0,.2,rcp45,batch5,ACCESS1-0,low,-.0037360704,.029999999,.155819
2010,0,.2,rcp45,batch6,ACCESS1-0,low,.007535934,.029999999,.155819
2010,0,.2,rcp45,batch9,ACCESS1-0,high,.04654733,.029999999,.155819
2010,0,.2,rcp45,batch1,ACCESS1-0,high,-.0009289129,.029999999,.155819
2010,0,.2,rcp45,batch11,ACCESS1-0,low,.047787463,.029999999,.155819
2010,0,.2,rcp45,batch3,ACCESS1-0,low,.04619608,.029999999,.155819
2010,0,.2,rcp45,batch2,ACCESS1-0,low,-.015435639,.029999999,.155819
2010,0,.2,rcp45,batch13,ACCESS1-0,low,.006922614,.029999999,.155819
2010,0,.2,rcp45,batch10,ACCESS1-0,low,-.017225765,.029999999,.155819
2010,0,.2,rcp45,batch3,ACCESS1-0,high,.025389117,.029999999,.155819
2010,0,.2,rcp45,batch12,ACCESS1-0,low,.00008676864,.029999999,.155819
2010,0,.2,rcp45,batch13,ACCESS1-0,high,.106059,.029999999,.155819
2010,0,.2,rcp45,batch2,ACCESS1-0,high,.07349944,.029999999,.155819
2010,0,.2,rcp45,batch0,ACCESS1-0,high,-.0029448468,.029999999,.155819
2010,0,.2,rcp45,batch14,ACCESS1-0,high,-.045445693,.029999999,.155819
2010,0,.2,rcp85,batch0,ACCESS1-0,low,.016208476,.029999999,.11654739
2010,0,.2,rcp85,batch3,ACCESS1-0,high,.055444734,.029999999,.11654739
2010,0,.2,rcp85,batch2,ACCESS1-0,high,.012396329,.029999999,.11654739
2010,0,.2,rcp85,batch1,ACCESS1-0,low,.0080854815,.029999999,.11654739
2010,0,.2,rcp85,batch10,ACCESS1-0,low,.000809825,.029999999,.11654739
2010,0,.2,rcp85,batch6,ACCESS1-0,high,.023947481,.029999999,.11654739
2010,0,.2,rcp85,batch7,ACCESS1-0,low,-.019212716,.029999999,.11654739
2010,0,.2,rcp85,batch13,ACCESS1-0,high,-.007913292,.029999999,.11654739
2010,0,.2,rcp85,batch4,ACCESS1-0,high,.039970513,.029999999,.11654739
2010,0,.2,rcp85,batch13,ACCESS1-0,low,-.04534966,.029999999,.11654739
2010,0,.2,rcp85,batch12,ACCESS1-0,high,.0069566607,.029999999,.11654739
2010,0,.2,rcp85,batch11,ACCESS1-0,high,-.009986978,.029999999,.11654739
2010,0,.2,rcp85,batch8,ACCESS1-0,low,.010433726,.029999999,.11654739
2010,0,.2,rcp85,batch9,ACCESS1-0,high,.026227007,.029999999,.11654739
2010,0,.2,rcp85,batch11,ACCESS1-0,low,.004317462,.029999999,.11654739
2010,0,.2,rcp85,batch14,ACCESS1-0,low,-.010351247,.029999999,.11654739
2010,0,.2,rcp85,batch5,ACCESS1-0,low,-.018683484,.029999999,.11654739
2010,0,.2,rcp85,batch4,ACCESS1-0,low,-.018173581,.029999999,.11654739
2010,0,.2,rcp85,batch9,ACCESS1-0,low,-.04426533,.029999999,.11654739
2010,0,.2,rcp85,batch10,ACCESS1-0,high,.025094322,.029999999,.11654739
2010,0,.2,rcp85,batch6,ACCESS1-0,low,.10695321,.029999999,.11654739
2010,0,.2,rcp85,batch0,ACCESS1-0,high,.029931395,.029999999,.11654739
2010,0,.2,rcp85,batch12,ACCESS1-0,low,.07896723,.029999999,.11654739
2010,0,.2,rcp85,batch14,ACCESS1-0,high,.036425167,.029999999,.11654739
2010,0,.2,rcp85,batch7,ACCESS1-0,high,-.00759058,.029999999,.11654739
2010,0,.2,rcp85,batch1,ACCESS1-0,high,.02210238,.029999999,.11654739
2010,0,.2,rcp85,batch5,ACCESS1-0,high,.030212307,.029999999,.11654739
2010,0,.2,rcp85,batch2,ACCESS1-0,low,.0006347781,.029999999,.11654739
2010,0,.2,rcp85,batch8,ACCESS1-0,high,.06455014,.029999999,.11654739
2010,0,.2,rcp85,batch3,ACCESS1-0,low,-.01352449,.029999999,.11654739
2010,0,.2,rcp45,batch12,BNU-ESM,high,-.004835787,.029999999,.15417969
2010,0,.2,rcp45,batch6,BNU-ESM,high,.036938646,.029999999,.15417969
2010,0,.2,rcp45,batch0,BNU-ESM,low,-.028903006,.029999999,.15417969
2010,0,.2,rcp45,batch14,BNU-ESM,low,.038334317,.029999999,.15417969
2010,0,.2,rcp45,batch13,BNU-ESM,high,.05455533,.029999999,.15417969
2010,0,.2,rcp45,batch14,BNU-ESM,high,.045580227,.029999999,.15417969
2010,0,.2,rcp45,batch10,BNU-ESM,high,-.012801488,.029999999,.15417969
2010,0,.2,rcp45,batch5,BNU-ESM,high,.014117054,.029999999,.15417969
2010,0,.2,rcp45,batch4,BNU-ESM,high,.040443912,.029999999,.15417969
2010,0,.2,rcp45,batch1,BNU-ESM,low,.003566467,.029999999,.15417969
2010,0,.2,rcp45,batch10,BNU-ESM,low,.08012977,.029999999,.15417969
2010,0,.2,rcp45,batch11,BNU-ESM,high,.07428614,.029999999,.15417969
2010,0,.2,rcp45,batch9,BNU-ESM,high,.065064354,.029999999,.15417969
2010,0,.2,rcp45,batch2,BNU-ESM,high,.032771052,.029999999,.15417969
2010,0,.2,rcp45,batch7,BNU-ESM,high,.03708657,.029999999,.15417969
2010,0,.2,rcp45,batch4,BNU-ESM,low,.008005878,.029999999,.15417969
2010,0,.2,rcp45,batch3,BNU-ESM,high,.032160979,.029999999,.15417969
2010,0,.2,rcp45,batch13,BNU-ESM,low,.07451646,.029999999,.15417969
2010,0,.2,rcp45,batch12,BNU-ESM,low,.018217665,.029999999,.15417969
2010,0,.2,rcp45,batch5,BNU-ESM,low,.024760224,.029999999,.15417969
2010,0,.2,rcp45,batch9,BNU-ESM,low,.07110487,.029999999,.15417969
2010,0,.2,rcp45,batch6,BNU-ESM,low,.017792471,.029999999,.15417969
2010,0,.2,rcp45,batch7,BNU-ESM,low,.006143085,.029999999,.15417969
2010,0,.2,rcp45,batch2,BNU-ESM,low,.04291318,.029999999,.15417969
2010,0,.2,rcp45,batch11,BNU-ESM,low,-.011077095,.029999999,.15417969
2010,0,.2,rcp45,batch8,BNU-ESM,high,.031883651,.029999999,.15417969
2010,0,.2,rcp45,batch8,BNU-ESM,low,.04719716,.029999999,.15417969
2010,0,.2,rcp45,batch1,BNU-ESM,high,.0586381,.029999999,.15417969
2010,0,.2,rcp45,batch0,BNU-ESM,high,.014983881,.029999999,.15417969
2010,0,.2,rcp45,batch3,BNU-ESM,low,.02465965,.029999999,.15417969
2010,0,.2,rcp85,batch13,BNU-ESM,low,.04344484,.029999999,.13602394
2010,0,.2,rcp85,batch4,BNU-ESM,high,.0063762504,.029999999,.13602394
2010,0,.2,rcp85,batch6,BNU-ESM,high,-.0077006787,.029999999,.13602394
2010,0,.2,rcp85,batch9,BNU-ESM,low,.083256164,.029999999,.13602394
2010,0,.2,rcp85,batch7,BNU-ESM,high,-.043376243,.029999999,.13602394
2010,0,.2,rcp85,batch5,BNU-ESM,low,-.012746589,.029999999,.13602394
2010,0,.2,rcp85,batch10,BNU-ESM,low,.011017259,.029999999,.13602394
2010,0,.2,rcp85,batch7,BNU-ESM,low,.020896915,.029999999,.13602394
2010,0,.2,rcp85,batch1,BNU-ESM,low,-.050159493,.029999999,.13602394
2010,0,.2,rcp85,batch0,BNU-ESM,low,-.0037377395,.029999999,.13602394
2010,0,.2,rcp85,batch10,BNU-ESM,high,.0008163894,.029999999,.13602394
2010,0,.2,rcp85,batch8,BNU-ESM,high,-.02268062,.029999999,.13602394
2010,0,.2,rcp85,batch3,BNU-ESM,high,-.00008662835,.029999999,.13602394
2010,0,.2,rcp85,batch2,BNU-ESM,high,-.012991461,.029999999,.13602394
2010,0,.2,rcp85,batch1,BNU-ESM,high,-.19951087,.029999999,.13602394
2010,0,.2,rcp85,batch4,BNU-ESM,low,.013718039,.029999999,.13602394
2010,0,.2,rcp85,batch13,BNU-ESM,high,-.015272919,.029999999,.13602394
2010,0,.2,rcp85,batch0,BNU-ESM,high,.006191009,.029999999,.13602394
2010,0,.2,rcp85,batch8,BNU-ESM,low,.0046268744,.029999999,.13602394
2010,0,.2,rcp85,batch2,BNU-ESM,low,.027574446,.029999999,.13602394
2010,0,.2,rcp85,batch6,BNU-ESM,low,-.018436616,.029999999,.13602394
2010,0,.2,rcp85,batch12,BNU-ESM,high,.011246791,.029999999,.13602394
2010,0,.2,rcp85,batch5,BNU-ESM,high,-.13547893,.029999999,.13602394
2010,0,.2,rcp85,batch14,BNU-ESM,high,.024621922,.029999999,.13602394
2010,0,.2,rcp85,batch9,BNU-ESM,high,-.012355867,.029999999,.13602394
2010,0,.2,rcp85,batch3,BNU-ESM,low,-.00049504154,.029999999,.13602394
2010,0,.2,rcp85,batch11,BNU-ESM,low,-.017376915,.029999999,.13602394
2010,0,.2,rcp85,batch12,BNU-ESM,low,.01247088,.029999999,.13602394
2010,0,.2,rcp85,batch14,BNU-ESM,low,.03711065,.029999999,.13602394
2010,0,.2,rcp85,batch11,BNU-ESM,high,-.019065788,.029999999,.13602394
2010,0,.2,rcp45,batch14,CCSM4,high,-.050998473,.026699999,.13035297
2010,0,.2,rcp45,batch5,CCSM4,low,-.07455864,.026699999,.13035297
2010,0,.2,rcp45,batch4,CCSM4,low,.06789611,.026699999,.13035297
2010,0,.2,rcp45,batch10,CCSM4,high,-.07996152,.026699999,.13035297
2010,0,.2,rcp45,batch6,CCSM4,low,-.016197479,.026699999,.13035297
2010,0,.2,rcp45,batch8,CCSM4,high,.057478455,.026699999,.13035297
2010,0,.2,rcp45,batch11,CCSM4,low,.011372044,.026699999,.13035297
2010,0,.2,rcp45,batch12,CCSM4,low,.004821846,.026699999,.13035297
2010,0,.2,rcp45,batch14,CCSM4,low,-.037210124,.026699999,.13035297
2010,0,.2,rcp45,batch0,CCSM4,high,.0007206318,.026699999,.13035297
2010,0,.2,rcp45,batch2,CCSM4,high,-.037363876,.026699999,.13035297
2010,0,.2,rcp45,batch9,CCSM4,high,.005516767,.026699999,.13035297
2010,0,.2,rcp45,batch12,CCSM4,high,.005694978,.026699999,.13035297
2010,0,.2,rcp45,batch13,CCSM4,high,-.016889302,.026699999,.13035297
2010,0,.2,rcp45,batch8,CCSM4,low,-.1185042,.026699999,.13035297
2010,0,.2,rcp45,batch10,CCSM4,low,-.06053678,.026699999,.13035297
2010,0,.2,rcp45,batch5,CCSM4,high,.034012387,.026699999,.13035297
2010,0,.2,rcp45,batch3,CCSM4,low,.0083082527,.026699999,.13035297
2010,0,.2,rcp45,batch6,CCSM4,high,-.03422199,.026699999,.13035297
2010,0,.2,rcp45,batch4,CCSM4,high,-.028060778,.026699999,.13035297
2010,0,.2,rcp45,batch2,CCSM4,low,-.025032585,.026699999,.13035297
2010,0,.2,rcp45,batch0,CCSM4,low,-.013895503,.026699999,.13035297
2010,0,.2,rcp45,batch7,CCSM4,high,-.06495896,.026699999,.13035297
2010,0,.2,rcp45,batch3,CCSM4,high,-.10728882,.026699999,.13035297
2010,0,.2,rcp45,batch9,CCSM4,low,-.05791857,.026699999,.13035297
2010,0,.2,rcp45,batch1,CCSM4,low,-.07302066,.026699999,.13035297
2010,0,.2,rcp45,batch11,CCSM4,high,-.072119575,.026699999,.13035297
