year,fair_temperatures_anomaly_pulse,fair_temperatures_anomaly_rcp,rcp
2020,.27415079,.27355906,rcp85
2021,.3032575,.30228451,rcp85
2022,.33761013,.33639038,rcp85
2023,.37379661,.37241864,rcp85
2024,.40966567,.40818807,rcp85
2025,.44118679,.43964854,rcp85
2026,.46904352,.46747062,rcp85
2027,.49417403,.49258384,rcp85
2028,.51929015,.51769423,rcp85
2029,.54356909,.54197508,rcp85
2030,.56830442,.56671721,rcp85
2031,.59381896,.59224176,rcp85
2032,.62153167,.61996651,rcp85
2033,.65370023,.65214825,rcp85
2034,.69158202,.69004375,rcp85
2035,.72942889,.72790456,rcp85
2036,.76909596,.76758552,rcp85
2037,.80550623,.80400944,rcp85
2038,.84191716,.84043378,rcp85
2039,.87513596,.87366557,rcp85
2040,.90615797,.90470022,rcp85
2041,.93582392,.93437839,rcp85
2042,.96651071,.96507698,rcp85
2043,.99918574,.99776345,rcp85
2044,1.0347801,1.0333689,rcp85
2045,1.075879,1.0744785,rcp85
2046,1.1197679,1.1183776,rcp85
2047,1.1662638,1.1648836,rcp85
2048,1.2116188,1.2102482,rcp85
2049,1.2527443,1.2513832,rcp85
2050,1.2892184,1.2878665,rcp85
2051,1.3242134,1.3228704,rcp85
2052,1.3582962,1.3569617,rcp85
2053,1.3923004,1.3909743,rcp85
2054,1.4283758,1.427058,rcp85
2055,1.4682881,1.4669782,rcp85
2056,1.5118753,1.5105731,rcp85
2057,1.5549511,1.5536563,rcp85
2058,1.5981978,1.5969106,rcp85
2059,1.6414258,1.6401458,rcp85
2060,1.681457,1.680184,rcp85
2061,1.7193559,1.7180898,rcp85
2062,1.756025,1.7547654,rcp85
2063,1.7930347,1.7917817,rcp85
2064,1.8307269,1.8294802,rcp85
2065,1.8700364,1.8687959,rcp85
2066,1.9135157,1.9122813,rcp85
2067,1.9597856,1.958557,rcp85
2068,2.006722,2.0054991,rcp85
2069,2.0514581,2.050241,rcp85
2070,2.0931978,2.0919859,rcp85
2071,2.1316373,2.1304309,rcp85
2072,2.1690917,2.1678905,rcp85
2073,2.2061718,2.2049758,rcp85
2074,2.2424548,2.2412639,rcp85
2075,2.2790463,2.2778602,rcp85
2076,2.3158514,2.3146701,rcp85
2077,2.3543298,2.3531532,rcp85
2078,2.3956451,2.3944728,rcp85
2079,2.439316,2.4381483,rcp85
2080,2.4840198,2.4828563,rcp85
2081,2.5281219,2.5269628,rcp85
2082,2.5714996,2.5703447,rcp85
2083,2.6125126,2.6113617,rcp85
2084,2.6527069,2.6515601,rcp85
2085,2.690316,2.6891732,rcp85
2086,2.7272379,2.7260993,rcp85
2087,2.7650967,2.7639618,rcp85
2088,2.8040216,2.8028905,rcp85
2089,2.8457785,2.8446512,rcp85
2090,2.8911729,2.8900495,rcp85
2091,2.9380627,2.9369428,rcp85
2092,2.9868934,2.9857771,rcp85
2093,3.0321136,3.0310009,rcp85
2094,3.0730209,3.0719118,rcp85
2095,3.1111863,3.1100807,rcp85
2096,3.1467693,3.1456673,rcp85
2097,3.1822002,3.1811016,rcp85
2098,3.2175102,3.2164152,rcp85
2099,3.2548432,3.2537515,rcp85
2100,3.2953103,3.2942221,rcp85
2101,3.3385389,3.3374541,rcp85
2102,3.3801551,3.3790736,rcp85
2103,3.4204521,3.419374,rcp85
2104,3.4584024,3.4573276,rcp85
2105,3.493084,3.4920127,rcp85
2106,3.5264406,3.5253727,rcp85
2107,3.5590179,3.5579534,rcp85
2108,3.5921392,3.5910778,rcp85
2109,3.6266158,3.6255577,rcp85
2110,3.6640012,3.6629465,rcp85
2111,3.7065878,3.7055364,rcp85
2112,3.7475462,3.7464979,rcp85
2113,3.787303,3.786258,rcp85
2114,3.8224978,3.821456,rcp85
2115,3.8564546,3.8554161,rcp85
2116,3.8875666,3.8865314,rcp85
2117,3.9178596,3.9168274,rcp85
2118,3.9479823,3.9469535,rcp85
2119,3.9789155,3.9778898,rcp85
2120,4.0130634,4.0120411,rcp85
2121,4.0511074,4.0500884,rcp85
2122,4.092329,4.0913129,rcp85
2123,4.1290627,4.1280499,rcp85
2124,4.1655149,4.1645055,rcp85
2125,4.1975064,4.1965003,rcp85
2126,4.2264013,4.2253981,rcp85
2127,4.2546053,4.2536054,rcp85
2128,4.2824636,4.281467,rcp85
2129,4.3116608,4.3106675,rcp85
2130,4.3441787,4.3431888,rcp85
2131,4.3834362,4.3824492,rcp85
2132,4.4220333,4.4210496,rcp85
2133,4.4603567,4.4593763,rcp85
2134,4.4947877,4.4938102,rcp85
2135,4.5250783,4.5241041,rcp85
2136,4.5515332,4.5505619,rcp85
2137,4.5778613,4.5768938,rcp85
2138,4.6040692,4.6031046,rcp85
2139,4.6308045,4.6298432,rcp85
2140,4.6589465,4.6579881,rcp85
2141,4.690444,4.6894894,rcp85
2142,4.7245555,4.7236037,rcp85
2143,4.7582173,4.7572689,rcp85
2144,4.7917538,4.7908087,rcp85
2145,4.8240261,4.8230839,rcp85
2146,4.8533278,4.8523893,rcp85
2147,4.8825006,4.8815651,rcp85
2148,4.9101987,4.9092665,rcp85
2149,4.9374995,4.9365706,rcp85
