temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3,no_wgt_manuf2,risk_adj_sample_wgt_manuf2,pop_adj_sample_wgt_manuf2,no_wgt_hr4,risk_adj_sample_wgt_hr4,pop_adj_sample_wgt_hr4,no_wgt_agri,risk_adj_sample_wgt_agri,pop_adj_sample_wgt_agri,no_wgt_connmine,risk_adj_sample_wgt_connmine,pop_adj_sample_wgt_connmine,no_wgt_manuft,risk_adj_sample_wgt_manuft,pop_adj_sample_wgt_manuft,no_wgt_lomaco,risk_adj_sample_wgt_lomaco,pop_adj_sample_wgt_lomaco
-9.1,6,.0000631269394944,.0000257629799307,6,.0000631269394944,.0000257629799307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,.0000631269394944,.0000257629799307
-8.9,10,.0000450988338798,.0000184054595138,10,.0000450988338798,.0000184054595138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,.0000450988338798,.0000184054595138
-8.800000000000001,4,.0000113554860945,4.63433161713e-06,4,.0000113554860945,4.63433161713e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,.0000113554860945,4.63433161713e-06
-8.699999999999999,4,.0000119763532211,5.34672841468e-06,3,8.46466161875e-06,3.45454594708e-06,1,3.51169160240e-06,1.89218246760e-06,1,3.51169160240e-06,1.89218246760e-06,0,0,0,1,3.51169160240e-06,1.89218246760e-06,0,0,0,0,0,0,0,0,0,1,3.51169160240e-06,1.89218246760e-06,4,.0000119763532211,5.34672841468e-06
-8.6,9,.0000676960926285,.0000317532167173,6,.000036133787944,.0000147467007992,3,.0000315623046845,.0000170065159182,3,.0000315623046845,.0000170065159182,0,0,0,3,.0000315623046845,.0000170065159182,0,0,0,0,0,0,0,0,0,3,.0000315623046845,.0000170065159182,9,.0000676960926285,.0000317532167173
-8.5,4,.0000359377822861,.0000157409643862,3,.0000277191488749,.0000113125701091,1,8.21863341116e-06,4.42839427706e-06,1,8.21863341116e-06,4.42839427706e-06,0,0,0,1,8.21863341116e-06,4.42839427706e-06,0,0,0,0,0,0,0,0,0,1,8.21863341116e-06,4.42839427706e-06,4,.0000359377822861,.0000157409643862
-8.300000000000001,9,.0001057117433447,.0000431424291492,9,.0001057117433447,.0000431424291492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,.0001057117433447,.0000431424291492
-8.199999999999999,5,7.77432361865e-06,5.06758351548e-06,3,7.72000294091e-06,3.15064039569e-06,2,5.43206777337e-08,1.91694311980e-06,2,5.43206777337e-08,1.91694311980e-06,0,0,0,0,0,0,2,5.43206777337e-08,1.91694311980e-06,0,0,0,2,5.43206777337e-08,1.91694311980e-06,0,0,0,5,7.77432361865e-06,5.06758351548e-06
-8.1,5,.0000314389405958,.0000152434181473,3,.000012980101701,5.29735962118e-06,2,.0000184588388947,9.94605852611e-06,2,.0000184588388947,9.94605852611e-06,0,0,0,2,.0000184588388947,9.94605852611e-06,0,0,0,0,0,0,0,0,0,2,.0000184588388947,9.94605852611e-06,5,.0000314389405958,.0000152434181473
-8,4,.0000464072836621,.0000189394559129,4,.0000464072836621,.0000189394559129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,.0000464072836621,.0000189394559129
-7.9,2,9.61766909313e-06,3.92510446545e-06,2,9.61766909313e-06,3.92510446545e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.61766909313e-06,3.92510446545e-06
-7.8,6,.0000351817225237,.0000143581496559,6,.0000351817225237,.0000143581496559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,.0000351817225237,.0000143581496559
-7.7,2,.000019247398086,7.85513020674e-06,2,.000019247398086,7.85513020674e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,.000019247398086,7.85513020674e-06
-7.6,7,.0000387835930837,.0000220376858806,6,.0000386055730814,.0000157554699172,1,1.78020002295e-07,6.28221596344e-06,1,1.78020002295e-07,6.28221596344e-06,0,0,0,0,0,0,1,1.78020002295e-07,6.28221596344e-06,0,0,0,1,1.78020002295e-07,6.28221596344e-06,0,0,0,7,.0000387835930837,.0000220376858806
-7.5,11,.0000854321283441,.0000348660378222,11,.0000854321283441,.0000348660378222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,.0000854321283441,.0000348660378222
-7.4,3,.0000147946366269,6.03789635534e-06,3,.0000147946366269,6.03789635534e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,.0000147946366269,6.03789635534e-06
-7.3,5,.0000221971009182,.0000272857746495,0,0,0,5,.0000221971009182,.0000272857746495,5,.0000221971009182,.0000272857746495,0,0,0,3,.00002175608779,.0000117226959446,2,4.41013128238e-07,.0000155630787049,0,0,0,2,4.41013128238e-07,.0000155630787049,3,.00002175608779,.0000117226959446,5,.0000221971009182,.0000272857746495
-7.2,3,.0000107459513856,4.38557196958e-06,3,.0000107459513856,4.38557196958e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,.0000107459513856,4.38557196958e-06
-7.1,7,.000031968498206,.0000135403695367,5,.0000281923335024,.0000115056825507,2,3.77616470359e-06,2.03468698601e-06,2,3.77616470359e-06,2.03468698601e-06,0,0,0,2,3.77616470359e-06,2.03468698601e-06,0,0,0,0,0,0,0,0,0,2,3.77616470359e-06,2.03468698601e-06,7,.000031968498206,.0000135403695367
-7,4,.0000273888356332,.0000111777644065,4,.0000273888356332,.0000111777644065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,.0000273888356332,.0000111777644065
-6.9,5,.0000266790691512,.0000118175696571,3,.000019568117068,7.98602036411e-06,2,7.11095208317e-06,3.83154929295e-06,2,7.11095208317e-06,3.83154929295e-06,0,0,0,2,7.11095208317e-06,3.83154929295e-06,0,0,0,0,0,0,0,0,0,2,7.11095208317e-06,3.83154929295e-06,5,.0000266790691512,.0000118175696571
-6.8,3,.0000164768634932,7.48242518966e-06,2,.0000106778461486,4.35777747043e-06,1,5.79901734454e-06,3.12464771923e-06,1,5.79901734454e-06,3.12464771923e-06,0,0,0,1,5.79901734454e-06,3.12464771923e-06,0,0,0,0,0,0,0,0,0,1,5.79901734454e-06,3.12464771923e-06,3,.0000164768634932,7.48242518966e-06
-6.7,7,.0000701039973592,.0000290976424822,6,.0000663764371893,.0000270891448508,1,3.72756016986e-06,2.00849763132e-06,1,3.72756016986e-06,2.00849763132e-06,0,0,0,1,3.72756016986e-06,2.00849763132e-06,0,0,0,0,0,0,0,0,0,1,3.72756016986e-06,2.00849763132e-06,7,.0000701039973592,.0000290976424822
