temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3
-6.4,8,.000018099358158,8.48574330803e-06,8,.000018099358158,8.48574330803e-06,0,0,0,0,0,0,0,0,0
-6.3,10,.000046821514843,.0000228194988949,8,.0000380427336495,.0000178360395466,2,8.77878119354e-06,4.98345934830e-06,2,8.77878119354e-06,4.98345934830e-06,0,0,0
-6.2,9,.0000741149624446,.000034748222788,9,.0000741149624446,.000034748222788,0,0,0,0,0,0,0,0,0
-6.1,7,.0000175867435246,8.24540791200e-06,7,.0000175867435246,8.24540791200e-06,0,0,0,0,0,0,0,0,0
-6,21,.0002505596859237,.0001197150681946,15,.0002278728744614,.0001068364240382,6,.0000226868114623,.0000128786441564,6,.0000226868114623,.0000128786441564,0,0,0
-5.9,5,.0000280091583136,.0000133278911107,4,.0000260257702394,.0000122019791888,1,1.98338807422e-06,1.12591192192e-06,1,1.98338807422e-06,1.12591192192e-06,0,0,0
-5.8,8,.0000267382097263,.0000133706500947,5,.0000182928120012,8.57644261032e-06,3,8.44539772515e-06,4.79420748434e-06,3,8.44539772515e-06,4.79420748434e-06,0,0,0
-5.7,14,.000106964173483,.000054457043916,10,.0000633764307167,.0000297135475193,4,.0000435877427662,.0000247434963967,4,.0000435877427662,.0000247434963967,0,0,0
-5.6,14,.0001267865668524,.0000598848523623,13,.0001223146114171,.0000573462532429,1,4.47195543529e-06,2.53859911936e-06,1,4.47195543529e-06,2.53859911936e-06,0,0,0
-5.5,19,.0000646595642593,.0000314116226718,16,.0000535647195647,.0000251134014206,3,.0000110948446945,6.29822125120e-06,3,.0000110948446945,6.29822125120e-06,0,0,0
-5.4,12,.0000612143483067,.0000302351605797,6,.0000456794909951,.0000214164729186,6,.0000155348573116,8.81868766101e-06,6,.0000155348573116,8.81868766101e-06,0,0,0
-5.3,10,.0000431816695254,.0000210030720496,9,.000035515058471,.0000166509593669,1,7.66661105445e-06,4.35211268268e-06,1,7.66661105445e-06,4.35211268268e-06,0,0,0
-5.2,13,.0000593452268731,.0000326022018839,4,.0000109923510081,5.15367833032e-06,9,.000048352875865,.0000274485235536,9,.000048352875865,.0000274485235536,0,0,0
-5.1,13,.0000898329109305,.0000421174623284,13,.0000898329109305,.0000421174623284,0,0,0,0,0,0,0,0,0
-5,16,.0000714395490604,.000036318973514,10,.0000428537651942,.0000200916546191,6,.0000285857838662,.0000162273188948,6,.0000285857838662,.0000162273188948,0,0,0
-4.9,17,.000119747970075,.0000586724061691,13,.0000941531839089,.0000441429886564,4,.000025594786166,.0000145294175127,4,.000025594786166,.0000145294175127,0,0,0
-4.8,20,.0000869451100698,.0000414850843526,18,.0000796441340754,.0000373405324581,2,7.30097599444e-06,4.14455189457e-06,2,7.30097599444e-06,4.14455189457e-06,0,0,0
-4.7,12,.0000716130604133,.0000343288565432,10,.0000639874411945,.0000300000137372,2,7.62561921874e-06,4.32884280599e-06,2,7.62561921874e-06,4.32884280599e-06,0,0,0
-4.6,14,.0000669431112783,.0000349238551394,8,.0000311428132136,.000014601065061,6,.0000358002980647,.0000203227900784,6,.0000358002980647,.0000203227900784,0,0,0
-4.5,16,.0000659774364067,.0000326851629779,10,.00004824823327,.0000226208094318,6,.0000177292031367,.0000100643535461,6,.0000177292031367,.0000100643535461,0,0,0
-4.4,14,.0000504047839058,.000025460175948,7,.0000319052610394,.0000149585334839,7,.0000184995228665,.0000105016424641,7,.0000184995228665,.0000105016424641,0,0,0
-4.3,17,.0001033496689615,.0000499911639054,14,.0000878028290572,.0000411656744745,3,.0000155468399043,8.82548943082e-06,3,.0000155468399043,8.82548943082e-06,0,0,0
-4.2,25,.0001111376151357,.0000528031843032,22,.0001040832141825,.0000487986058033,3,7.05440095317e-06,4.00457849992e-06,3,7.05440095317e-06,4.00457849992e-06,0,0,0
-4.1,24,.0001681622912884,.0000882969342229,18,.0001569697683408,.000073594054129,6,.0000111925229476,.0000147028800939,4,.0000111770420972,6.34488208107e-06,2,1.54808503794e-08,8.35799801280e-06
-4,21,.0001379678659532,.0000665526516741,16,.0001190716249084,.0000558258038836,5,.0000188962410448,.0000107268477905,5,.0000188962410448,.0000107268477905,0,0,0
-3.9,15,.0000655081768173,.000030713000001,15,.0000655081768173,.000030713000001,0,0,0,0,0,0,0,0,0
-3.8,10,.0000463373418143,.0000217249030356,10,.0000463373418143,.0000217249030356,0,0,0,0,0,0,0,0,0
-3.7,23,.0001684719165951,.0000836059494702,18,.0001217324540903,.0000570733146503,5,.0000467394625048,.0000265326348199,5,.0000467394625048,.0000265326348199,0,0,0
-3.6,27,.0001517858140687,.0000800852869816,14,.0000615115887967,.0000288392313337,13,.000090274225272,.0000512460556479,13,.000090274225272,.0000512460556479,0,0,0
-3.5,14,.0001160012009223,.0000561425998455,11,.0000982296546681,.000046054209264,3,.0000177715462542,.0000100883905816,3,.0000177715462542,.0000100883905816,0,0,0
-3.4,24,.0000929477079126,.0000447187997565,21,.0000814025885347,.0000381649709311,3,.0000115451193778,6.55382882542e-06,3,.0000115451193778,6.55382882542e-06,0,0,0
-3.3,16,.0001085281837732,.0000563156622206,13,.0000535536000825,.0000251081887086,3,.0000549745836906,.000031207473512,3,.0000549745836906,.000031207473512,0,0,0
-3.2,11,.0000734733647505,.0000348389463056,9,.0000695116485758,.0000325899948734,2,3.96171617467e-06,2.24895143219e-06,2,3.96171617467e-06,2.24895143219e-06,0,0,0
-3.1,32,.0001438075310034,.0000743637237974,18,.0000735781532057,.0000344965450267,14,.0000702293777977,.0000398671787707,14,.0000702293777977,.0000398671787707,0,0,0
-3,15,.0000877977970504,.0000441589738216,10,.0000574861805944,.0000269519485414,5,.0000303116164559,.0000172070252802,5,.0000303116164559,.0000172070252802,0,0,0
-2.9,25,.0001177607004479,.0000568382979509,22,.0001012967731526,.0000474922042031,3,.0000164639272953,9.34609374781e-06,3,.0000164639272953,9.34609374781e-06,0,0,0
-2.8,25,.0000800382033503,.0000393589444343,17,.0000614843361291,.0000288264531605,8,.0000185538672213,.0000105324912738,8,.0000185538672213,.0000105324912738,0,0,0
-2.7,23,.0001815677049422,.0000906482557923,13,.0001274732242678,.0000624131421603,10,.0000540944806744,.000028235113632,10,.0000540944806744,.000028235113632,0,0,0
-2.6,20,.0000974527670223,.0000462453717773,18,.0000918329442356,.0000430551615409,2,5.61982278668e-06,3.19021023643e-06,2,5.61982278668e-06,3.19021023643e-06,0,0,0
-2.5,36,.0003389032809764,.0001721365733829,28,.0002048895111102,.0000960608500691,8,.0001340137698662,.0000760757233138,8,.0001340137698662,.0000760757233138,0,0,0
-2.4,35,.0001645127299525,.0000787341917885,31,.0001482858867803,.0000695226838161,4,.0000162268431723,9.21150797240e-06,4,.0000162268431723,9.21150797240e-06,0,0,0
-2.3,51,.0003220380779112,.0001516513110573,49,.0003152964629862,.0001478242919575,2,6.74161492498e-06,3.82701909984e-06,2,6.74161492498e-06,3.82701909984e-06,0,0,0
-2.2,30,.000176900866677,.0000848724761227,25,.000157332857043,.0000737642848208,5,.000019568009634,.0000111081913019,5,.000019568009634,.0000111081913019,0,0,0
-2.1,39,.0002504571190092,.0001230708257367,28,.0002115640513694,.0000991901605971,11,.0000388930676398,.0000238806651396,10,.0000388897260564,.0000220765688255,1,3.34158345439e-09,1.80409631412e-06
-2,40,.0001719335281667,.0000917607724773,23,.0001285986400603,.0000602924715736,17,.0000433348881064,.0000314683009037,13,.0000433221530329,.0000245927278684,4,1.27350734402e-08,6.87557303536e-06
-1.9,48,.0002305930978537,.0001104270992869,38,.0002071655337659,.0000971279513919,10,.0000234275640878,.0000132991478949,10,.0000234275640878,.0000132991478949,0,0,0
-1.8,33,.0001847455440611,.000089060590085,29,.0001740017693237,.0000829616614055,4,.0000107437747374,6.09892867942e-06,4,.0000107437747374,6.09892867942e-06,0,0,0
-1.7,35,.0001594471702902,.0000793566620132,30,.0001128909109411,.0000529280247292,5,.000046556259349,.000026428637284,5,.000046556259349,.000026428637284,0,0,0
-1.6,22,.0000917951276733,.0000430374321638,22,.0000917951276733,.0000430374321638,0,0,0,0,0,0,0,0,0
-1.5,37,.0001655506655425,.0000824779306186,22,.000116366705015,.0000545576234572,15,.0000491839605274,.0000279203071614,15,.0000491839605274,.0000279203071614,0,0,0
-1.4,36,.0001876715530784,.0001059382246922,30,.0001485006941948,.0000717254096116,6,.0000391708588836,.0000342128150805,4,.0000390411319131,.0000221625164158,2,1.29726970499e-07,.0000120502986647
-1.3,44,.0001947651700767,.0000980447703114,33,.0001483019109401,.0000695301985161,11,.0000464632591366,.0000285145717953,9,.0000464592935714,.0000263735921635,2,3.96556520954e-09,2.14097963180e-06
