inc_log,yhat,se,lowerci_hi,upperci_hi
10.036706,.05791802,.0085464427,.0411673,.074668735
10.041073,.056962635,.0085669374,.04017175,.073753528
10.045421,.056011427,.008587365,.039180502,.072842352
10.04975,.055064183,.0086077303,.038193341,.071935028
10.05406,.054121319,.0086280238,.037210703,.071031936
10.058352,.053182211,.0086482577,.036231935,.070132487
10.062626,.052247275,.0086684236,.035257477,.069237076
10.066881,.051316302,.0086885244,.03428711,.068345495
10.071118,.050389297,.0087085599,.033320833,.067457758
10.075337,.049466256,.0087285303,.03235865,.066573858
10.079539,.048546966,.0087484401,.031400342,.065693595
10.083724,.047631435,.0087682875,.030445907,.064816967
10.087891,.046719868,.0087880688,.029495571,.063944168
10.09204,.045812059,.0088077886,.028549111,.063075006
10.096172,.044908002,.0088274442,.027606528,.062209476
10.100287,.0440077,.0088470373,.026667826,.061347578
10.104385,.043111157,.0088665672,.025733003,.060489308
10.108467,.04221816,.0088860383,.024801845,.059634473
10.112533,.04132871,.008905449,.023874348,.058783069
10.116581,.040443014,.0089247962,.022950735,.05793529
10.120613,.039560866,.0089440821,.022030786,.057090942
10.124629,.038682263,.0089633083,.021114502,.056250025
10.128629,.037807208,.0089824731,.020201884,.055412531
10.132613,.036935493,.0090015819,.019292716,.054578267
10.136581,.036067322,.0090206284,.018387215,.05374743
10.140534,.035202492,.009039619,.017485166,.05291982
10.144471,.034341209,.0090585463,.016586784,.052095633
10.148393,.033483263,.0090774167,.015691854,.051274672
10.152299,.032628655,.0090962285,.014800375,.050456937
10.15619,.031777386,.0091149826,.01391235,.049642425
10.160066,.030929457,.0091336779,.013027778,.048831135
10.163927,.030084655,.0091523184,.012146441,.04802287
10.167773,.029243194,.0091709001,.011268559,.047217827
10.171604,.028405068,.0091894232,.010394131,.046416007
10.175422,.027569866,.009207895,.009522723,.045617007
10.179224,.026738001,.0092263073,.0086547704,.044821229
10.183011,.025909474,.0092446599,.007790274,.044028673
10.186785,.025083868,.0092629604,.0069287987,.043238938
10.190544,.024261393,.0092812059,.0060705626,.04245222
10.19429,.023441836,.0092993993,.0052153491,.041668326
10.198021,.02262562,.0093175322,.0043635932,.040887646
10.201738,.021812325,.0093356129,.0035148601,.040109791
10.205442,.02100195,.0093536414,.0026691505,.039334748
10.209132,.020194706,.0093716122,.0018266824,.038562726
10.212809,.019390382,.0093895309,.00098723848,.037793525
10.216472,.018588979,.0094073974,.00015081909,.037027139
10.220121,.017790496,.0094252098,-.00068257528,.036263566
10.223758,.016994936,.0094429692,-.0015129443,.035502814
10.227381,.016202295,.0094606755,-.0023402877,.034744877
10.230991,.015412368,.0094783325,-.0031648225,.03398956
10.234589,.014625362,.0094959363,-.0039863307,.033237055
10.238173,.013841276,.0095134852,-.0048048124,.032487366
10.241744,.013059903,.0095309848,-.0056204847,.031740289
10.245302,.012281451,.0095484303,-.0064331288,.030996032
10.248849,.011505503,.0095658312,-.0072431811,.030254187
10.252382,.010732476,.0095831761,-.0080502052,.029515157
10.255903,.0099621611,.0096004717,-.0088544181,.028778739
10.259412,.0091945585,.009617717,-.0096558202,.028044935
10.262909,.0084294593,.0096349157,-.010454629,.027313547
10.266393,.0076672817,.0096520595,-.011250407,.02658497
10.269865,.0069076074,.0096691567,-.012043592,.025858806
10.273326,.0061504371,.0096862074,-.012834181,.025135055
10.276773,.0053961878,.0097032031,-.01362174,.024414117
10.28021,.0046442337,.009720156,-.014406922,.023695389
10.283635,.0038949919,.0097370576,-.015189291,.022979274
10.287047,.0031484624,.009753908,-.015968846,.02226577
10.290449,.0024042281,.0097707156,-.016746022,.021554478
