inc_log,yhat,se,lowerci_hi,upperci_hi
9.7613478,.23186368,.011619369,.20909014,.25463724
9.7670946,.23073784,.011644195,.20791563,.25356004
9.772809,.22961834,.011668929,.20674767,.25248903
9.778491,.22850521,.011693569,.20558622,.25142416
9.7841406,.22739841,.011718114,.20443133,.2503655
9.7897587,.2262978,.011742568,.20328277,.2493128
9.7953453,.22520334,.011766928,.20214057,.24826609
9.8009014,.22411485,.0117912,.20100452,.24722518
9.806426,.22303253,.011815377,.19987483,.24619025
9.8119202,.22195621,.011839462,.19875129,.24516112
9.8173847,.22088566,.011863459,.19763371,.24413761
9.8228197,.2198209,.011887367,.1965221,.24311972
9.8282251,.21876195,.011911185,.19541645,.24210744
9.833601,.21770878,.011934911,.19431679,.24110077
9.8389492,.21666104,.011958554,.19322269,.24009937
9.8442678,.21561907,.011982105,.19213457,.23910357
9.8495588,.21458253,.01200557,.19105205,.23811302
9.8548222,.2135514,.01202895,.1899751,.23712772
9.8600578,.21252571,.012052243,.18890375,.23614767
9.8652668,.21150523,.012075452,.18783778,.23517269
9.8704481,.21049018,.012098574,.18677741,.23420295
9.8756027,.20948036,.012121611,.18572243,.23323828
9.8807306,.20847577,.012144563,.18467286,.23227866
9.8858328,.20747621,.012167432,.18362848,.23132394
9.8909092,.20648171,.012190219,.18258932,.2303741
9.8959589,.20549244,.012212919,.18155555,.22942932
9.9009848,.20450784,.012235543,.18052661,.22848906
9.9059849,.20352829,.012258083,.17950287,.22755368
9.9109592,.20255376,.012280537,.17848435,.22662318
9.9159098,.20158392,.012302915,.17747065,.22569719
9.9208364,.20061876,.012325214,.17646179,.22477573
9.9257383,.19965844,.012347431,.17545792,.22385897
9.9306164,.1987028,.012369568,.17445889,.2229467
9.9354706,.19775183,.012391626,.17346469,.22203897
9.9403019,.19680534,.012413609,.17247511,.22113557
9.9451094,.19586353,.01243551,.17149037,.22023667
9.949894,.19492619,.012457334,.17051026,.21934211
9.9546556,.19399334,.012479082,.16953479,.21845189
9.9593954,.19306479,.012500755,.16856377,.21756582
9.9641123,.19214073,.01252235,.16759737,.21668407
9.9688072,.19122095,.01254387,.16663542,.21580648
9.9734802,.19030549,.012565316,.16567792,.21493304
9.9781313,.1893943,.012586685,.16472486,.21406375
9.9827604,.18848743,.012607979,.16377623,.2131986
9.9873686,.18758465,.0126292,.16283187,.21233743
9.9919558,.18668599,.012650349,.16189177,.21148023
9.9965219,.18579145,.012671424,.16095591,.21062699
10.001068,.18490082,.012692431,.16002412,.20977753
10.005592,.1840145,.012713359,.15909676,.20893222
10.010098,.1831319,.012734221,.15817329,.20809051
10.014582,.18225342,.012755009,.15725406,.20725279
10.019046,.18137887,.012775727,.1563389,.20641883
10.02349,.18050823,.012796372,.1554278,.20558865
10.027915,.17964134,.012816951,.15452057,.2047621
10.03232,.17877837,.012837457,.1536174,.20393932
10.036706,.17791912,.012857896,.15271811,.20312014
10.041073,.17706361,.012878267,.15182269,.20230456
10.045421,.17621186,.012898569,.15093112,.20149259
10.04975,.17536364,.012918807,.15004325,.20068404
10.05406,.17451935,.01293897,.14915943,.19987927
10.058352,.17367843,.012959072,.1482791,.19907774
10.062626,.17284124,.012979105,.14740266,.19827981
10.066881,.17200759,.012999072,.14652988,.1974853
10.071118,.17117751,.013018972,.14566079,.19669421
10.075337,.17035095,.013038807,.14479537,.19590655
10.079539,.16952778,.013058578,.14393343,.19512212
10.083724,.16870797,.013078287,.14307499,.19434093
10.087891,.1678917,.013097928,.14222023,.19356316
10.09204,.16707879,.013117506,.14136896,.19278863
10.096172,.16626926,.01313702,.14052117,.19201735
10.100287,.16546308,.013156471,.13967687,.19124928
10.104385,.16466026,.013175857,.13883606,.19048446
10.108467,.16386062,.013195183,.13799854,.1897227
10.112533,.16306417,.013214449,.13716431,.18896401
10.116581,.16227107,.01323365,.13633358,.18820854
10.120613,.16148114,.01325279,.13550615,.18745613
10.124629,.16069439,.01327187,.134682,.18670678
10.128629,.15991083,.013290888,.13386115,.18596049
10.132613,.15913025,.013309848,.13304342,.18521707
10.136581,.15835284,.013328747,.13222897,.1844767
10.140534,.15757842,.013347588,.13141763,.18373922
10.144471,.15680718,.013366368,.13060959,.18300478
10.148393,.15603893,.013385089,.12980464,.18227322
