year,geolev1,log_inc,tavg_1_pop_ma_30yr,yhat_main,se_main,lowerci_main,upperci_main,yhat_lrtk,se_lrtk,lowerci_lrtk,upperci_lrtk
2002,152063,9.0855341,14.21925290257814,.48502657,.0076372819,.47005779,.49999538,.51983303,.0069403378,.50623024,.53343588
2002,152071,8.7230291,14.0993794232261,.55139959,.0082816985,.53516775,.56763142,.58654594,.0074531371,.57193804,.60115379
2002,152072,8.7230291,13.26536699338353,.56366116,.0090608103,.54590225,.58142,.59707427,.0074376152,.58249682,.61165172
2002,152073,8.7230291,14.77721754323523,.54157281,.0078121251,.52626133,.55688429,.577007,.0075016851,.56230396,.59171003
2002,152074,8.7230291,14.46781654483231,.54632276,.0079567255,.53072786,.56191766,.58146107,.0074788113,.56680286,.59611928
2002,152081,8.991519,12.98039866210358,.5196653,.0091273542,.50177598,.53755456,.55212444,.0069720284,.53845948,.56578934
2002,152082,8.474717099999999,12.05099080447182,.63054848,.010405857,.61015332,.65094358,.65420157,.0082743131,.63798422,.67041892
2002,152083,8.991519,12.88203099794661,.52442169,.008467407,.50782591,.54101753,.55320543,.0069792885,.53952628,.56688458
2002,152084,8.991519,13.52311779968058,.51322597,.0081668897,.49721915,.5292328,.54576892,.0069718664,.53210431,.55943352
2002,152091,8.818423299999999,11.62967010540726,.57904494,.0094085233,.56060457,.5974853,.59598851,.0076366337,.58102101,.61095607
2002,152092,8.7230291,11.81809520784851,.5925777,.0093364585,.57427853,.6108768,.61160886,.0077523557,.59641451,.62680322
2002,152101,8.786099399999999,10.61469028884326,.60507393,.010216105,.5850507,.6250971,.60826784,.008345468,.59191102,.62462467
2002,152102,8.786099399999999,9.929963929728498,.61951125,.010970036,.59801036,.64101213,.61101657,.0089233937,.59352702,.62850606
2002,152103,8.786099399999999,11.12741415925165,.59449589,.0099510849,.57499212,.61399966,.60534811,.0079837227,.58970028,.62099588
2002,152105,8.786099399999999,10.99973180469998,.59732515,.0098390393,.57804096,.61660928,.60614312,.0080671636,.59033179,.6219545
2002,152111,9.071827900000001,7.598823807693361,.61352569,.01089226,.59217727,.63487417,.55899042,.010911558,.53760415,.58037668
2002,152112,9.071827900000001,7.812390542222224,.61049855,.010887601,.58915925,.63183784,.5597024,.010669434,.5387907,.58061415
2002,152121,9.598563199999999,6.288622011827516,.54917544,.01221142,.52524149,.57310939,.45732412,.012463555,.43289602,.48175225
2002,152124,9.071827900000001,6.369728735698835,.63870114,.012427398,.61434388,.6630584,.55246764,.012567174,.52783644,.57709885
2002,152131,9.427185100000001,15.44850864065709,.40404278,.0073212045,.3896935,.41839209,.44040489,.0070982436,.42649257,.45431718
2002,152132,9.427185100000001,14.29512427926078,.42452627,.0063758641,.41202983,.43702275,.45744786,.0068235071,.44407403,.47082168
2002,152133,9.427185100000001,13.52434627424139,.43549189,.0077651483,.42027247,.45071131,.46753231,.0066700787,.45445919,.48060542
2002,152134,9.427185100000001,15.07583741729409,.41047654,.0073110866,.39614707,.424806,.44613454,.0070141228,.43238711,.45988196
2002,152135,9.427185100000001,14.70934710107233,.41299483,.0078569558,.39759547,.42839417,.45157033,.0069248201,.43799794,.46514273
2002,152136,9.427185100000001,15.29011420396988,.4054853,.0074860337,.39081296,.42015767,.44286346,.0070636589,.42901894,.45670798
2000,156011,8.854418799999999,12.67477452562172,.58124006,.0084242318,.56472886,.5977512,.5800246,.0072337785,.56584662,.59420252
2000,156012,8.605919800000001,13.5535855601013,.62143403,.0079479786,.6058563,.63701183,.61462539,.0076882532,.59955668,.62969404
2000,156013,7.7684355,12.89002015160849,.76899493,.010209525,.74898458,.78900522,.7727164,.010304789,.75251943,.79291344
