discrate,pctile,rcp,count,mean,std,min,25%,50%,75%,max
0.02,0.55,rcp85,94378.0,26.460815378414786,26.436212451448203,1.6958970308146932,9.844422419900503,17.81036204511247,32.82273343259257,397.75639215587944
0.02,0.6,rcp45,94378.0,20.000628756738347,20.752978819506755,1.7099487971575174,7.884219365163885,13.367616233340474,23.848716594064328,369.69676158355395
0.02,0.6,rcp85,94378.0,27.719168277597067,27.168205747951998,1.8982128142825965,10.570171857403935,18.873839812902496,34.39889263897061,403.4214378795727
0.02,0.65,rcp45,94378.0,21.36740953509481,21.4859894053857,1.9506012292046948,8.719998182691697,14.547153695020441,25.524838919867488,377.2772555995236
0.02,0.65,rcp85,94378.0,28.91990552242217,27.792770163605667,2.111204819046981,11.310055206106037,19.921777284815136,35.893026000062676,408.05421482430046
0.02,0.7,rcp45,94378.0,22.988271137395724,22.684486549718216,2.173327356594835,9.569354295777567,15.816212069559533,27.495316133564728,394.25947440281783
0.02,0.7,rcp85,94378.0,30.718261164443806,29.13905702386727,2.326605681441569,12.205218796657023,21.318962752474228,38.128568464490805,423.56003143958986
0.02,0.75,rcp45,94378.0,24.923704129151226,23.993460605393288,2.4671102003606413,10.633381037575262,17.388274648713598,29.868773831649555,411.0379982412132
0.02,0.75,rcp85,94378.0,32.68529257031676,30.48706481694358,2.597258012034273,13.243874301880881,22.903163555998052,40.57622987989811,437.4303753133162
0.02,0.8,rcp45,94378.0,27.032091131392168,25.384912857668777,2.792838363818966,11.806696927452677,19.10801087426044,32.44557900207667,427.4017496669498
0.02,0.8,rcp85,94378.0,34.83200810574184,31.90968058045428,2.90032920727726,14.403691243303378,24.643994455936486,43.26811260325794,449.7738838297884
0.02,0.85,rcp45,94378.0,29.37580068470654,26.719592498331668,3.194750667109711,13.205204590163127,21.108593720350836,35.319063204548435,439.40822829112716
0.02,0.85,rcp85,94378.0,37.00759281561713,33.107385150238294,3.2649486596383066,15.694899678412092,26.510471209038343,46.001968880301696,465.35541755147455
0.02,0.9,rcp45,94378.0,32.42998312166831,28.31334993807562,3.7503494858453066,15.094035925203393,23.772465032186588,39.08804387106076,448.199559230345
0.02,0.9,rcp85,94378.0,39.742919168670966,34.42177345249034,3.7672595099474284,17.41062734738493,28.941783097212266,49.4252646437471,496.6464012860546
0.02,0.95,rcp45,94378.0,36.858091345851584,29.97831536675415,4.68934736440675,18.1230004859268,27.89694727749356,44.646791634888494,440.7522592381975
0.02,0.95,rcp85,94378.0,42.985626319086606,35.09996807988548,4.5815901352612105,19.879988367926156,32.18670199302724,53.51706157605177,532.35774551861
0.025,0.05,rcp45,94378.0,-1.889873030335575,3.9856352233801986,-5.373706190594422,-3.440265169975507,-2.859392630988053,-2.0882335614603416,121.5282567165547
0.025,0.05,rcp85,94378.0,2.3514274982998624,7.440246706736556,-2.462694667135157,-1.458006763640506,-0.39860901044437724,2.8352681244980302,171.99446751890417
0.025,0.1,rcp45,94378.0,1.6275784139846736,6.5271751896279495,-2.310423740507974,-1.3192977396962091,-0.6784628534493143,1.6356036229992195,169.75898542143872
0.025,0.1,rcp85,94378.0,6.617823930172147,10.875281957429582,-0.9119936699890984,0.47413182272396204,2.777643976091646,8.074474674641673,224.78196809023368
0.025,0.15,rcp45,94378.0,3.565008045439497,7.55971843256526,-1.0437600786117398,-0.23444732121337106,0.9367655644488013,3.9984400902181685,185.10448561633402
0.025,0.15,rcp85,94378.0,8.450758252273818,11.909830456906086,-0.3172435730337184,1.553729990158526,4.330105891956144,10.343596153404999,238.11779860297653
0.025,0.2,rcp45,94378.0,5.084912347461535,8.571406594940017,-0.37960255397114334,0.6011234046052647,2.158588458129625,5.8359554185441205,198.40253374518397
0.025,0.2,rcp85,94378.0,10.214747170066579,13.148708412880325,0.004695319947075018,2.4614367222888616,5.717505394173443,12.533373016955089,250.14805200151596
0.025,0.25,rcp45,94378.0,6.223850860622195,9.128791316207106,0.008283063519842088,1.3181175613384235,3.155764124782875,7.237497001658839,203.28131822346208
0.025,0.25,rcp85,94378.0,11.2838989964758,13.666314002259028,0.21054393215001793,3.126214895049549,6.658320300685734,13.870985492051856,252.08716052600948
0.025,0.3,rcp45,94378.0,7.187905585211087,9.524402404571681,0.21476134547852924,1.9555414994004632,4.032421466252113,8.427638684793683,205.76318357347574
0.025,0.3,rcp85,94378.0,12.092016245909011,13.958534280543917,0.3831209165910956,3.6849714900187163,7.413933858530268,14.877087634558652,251.82034305399816
0.025,0.35,rcp45,94378.0,8.224346177413336,10.169122398502942,0.3810246198894386,2.5490039062410403,4.89107895581125,9.690805056435229,213.89091492646278
