temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-12.9,27,-6.0334601,10.636517,-26.88065,14.813729,-1.9948751,11.419147,-24.375992,20.386242,-28.98238,28.270281,-84.391113,26.426352
-12.8,27,-6.0183387,10.609859,-26.81328,14.776603,-1.9898754,11.390528,-24.314899,20.335148,-28.909742,28.199429,-84.179604,26.360121
-12.7,27,-6.0032172,10.5832,-26.745909,14.739475,-1.9848757,11.361908,-24.253805,20.284054,-28.837105,28.128574,-83.968102,26.293888
-12.6,27,-5.9880958,10.556543,-26.678539,14.702348,-1.979876,11.333288,-24.192713,20.232962,-28.764467,28.057722,-83.756592,26.227657
-12.5,27,-5.9729743,10.529885,-26.61117,14.665221,-1.9748763,11.304669,-24.13162,20.181868,-28.69183,27.98687,-83.545082,26.161427
-12.4,27,-5.9578528,10.503227,-26.543798,14.628094,-1.9698766,11.27605,-24.070528,20.130774,-28.619192,27.916016,-83.33358,26.095194
-12.3,27,-5.9427314,10.476569,-26.476429,14.590967,-1.964877,11.24743,-24.009436,20.079681,-28.546555,27.845163,-83.12207,26.028963
-12.2,27,-5.9276099,10.449911,-26.40906,14.55384,-1.9598773,11.218811,-23.948341,20.028587,-28.473917,27.774311,-82.910568,25.962732
-12.1,27,-5.9124885,10.423253,-26.34169,14.516712,-1.9548776,11.190191,-23.887249,19.977495,-28.401279,27.703459,-82.699059,25.8965
-12,27,-5.897367,10.396595,-26.274319,14.479586,-1.9498779,11.161572,-23.826157,19.926401,-28.328642,27.632605,-82.487549,25.830269
-11.9,27,-5.8822455,10.369937,-26.206949,14.442458,-1.9448782,11.132953,-23.765064,19.875307,-28.256004,27.561752,-82.276047,25.764036
-11.8,27,-5.8671241,10.34328,-26.13958,14.405331,-1.9398786,11.104333,-23.703972,19.824215,-28.183367,27.4909,-82.064537,25.697805
-11.7,27,-5.8520026,10.316622,-26.072208,14.368204,-1.9348788,11.075714,-23.642879,19.773121,-28.110729,27.420046,-81.853035,25.631575
-11.6,27,-5.8368812,10.289964,-26.004839,14.331077,-1.9298792,11.047094,-23.581787,19.722029,-28.038092,27.349194,-81.641525,25.565344
-11.5,27,-5.8217597,10.263306,-25.937469,14.293949,-1.9248794,11.018475,-23.520693,19.670935,-27.965454,27.278341,-81.430023,25.499111
-11.4,27,-5.8066382,10.236648,-25.870098,14.256823,-1.9198798,10.989856,-23.4596,19.619841,-27.892817,27.207487,-81.218513,25.43288
-11.3,27,-5.7915168,10.20999,-25.802729,14.219695,-1.9148802,10.961236,-23.398508,19.568748,-27.820179,27.136635,-81.007004,25.366648
-11.2,27,-5.7763953,10.183331,-25.735359,14.182568,-1.9098804,10.932616,-23.337416,19.517654,-27.747541,27.065783,-80.795502,25.300417
-11.1,27,-5.7612739,10.156674,-25.66799,14.145441,-1.9048808,10.903997,-23.276323,19.466562,-27.674904,26.99493,-80.583992,25.234186
-11,27,-5.7461524,10.130016,-25.600618,14.108314,-1.899881,10.875378,-23.215229,19.415468,-27.602266,26.924076,-80.37249,25.167953
-10.9,27,-5.7310309,10.103358,-25.533249,14.071186,-1.8948814,10.846758,-23.154137,19.364374,-27.529629,26.853224,-80.16098,25.101723
-10.8,27,-5.7159095,10.0767,-25.465879,14.03406,-1.8898816,10.818139,-23.093044,19.313282,-27.456991,26.782372,-79.949478,25.035492
-10.7,27,-5.700788,10.050042,-25.398508,13.996932,-1.884882,10.789519,-23.031952,19.262188,-27.384354,26.711517,-79.737968,24.969259
