temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_ag,se_ag,lowerci_ag,upperci_ag,yhat_nonag,se_nonag,lowerci_nonag,upperci_nonag
34.1,27,-5.7826977,2.5028379,-10.688169,-.87722576,-1.5583481,1.926535,-5.3342872,2.2175913,1.7268107,8.114152,-14.176636,17.630257,-.47861889,1.1189371,-2.6716952,1.7144575
34.2,27,-5.9780865,2.5670562,-11.009424,-.94674844,-1.6018331,1.9689976,-5.4609976,2.2573314,1.3441498,8.2228603,-14.77236,17.460659,-.49591175,1.1423244,-2.7348266,1.7430029
34.3,27,-6.1758318,2.6320677,-11.33459,-1.0170736,-1.6457634,2.0121334,-5.5894723,2.2979455,.95305783,8.3331499,-15.379616,17.285732,-.51342297,1.166217,-2.7991662,1.7723203
34.4,27,-6.3758936,2.6978605,-11.663603,-1.0881841,-1.6901318,2.0559368,-5.7196937,2.3394301,.55370402,8.4450693,-15.998327,17.105736,-.53114861,1.1906124,-2.864706,1.8024089
34.5,27,-6.5782428,2.7644234,-11.996413,-1.1600723,-1.7349323,2.1004007,-5.8516421,2.3817775,.14616844,8.5586433,-16.628464,16.920801,-.54908609,1.2155074,-2.9314368,1.8332646
34.6,27,-6.7828426,2.8317449,-12.33296,-1.2327243,-1.7801582,2.1455193,-5.9852986,2.4249823,-.269407,8.6739092,-17.269957,16.731142,-.56723207,1.2408985,-2.9993484,1.8648841
34.7,27,-6.9896555,2.8998137,-12.673185,-1.3061256,-1.8258027,2.1912854,-6.1206431,2.4690375,-.69287628,8.7908993,-17.922722,16.53697,-.58558297,1.2667816,-3.0684292,1.8972633
34.8,27,-7.1986523,2.9686177,-13.017035,-1.3802683,-1.8718596,2.2376909,-6.2576532,2.5139341,-1.1241553,8.9096327,-18.586714,16.338404,-.60413605,1.293152,-3.1386673,1.9303951
34.9,27,-7.4097943,3.0381463,-13.364451,-1.455137,-1.9183223,2.2847297,-6.3963099,2.5596654,-1.5630869,9.0301409,-19.261839,16.135664,-.62288785,1.3200051,-3.2100503,1.9642746
35,27,-7.6230483,3.1083868,-13.715375,-1.5307221,-1.965184,2.3323922,-6.5365887,2.6062207,-2.0095747,9.1524372,-19.948023,15.928873,-.64183521,1.3473352,-3.2825637,1.9988934
