temp,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_ag,se_ag,lowerci_ag,upperci_ag,yhat_nonag,se_nonag,lowerci_nonag,upperci_nonag,yhat_nonag_low,se_nonag_low,lowerci_nonag_low,upperci_nonag_low,yhat_ag_low,se_ag_low,lowerci_ag_low,upperci_ag_low,yhat_ag_nonag,se_ag_nonag,lowerci_ag_nonag,upperci_ag_nonag
30.2,-.33962986,.7140395,-1.7391216,1.0598618,-.26946121,.77728826,-1.7929182,1.2539958,9.2590694,4.6098709,.22388865,18.29425,.036341142,.53024125,-1.0029126,1.0755949,.30580235,.9272185,-1.5115124,2.1231172,9.5285311,4.6656175,.38408914,18.672974,9.2227287,4.630435,.14724262,18.298214
30.3,-.41539931,.74161524,-1.8689384,1.0381398,-.29036206,.79781586,-1.8540524,1.2733283,9.310833,4.7137313,.072089329,18.549576,.030368965,.5413717,-1.0307001,1.0914379,.32073104,.94971746,-1.5406809,2.182143,9.6011944,4.7703528,.2514753,18.950914,9.2804632,4.7346787,.00066333212,18.560265
30.4,-.49487761,.77005303,-2.004154,1.0143987,-.31197345,.81850892,-1.9162215,1.2922746,9.3490782,4.8159928,-.090094224,18.78825,.023992239,.55242008,-1.0587312,1.1067157,.33596569,.97229481,-1.569697,2.2416284,9.6610518,4.8735232,.10912085,19.212982,9.3250856,4.837337,-.15592106,18.806093
30.5,-.57802987,.79937953,-2.1447849,.98872524,-.33428857,.83940303,-1.9794883,1.3109112,9.3739271,4.9167447,-.26271576,19.010571,.017214727,.56341326,-1.087055,1.1214844,.35150328,.99499643,-1.5986539,2.3016605,9.7082157,4.9752283,-.043052725,19.459484,9.3567123,4.9385018,-.3225739,19.035997
30.6,-.66482192,.82961869,-2.2908447,.96120083,-.35730088,.86053348,-2.0439155,1.3293136,9.3855038,5.0160794,-.44583142,19.216839,.010040148,.57437837,-1.1157209,1.1358011,.36734101,1.0178682,-1.6276441,2.3623261,9.7428045,5.0755682,-.20512623,19.690737,9.3754635,5.0382686,-.49936104,19.250288
30.7,-.75521976,.86079162,-2.4423404,.93190086,-.38100383,.88193446,-2.1095636,1.3475559,9.3839331,5.11409,-.63949835,19.407366,.0024722225,.58534276,-1.1447785,1.1497229,.38347605,1.0409553,-1.6567589,2.4237111,9.7649374,5.1746454,-.37718144,19.907057,9.3814611,5.1367326,-.68634921,19.449272
30.8,-.84918827,.89291608,-2.5992715,.90089512,-.40539062,.90363896,-2.1764905,1.3657092,9.3693371,5.210866,-.84377265,19.582447,-.0054852692,.59633332,-1.1742771,1.1633065,.39990535,1.0643016,-1.6860875,2.4858983,9.7747278,5.2725596,-.55929947,20.108755,9.3748226,5.2339873,-.88360429,19.633249
30.9,-.94669211,.92600822,-2.7616348,.86825067,-.43045473,.92568022,-2.2447546,1.3838452,9.341856,5.3065076,-1.0587084,19.74242,-.013828387,.60737789,-1.2042671,1.1766105,.41662633,1.0879517,-1.7157198,2.5489724,9.7723103,5.3694201,-.7515592,20.296181,9.3556843,5.3301358,-1.0911901,19.802559
31,-1.0476969,.96008068,-2.9294205,.83402669,-.45618939,.94808888,-2.3144095,1.4020307,9.301609,5.4011059,-1.2843641,19.887583,-.022553414,.61850315,-1.2347974,1.1896905,.43363598,1.1119473,-1.7457407,2.6130126,9.7577982,5.4653263,-.95404404,20.469641,9.3241625,5.425272,-1.309175,19.9575
31.1,-1.1521682,.99514413,-3.1026149,.79827851,-.48258805,.97089481,-2.3855069,1.4203309,9.2487221,5.4947543,-1.5207983,20.018244,-.031656597,.62973583,-1.2659161,1.2026029,.45093146,1.1363295,-1.7762337,2.6780965,9.7313108,5.5603814,-1.1668371,20.629457,9.2803793,5.5194921,-1.537627,20.098385
