temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg,slope_comm,slope_low,slope_high,slope_marg
-11.6,27,-13.796492,17.889591,-48.859447,21.266462,-16.586161,15.623029,-47.206734,14.034413,7.0202603,189.99176,-365.35675,379.39728,23.606421,191.34387,-351.42068,398.63351,.35741806,.42969704,-.18187284,-.61156273
-11.5,27,-13.76075,17.843245,-48.732868,21.211367,-16.54319,15.582554,-47.084435,13.998055,7.0020728,189.49956,-364.41025,378.41437,23.545263,190.84816,-350.51025,397.60077,.35742283,.42969704,-.18187284,-.61157227
-11.4,27,-13.725007,17.796898,-48.606285,21.156273,-16.500221,15.54208,-46.962139,13.961696,6.9838858,189.00735,-363.46371,377.43149,23.484106,190.35245,-349.59982,396.56805,.35742283,.4296875,-.18187046,-.61156273
-11.3,27,-13.689265,17.750553,-48.47971,21.101179,-16.457253,15.501606,-46.83984,13.925338,6.9656987,188.51515,-362.51721,376.44861,23.422951,189.85674,-348.68942,395.53531,.35742283,.42969704,-.18187284,-.61156273
-11.2,27,-13.653522,17.704206,-48.35313,21.046083,-16.414282,15.461131,-46.717545,13.888979,6.9475112,188.02293,-361.57068,375.4657,23.361794,189.36102,-347.77899,394.50259,.35742283,.42969704,-.18187284,-.61157227
-11.1,27,-13.617781,17.65786,-48.226551,20.99099,-16.371313,15.420658,-46.595245,13.85262,6.9293242,187.53073,-360.62415,374.48282,23.300636,188.86533,-346.86859,393.46988,.35742283,.4296875,-.18187284,-.61156273
-11,27,-13.582038,17.611515,-48.099972,20.935896,-16.328344,15.380183,-46.47295,13.816261,6.9111366,187.03853,-359.67764,373.49991,23.239481,188.36961,-345.95816,392.43713,.35742283,.42969704,-.18187284,-.61156273
-10.9,27,-13.546296,17.565168,-47.973392,20.8808,-16.285374,15.339709,-46.350651,13.779903,6.8929496,186.54631,-358.73111,372.517,23.178324,187.8739,-345.04776,391.40439,.35741806,.42969704,-.18187046,-.61156273
-10.8,27,-13.510554,17.518822,-47.846813,20.825706,-16.242405,15.299235,-46.228355,13.743545,6.8747625,186.05411,-357.78461,371.53412,23.117168,187.37819,-344.13733,390.37167,.35742283,.4296875,-.18187284,-.61156273
-10.7,27,-13.474812,17.472475,-47.720234,20.770611,-16.199436,15.25876,-46.106056,13.707186,6.856575,185.5619,-356.83807,370.55121,23.056011,186.88248,-343.22693,389.33896,.35742283,.42969704,-.18187284,-.61157227
-10.6,27,-13.43907,17.42613,-47.593658,20.715517,-16.156466,15.218287,-45.983761,13.670828,6.838388,185.0697,-355.89157,369.56833,22.994854,186.38678,-342.3165,388.30621,.35742283,.42969704,-.18187046,-.61156273
-10.5,27,-13.403327,17.379784,-47.467079,20.660423,-16.113497,15.177813,-45.861462,13.634469,6.8202009,184.57748,-354.94504,368.58545,22.933699,185.89107,-341.4061,387.2735,.35742283,.4296875,-.18187284,-.61156273
-10.4,27,-13.367585,17.333437,-47.3405,20.605328,-16.070528,15.137339,-45.739166,13.59811,6.8020134,184.08528,-353.9985,367.60254,22.872541,185.39536,-340.49567,386.24075,.35741806,.4296875,-.18187284,-.61157227
-10.3,27,-13.331843,17.287092,-47.213921,20.550234,-16.027559,15.096865,-45.616867,13.561751,6.7838264,183.59308,-353.052,366.61966,22.811384,184.89964,-339.58527,385.20804,.35742283,.42969704,-.18187046,-.61156273
-10.2,27,-13.296101,17.240746,-47.087341,20.49514,-15.984589,15.05639,-45.494572,13.525393,6.7656393,183.10088,-352.10547,365.63675,22.750229,184.40393,-338.67484,384.17529,.35742283,.42969704,-.18187046,-.61156273
-10.1,27,-13.260359,17.194399,-46.960762,20.440044,-15.94162,15.015916,-45.372272,13.489035,6.7474523,182.60867,-351.15897,364.65387,22.689072,183.90823,-337.76443,383.14258,.35742283,.42969227,-.18187284,-.61157227
-10,27,-13.224616,17.148054,-46.834183,20.384951,-15.89865,14.975442,-45.249977,13.452676,6.7292647,182.11646,-350.21243,363.67096,22.627914,183.41252,-336.854,382.10983,.35742283,.42969704,-.18187284,-.61156273
-9.9,27,-13.188874,17.101707,-46.707603,20.329857,-15.85568,14.934967,-45.127678,13.416317,6.7110777,181.62425,-349.2659,362.68808,22.566759,182.91681,-335.9436,381.07712,.35742283,.42969227,-.18187046,-.61156273
-9.800000000000001,27,-13.153131,17.055361,-46.581024,20.274761,-15.812712,14.894493,-45.005383,13.379959,6.6928906,181.13205,-348.3194,361.70517,22.505602,182.4211,-335.03317,380.04437,.35742283,.42969227,-.18187284,-.61157227
-9.699999999999999,27,-13.11739,17.009014,-46.454445,20.219667,-15.769742,14.854019,-44.883083,13.3436,6.6747031,180.63983,-347.37286,360.72229,22.444445,181.92538,-334.12277,379.01166,.35741806,.42969227,-.18187284,-.61156273
-9.6,27,-13.081648,16.962669,-46.327869,20.164574,-15.726773,14.813545,-44.760788,13.307241,6.6565161,180.14763,-346.42636,359.73938,22.383289,181.42967,-333.21234,377.97891,.35742283,.42969227,-.18187046,-.61156273
-9.5,27,-13.045905,16.916323,-46.20129,20.109478,-15.683804,14.773071,-44.638489,13.270883,6.638329,179.65543,-345.47983,358.7565,22.322132,180.93398,-332.30194,376.9462,.35742283,.42969704,-.18187284,-.61157227
-9.4,27,-13.010163,16.869976,-46.074711,20.054384,-15.640834,14.732596,-44.516193,13.234525,6.6201415,179.16322,-344.53329,357.77359,22.260975,180.43826,-331.39151,375.91345,.35742283,.42969227,-.18187284,-.61156273
-9.300000000000001,27,-12.974421,16.823631,-45.948132,19.999289,-15.597865,14.692122,-44.393898,13.198166,6.6019545,178.67101,-343.58679,356.79071,22.19982,179.94255,-330.48111,374.88074,.35742283,.42969227,-.18187046,-.61156273
-9.199999999999999,27,-12.938679,16.777285,-45.821552,19.944195,-15.554895,14.651649,-44.271599,13.161807,6.5837674,178.1788,-342.64026,355.8078,22.138662,179.44684,-329.57068,373.84799,.35741806,.42969227,-.18187284,-.61156273
-9.1,27,-12.902937,16.730938,-45.694973,19.889101,-15.511927,14.611175,-44.149303,13.125449,6.5655799,177.6866,-341.69376,354.82492,22.077507,178.95113,-328.66028,372.81528,.35742283,.42969227,-.18187284,-.61156273
-9,27,-12.867194,16.684593,-45.568394,19.834005,-15.468957,14.5707,-44.027004,13.08909,6.5473928,177.1944,-340.74722,353.84201,22.01635,178.45541,-327.74985,371.78256,.35742283,.42969704,-.18187284,-.61157227
-8.9,27,-12.831452,16.638247,-45.441814,19.778912,-15.425987,14.530226,-43.904705,13.052732,6.5292053,176.70218,-339.80072,352.85913,21.955193,177.95972,-326.83942,370.74982,.35742283,.42969227,-.18187284,-.61156273
